层级,标题,父级,名称,docx_start_para,docx_end_para,开始段落,结束段落,路径,可用槽位,概述预览
章,心力衰竭,第三篇循环系统疾病,心力衰竭,3905,3909,3905,3909,心力衰竭 > 心力衰竭,definition,心力衰竭（heart failure，HF）是各种原因导致的心脏结构和 / 或功能异常，使心脏出现收缩和 / 或充盈障碍，在静息或运动时心排血量下降或心腔内压力增高而引起的一组复杂临床综合征，主要表现为活动耐量下降和液体潴留。心功能不全（cardiac dysfunction）是一个更广泛的概念，伴有临床症状的心功能不全称之为心力衰竭（简称心衰）。
节,心力衰竭总论,心力衰竭,心力衰竭总论,3910,3965,3910,3965,心力衰竭 > 心力衰竭总论,classification；risk_stratification；etiology；pathogenesis,
节,慢性心力衰竭,心力衰竭,慢性心力衰竭,3966,4118,3966,4118,心力衰竭 > 慢性心力衰竭,clinical_manifestation；classification；risk_stratification；exam；diagnostic_criteria；differential_diagnosis；treatment,
节,急性心力衰竭,心力衰竭,急性心力衰竭,4119,4228,4119,4228,心力衰竭 > 急性心力衰竭,definition；classification；risk_stratification；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,急性心力衰竭（acute heart failure，AHF）是指心力衰竭急性发作和 / 或加重的一种临床综合征，可以是急性新发或慢性心衰急性失代偿。 新发急性心衰的常见病因包括急性心肌损害（如急性冠脉综合征和重症心肌炎等）和急性血流动力学障碍（如急性瓣膜功能障碍、高血压危象、严重心律失常和急性肺栓塞等）。
章,心律失常,第三篇循环系统疾病,心律失常,4229,4232,4229,4232,心律失常 > 心律失常,,
节,概 述,心律失常,概 述,4233,4313,4233,4313,心律失常 > 概 述,definition,正常情况下心脏以一定范围的频率，发生有规律的搏动，这种搏动的冲动起源于窦房结（sinoatrial node，SAN），以一定的顺序和频率传导至心房和心室，协调心脏各部位同步收缩，形成一次心脏搏动，周而复始，为正常节律。心律失常（cardiac arrhythmia）是指心脏冲动的频率、节律、起源部位、传导速度或激动次序的异常，可见于生理情况，更多见于病理性...
节,窦性心律失常,心律失常,窦性心律失常,4314,4320,4314,4320,心律失常 > 窦性心律失常,definition,正常窦性心律的冲动起源于窦房结，频率为 60～100 次 / 分。心电图显示窦性心律的 P 波在Ⅰ、 Ⅱ、aVF 导联直立，aVR 导联倒置；PR 间期为 0.12～0.20 秒。窦性心律失常是由于窦房结冲动发放频 率的异常或窦性冲动向心房的传导受阻所导致的心律失常。根据心电图及临床表现分为窦性心动过速、窦性心动过缓、窦性停搏、窦房传导阻滞以及病态窦房结综合...
条目,窦性心动过速,窦性心律失常,窦性心动过速,4321,4326,4321,4326,心律失常 > 窦性心律失常 > 窦性心动过速,definition,成人窦性心律的频率超过 100 次 / 分为窦性心动过速（sinus tachycardia）（图 3-3-4）。目前临床上分为生理性窦性心动过速和不适当窦性心动过速。生理性窦性心动过速通常见于健康人、吸烟、饮茶或咖啡、饮酒、体力活动及情绪激动时；也可见于某些病理状态，如发热、甲亢、贫血、休克、心肌缺血、心力衰竭以及应用肾上腺素、阿托品等药物时。不适当窦性心...
条目,窦性心动过缓,窦性心律失常,窦性心动过缓,4327,4341,4327,4341,心律失常 > 窦性心律失常 > 窦性心动过缓,definition,成人窦性心律的频率低于 60 次 / 分称为窦性心动过缓（sinus bradycardia）（图 3-3-5）。窦性心动过缓常同时伴有窦性心律不齐（不同 PP 间期的差异＞0.12 秒）。窦性心动过缓常见于健康的青年人、运动员及睡眠状态；其他原因包括颅内疾病、严重缺氧、低温、甲状腺功能减退和血管迷走性晕厥等，以及应用拟胆碱药物、胺碘酮、β受体拮抗剂、非二氢...
条目,窦房传导阻滞,窦性心律失常,窦房传导阻滞,4342,4346,4342,4346,心律失常 > 窦性心律失常 > 窦房传导阻滞,definition,窦房传导阻滞（sinoatrial block，SAB）指窦房结冲动传导至心房时发生延缓或阻滞。理论上 SAB可分为三度，由于体表心电图不能显示窦房结电活动，因而通过体表心电图无法确定一度和三度窦房传导阻滞的诊断。二度窦房传导阻滞分为两型：莫氏（Mobitz）Ⅰ型即文氏（Wenckebach）阻滞，表现为 PP 间期进行性缩短，直至出现一次长 PP 间期，该...
