状态,路径,分组,大小KB,建议动作,原因
M,AI自动化工具-文献指南解析.md,AI自动化工具-文献指南解析.md,12.5,建议提交,核心标准/方案/台账，需要版本管理
M,assets/ami_cdss_swimlane.svg,assets/ami_cdss_swimlane.svg,12.39,建议提交,原型和图示文件，与方案/前端交付相关
M,专病辅助诊疗建设方案_专科CDSS六级建设.md,专病辅助诊疗建设方案_专科CDSS六级建设.md,67.19,建议提交,核心标准/方案/台账，需要版本管理
M,专科知识图谱Schema标准.md,专科知识图谱Schema标准.md,43.54,建议提交,核心标准/方案/台账，需要版本管理
M,原型设计_prototype/specialty-cdss-prototype.html,原型设计_prototype/specialty-cdss-prototype.html,197.18,建议提交,原型和图示文件，与方案/前端交付相关
M,心血管内科文献集合/批次登记台账.md,心血管内科文献集合/批次登记台账.md,74.65,建议提交,核心标准/方案/台账，需要版本管理
M,项目管理中心_project_management/04_批次登记台账_batch_ledger.csv,项目管理中心_project_management/04_批次登记台账_batch_ledger.csv,24.85,建议提交,核心标准/方案/台账，需要版本管理
M,项目管理中心_project_management/118_治疗方案动作链全库治理后入库复测_20260716/99_入库后复测/00_入库后复测报告.md,项目管理中心_project_management/118_治疗方案动作链全库治理后入库复测_20260716,0.54,建议提交,历史复测/复核报告被更新，应纳入版本记录
M,项目管理中心_project_management/122_正式CDSS推荐资格专项复核_20260716/00_正式CDSS推荐资格专项复核报告_20260716.md,项目管理中心_project_management/122_正式CDSS推荐资格专项复核_20260716,0.77,建议提交,历史复测/复核报告被更新，应纳入版本记录
M,项目管理中心_project_management/89_疾病层级关系三层收口最终报告_20260716.md,项目管理中心_project_management/89_疾病层级关系三层收口最终报告_20260716.md,1.88,建议提交,历史复测/复核报告被更新，应纳入版本记录
??,assets/ami_full_process_engine_swimlane.svg,assets/ami_full_process_engine_swimlane.svg,15.37,建议提交,原型和图示文件，与方案/前端交付相关
??,assets/cdss_product_function_architecture.svg,assets/cdss_product_function_architecture.svg,13.72,建议提交,原型和图示文件，与方案/前端交付相关
