parent_disease_code,classification_code,classification_name,action,target_disease_code,reason,allowed_parent_codes
DIS-CARD-ARR-SVT,CLASS-CARD-ARR-SVT-CARD-ARR-PSVT,阵发性室上性心动过速,clinical_subtype,DIS-CARD-ARR-PSVT,旧分型名称与现有疾病实体精确一致,
DIS-CARD-CAD-ACS,CLASS-CARD-CADREM-ACS-2591236BEF,急性冠脉综合征分类要点6,invalid_fragment,,抽取生成的无语义分类要点标题,
DIS-CARD-CAD-ACS,CLASS-CARD-CADREM-ACS-3BA30640A8,急性冠脉综合征分类要点5,invalid_fragment,,抽取生成的无语义分类要点标题,
DIS-CARD-CAD-ACS,CLASS-CARD-CADREM-ACS-6DC7442542,急性冠脉综合征分类要点7,invalid_fragment,,抽取生成的无语义分类要点标题,
DIS-CARD-CAD-ACS,CLASS-CARD-CADREM-CCS-53D1235A0C,缺血性心肌病,clinical_subtype,DIS-CARD-CAD-ICM,旧分型名称与现有疾病实体精确一致,
DIS-CARD-CAD-ACS,CLASS-CARD-CADREM-CCS-631884375C,隐匿型或无症状型冠心病,clinical_subtype,DIS-CARD-CAD-SILENT-ISCHEMIA,经临床语义核对映射到现有疾病实体,['DIS-CARD-CAD-CCS']
DIS-CARD-CAD-ACS,CLASS-CARD-CADREM-CCS-B18ADE7038,1979年WHO曾将其分为五型,invalid_fragment,,教材说明句或表格标题，不是稳定实体,
DIS-CARD-CAD-ACS,CLASS-CARD-CADREM-CCS-DC4DEC6771,冠心病有不同的临床表型,invalid_fragment,,不能稳定表达诊断分型、展示分组或风险分层,
DIS-CARD-CAD-CCS,CLASS-CARD-CADREM-CCS-038C086E09,慢性冠脉综合征分类要点6,invalid_fragment,,抽取生成的无语义分类要点标题,
DIS-CARD-CAD-CCS,CLASS-CARD-CADREM-CCS-53D1235A0C,缺血性心肌病,clinical_subtype,DIS-CARD-CAD-ICM,旧分型名称与现有疾病实体精确一致,
DIS-CARD-CAD-CCS,CLASS-CARD-CADREM-CCS-631884375C,隐匿型或无症状型冠心病,clinical_subtype,DIS-CARD-CAD-SILENT-ISCHEMIA,经临床语义核对映射到现有疾病实体,['DIS-CARD-CAD-CCS']
DIS-CARD-CAD-CCS,CLASS-CARD-CADREM-CCS-9C4BA248F9,慢性冠脉综合征分类要点7,invalid_fragment,,抽取生成的无语义分类要点标题,
DIS-CARD-CAD-CCS,CLASS-CARD-CADREM-CCS-B18ADE7038,1979年WHO曾将其分为五型,invalid_fragment,,教材说明句或表格标题，不是稳定实体,
DIS-CARD-CAD-CCS,CLASS-CARD-CADREM-CCS-DC4DEC6771,冠心病有不同的临床表型,invalid_fragment,,不能稳定表达诊断分型、展示分组或风险分层,
DIS-CARD-CAD-CCS,CLASS-CARD-CADREM-CCS-DF7358F0FE,慢性冠脉综合征分类要点5,invalid_fragment,,抽取生成的无语义分类要点标题,
DIS-CARD-CAD-UA,CLASS-CARD-CADREM-UA-8F74C8F4F2,不稳定型心绞痛分类要点6,invalid_fragment,,抽取生成的无语义分类要点标题,
DIS-CARD-CAD-UA,CLASS-CARD-CADREM-UA-B94C1D1E11,不稳定型心绞痛分类要点2,invalid_fragment,,抽取生成的无语义分类要点标题,
DIS-CARD-HF,CLASS-CARD-HF-CARD-HF-AHF,急性心力衰竭,clinical_subtype,DIS-CARD-HF-AHF,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HF,CLASS-CARD-HF-CARD-HF-BIVENTRICULAR,全心衰竭,clinical_subtype,DIS-CARD-HF-BIVENTRICULAR,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HF,CLASS-CARD-HF-CARD-HF-CHF,慢性心力衰竭,clinical_subtype,DIS-CARD-HF-CHF,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HF,CLASS-CARD-HF-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,clinical_subtype,DIS-CARD-HF-DIALYSIS-CHF,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HF,CLASS-CARD-HF-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭,clinical_subtype,DIS-CARD-HF-HFmrEF,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HF,CLASS-CARD-HF-CARD-HF-HFpEF,射血分数保留的心力衰竭,clinical_subtype,DIS-CARD-HF-HFpEF,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HF,CLASS-CARD-HF-CARD-HF-HFrEF,射血分数降低的心力衰竭,clinical_subtype,DIS-CARD-HF-HFrEF,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HF,CLASS-CARD-HF-CARD-HF-POST-MI,心肌梗死后心力衰竭,clinical_subtype,DIS-CARD-HF-POST-MI,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HF-AHF,CARD-SKELETON-20260709-DISEASECLASSIFICATION-63303FD52837F56B,按有无淤血分为“湿”和“干”型,risk_stratification,,风险、分期或血流动力学分层,
DIS-CARD-HF-AHF,CARD-SKELETON-20260709-DISEASECLASSIFICATION-A7F9A023797D915C,（二）临床分型急性心衰根据组织的淤血和灌注情况进行分型,invalid_fragment,,教材句段或列表残句，不是稳定实体,
DIS-CARD-HF-AHF,CARD-SKELETON-20260709-DISEASECLASSIFICATION-BBA8E712A5F0D040,“干暖”型,risk_stratification,,风险、分期或血流动力学分层,
DIS-CARD-HF-AHF,CARD-SKELETON-20260709-DISEASECLASSIFICATION-CF366EAA84BACA78,有无组织低灌注分为“冷”和“暖”型,risk_stratification,,风险、分期或血流动力学分层,
DIS-CARD-HF-AHF,CARD-SKELETON-20260709-DISEASECLASSIFICATION-EB4039DCBE2F8B03,由此可将急性心衰分为四型,invalid_fragment,,不能稳定表达诊断分型、展示分组或风险分层,
DIS-CARD-HF-AHF,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-1FE11A62423F4F39,根据起病速度和病情危急程度可分为慢性心衰急性失代偿、急性肺水肿、心源性休克,invalid_fragment,,教材句段或列表残句，不是稳定实体,
DIS-CARD-HF-AHF,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-2DDAC1A80113CE08,（一）临床分类1.急性左心衰竭急性发作或加重的左心室收缩力降低、负荷加重,invalid_fragment,,教材句段或列表残句，不是稳定实体,
DIS-CARD-HF-AHF,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-3A5A1E8E1FE7AC7A,常由急性冠脉综合征、高血压危象、严重心律失常、慢性心衰急性失代偿等所致,invalid_fragment,,教材句段或列表残句，不是稳定实体,
DIS-CARD-HF-AHF,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-416C3A7882FD59F3,2.急性右心衰竭右心室心肌收缩力急剧下降或右心室的前后负荷突然加重,invalid_fragment,,教材句段或列表残句，不是稳定实体,
DIS-CARD-HF-CHF,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-65721E6A565E87C6,通过治疗只能延缓而不能逆转心衰分期（表3-2-1）,invalid_fragment,,教材说明句或表格标题，不是稳定实体,
DIS-CARD-HF-CHF,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-B65BE33922EF48C1,（一）心力衰竭分期心衰分期全面描述了病情进展阶段,invalid_fragment,,教材句段或列表残句，不是稳定实体,
