decision,reason,rel,entityType,target_code,target_name,source_name,batch_id,evidence_excerpt
keep_category,目录归属关系保留,belongs_to_category,DiseaseCategory,CAT-CARD-AORTA-PAD,主动脉和周围血管病,,FOUNDATION-CARD-20260624-001,
keep_category,目录归属关系保留,belongs_to_subcategory,DiseaseSubcategory,SUB-CARD-AORTA-PAD-GENERAL,主动脉和周围血管病,,FOUNDATION-CARD-20260624-001,
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,differentiates_from,DifferentialDiagnosis,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-FC63186BF62D4ABB,与心绞痛、甲状腺功能亢进、心肌炎、二尖瓣脱垂综合征及嗜铬细胞瘤等进行鉴别,静脉血栓症,CARD-SKELETON-FULL-20260709,
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,differentiates_from,DifferentialDiagnosis,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-0FDA1416B09D0623,必须注意排除器质性心脏病,静脉血栓症,CARD-SKELETON-FULL-20260709,
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,has_definition,Definition,CARD-SKELETON-FULL-20260709-DEFINITION-D40047ECA2EC75D9,静脉血栓症定义,静脉血栓症,CARD-SKELETON-FULL-20260709,
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,has_diagnostic_component,DiagnosisCriteriaComponent,CARD-SKELETON-FULL-20260709-DIAGNOSISCRITERIACOMPONENT-3180569AF24CAB4D,一般不难作出诊断,静脉血栓症,CARD-SKELETON-FULL-20260709,
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,has_epidemiology,Epidemiology,EPI-CARD-FULLBOOK-4EB46E87F7,发病率升高,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,【流行病学】 VTE 发病率随年龄的增加而增加，年龄＞40 岁的病人较年轻病人风险增高，大约每 10 年风险增加 1 倍。来自我国 90 家三级医院的统计资料显示，基于我国住院病人信息统计的PTE 患病率从 2007 年的 1.2/10 万上升至 2016 年的 7.1/10 万。10 年间，各家医院诊治 PTE 与 DVT的病例数不断攀升。
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_etiology,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-91ACB9CDDF2D6174,也提示本症与同一家族的神经类型及数量相当的外部环境影响有关,静脉血栓症,CARD-SKELETON-FULL-20260709,
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_etiology,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-83BAF93A729F5772,也有部分病人因缺乏对心脏病的认识,静脉血栓症,CARD-SKELETON-FULL-20260709,
delete_high_confidence,明确非VTE上下文污染,has_etiology,Etiology,ETI-CARD-TEXT-D6A8249236,动脉粥样硬化,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,2. 急性心肌梗死 有突然胸痛、胸闷，甚至呼吸困难、休克等临床表现，但多合并高血压病史，动脉粥样硬化、冠状动脉粥样硬化性心脏病病史。体征、心电图、X 线或 CT 检查、血清酶学检查有助于诊断。
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,has_etiology,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-2F7B44CFF16AAC32,可能与神经类型、环境因素、遗传因素和性格有关,静脉血栓症,CARD-SKELETON-FULL-20260709,
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_etiology,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-FB93BD0604337326,对疑似症状产生过度忧虑而诱发本症,静脉血栓症,CARD-SKELETON-FULL-20260709,
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_etiology,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-27F4E0E37860E573,当精神上受到外界环境刺激,静脉血栓症,CARD-SKELETON-FULL-20260709,
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_etiology,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-4D3D9B9157B0204C,心血管神经症病因尚不清楚,静脉血栓症,CARD-SKELETON-FULL-20260709,
