疾病大类,资料角色,权威等级,资料名称,是否可作主依据,准入理由,文件路径,文件存在
冠心病/AMI,教材骨架,B,《内科学（第10版）》,否，作为骨架依据,覆盖 AMI/STEMI 的定义、病因机制、临床表现、检查、诊断鉴别、并发症和治疗总原则。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx,是
冠心病/AMI,国内/国际指南,A1,ACC/AHA/ACEP/NAEMSP/SCAI 指南：急性冠脉综合征患者的管理 2025,是,覆盖 ACS/AMI 最新综合管理、推荐等级、证据等级和急诊处置。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ACC／AHA／ACEP／NAEMSP ／SCAI指 南：急性冠脉 综合征患者的管理 2025.pdf,是
冠心病/AMI,国际指南,A1,ESC 急性冠脉综合征指南 2023,是,覆盖 ACS 统一诊疗框架、STEMI/NSTEMI、再灌注和抗栓治疗。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入\ESC 急性冠脉综合征指南（2023）.pdf,是
冠心病/AMI,国内指南,A1,STEMI CN 2019,是,覆盖中国 STEMI 诊断治疗路径、溶栓和 PCI 时间窗。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\STEMI CN 2019.pdf,是
冠心病/AMI,国内指南,A1,NSTE-ACS CN 2024,是,覆盖 NSTEMI/UA 风险分层、肌钙蛋白和侵入策略。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\NSTE-ACS CN 2024.pdf,是
冠心病/AMI,专家共识,A2,心肌梗死心电图诊断标准和报告规范中国专家共识,补充主依据,覆盖 ST 段、导联、定位诊断等 AMI 心电图特色结构。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\心肌梗死心电图诊断标准和报告规范中国专家共识.pdf,是
心肌病,教材骨架,B,《内科学（第10版）》,否，作为骨架依据,覆盖心肌病总论、HCM/DCM/RCM 基础定义、临床表现、检查、诊断、治疗原则。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx,是
心肌病,国内指南,A1,中国心肌病综合管理指南 2025,是,覆盖心肌病分类、遗传检测、家系筛查、特殊病因和综合管理。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\2_中国心肌病综合管理指南2025.pdf,是
心肌病,国际指南,A1,HCM ESC 2023,是,覆盖心肌病 ESC 2023 的遗传、表型、风险分层和 HCM 管理。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM  ESC 2023.pdf,是
心肌病,国际指南,A1,HCM AHA 2024,是,覆盖 HCM 诊疗、家族评估、基因检测、SCD 风险和治疗。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM AHA 2024.pdf,是
心肌病,专家共识,A2,成人法布雷病心肌病诊断与治疗中国专家共识,补充主依据,覆盖法布雷病心肌病的特殊病因、基因/酶学诊断和治疗。,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\特殊类型心肌病\成人法布雷病心肌病诊断与治疗中国专家共识.pdf,是
