batch_id,document_id,file_name,full_path,relative_path,extension,source_root,source_type,size_bytes,last_write_time,sha256,normalized_title,dedup_group,keep_or_duplicate,duplicate_reason,inclusion_status,inclusion_reason
20260715_肺动脉高压正式解析,DOC-568F2702075F78A4,2_中国心肌病综合管理指南2025.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\2_中国心肌病综合管理指南2025.pdf,2_中国心肌病综合管理指南2025.pdf,.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,guideline,1914057,2026-04-08T20:37:18.556294+08:00,568F2702075F78A487CA3D7EFB365E1C707012A92C091F5F6AC2AED8B537B7CF,中国心肌病综合管理指南2025,TITLE-67D0FCAD5930F622,keep,,excluded,OUT_OF_SCOPE_PATH_AND_NAME
20260715_肺动脉高压正式解析,DOC-3E85DFA7D3EA0350,AF AHA 2023.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\AF\AF AHA 2023.pdf,AF\AF AHA 2023.pdf,.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,guideline,8553299,2026-06-02T12:41:42+08:00,3E85DFA7D3EA0350C4873AD82ADED89D69A72E6D2255652BF78B8DA1E4588EFA,afaha2023,SHA-3E85DFA7D3EA0350,keep,,excluded,OUT_OF_SCOPE_PATH_AND_NAME
20260715_肺动脉高压正式解析,DOC-C5A1A36777F25502,AF ESC 2020.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\AF\AF ESC 2020.pdf,AF\AF ESC 2020.pdf,.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,guideline,8828170,2026-06-02T12:41:42+08:00,C5A1A36777F25502B67C9D805C7BE4C8D527DD531520C1A52AF00E7DC440A78E,afesc2020,SHA-C5A1A36777F25502,keep,,excluded,OUT_OF_SCOPE_PATH_AND_NAME
20260715_肺动脉高压正式解析,DOC-1E93BC5684F37443,AF ESC 2024.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\AF\AF ESC 2024.pdf,AF\AF ESC 2024.pdf,.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,guideline,8641978,2026-06-02T12:41:42+08:00,1E93BC5684F374437B882E645A6F2A6DF11813CA2C543614E8A6224F41019091,afesc2024,SHA-1E93BC5684F37443,keep,,excluded,OUT_OF_SCOPE_PATH_AND_NAME
20260715_肺动脉高压正式解析,DOC-4BF1E6843E30FAE5,中国心房颤动管理指南（2025）.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\AF\中国心房颤动管理指南（2025）.pdf,AF\中国心房颤动管理指南（2025）.pdf,.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,guideline,9837439,2026-06-02T12:41:42+08:00,4BF1E6843E30FAE5C327AB66C3BEC9771E2D0586AF7B4E00478723D897E34320,中国心房颤动管理指南2025,SHA-4BF1E6843E30FAE5,keep,,excluded,OUT_OF_SCOPE_PATH_AND_NAME
20260715_肺动脉高压正式解析,DOC-EE90C4C9A4C51DF7,心房颤动诊断和治疗中国指南 2023.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\AF\心房颤动诊断和治疗中国指南 2023.pdf,AF\心房颤动诊断和治疗中国指南 2023.pdf,.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,guideline,6059076,2026-06-02T12:41:42+08:00,EE90C4C9A4C51DF770D8851D491D341C616A8CAACF2A325F1C461B4C3A3267C1,心房颤动诊断和治疗中国指南2023,SHA-EE90C4C9A4C51DF7,keep,,excluded,OUT_OF_SCOPE_PATH_AND_NAME
20260715_肺动脉高压正式解析,DOC-63A0DE9B1C2143F8,慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识_慢性肾脏病非瓣膜性心房颤动抗凝管理工作组.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\AF\慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识_慢性肾脏病非瓣膜性心房颤动抗凝管理工作组.pdf,AF\慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识_慢性肾脏病非瓣膜性心房颤动抗凝管理工作组.pdf,.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,consensus,1216729,2026-06-02T12:41:42+08:00,63A0DE9B1C2143F8C00EE0BD6440A434E7F97A41CCB3E33549581C0B10C67E01,慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识慢性肾脏病非瓣膜性心房颤动抗凝管理工作组,SHA-63A0DE9B1C2143F8,keep,,excluded,OUT_OF_SCOPE_PATH_AND_NAME
20260715_肺动脉高压正式解析,DOC-E0F939A44074F320,2018 ESC EACTS Guidelines on myocardial revascularization.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\2018 ESC EACTS Guidelines on myocardial revascularization.pdf,CAD\2018 ESC EACTS Guidelines on myocardial revascularization.pdf,.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,guideline,3923167,2026-06-02T12:41:42+08:00,E0F939A44074F320BC47658EE85E4C589D56B9B0BDC87D442C542CAB26848F7F,esceactsguidelinesonmyocardialrevascularization,SHA-E0F939A44074F320,keep,,excluded,OUT_OF_SCOPE_PATH_AND_NAME
20260715_肺动脉高压正式解析,DOC-866065446A7A5F65,2018 STEMI院前溶栓治疗中国专家共识.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\2018 STEMI院前溶栓治疗中国专家共识.pdf,CAD\2018 STEMI院前溶栓治疗中国专家共识.pdf,.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,consensus,1082739,2026-06-02T12:41:44+08:00,866065446A7A5F6525060549128D79DAA201DFB0548CBD5C119EAEB54681E935,stemi院前溶栓治疗中国专家共识,SHA-866065446A7A5F65,keep,,excluded,OUT_OF_SCOPE_PATH_AND_NAME
20260715_肺动脉高压正式解析,DOC-174B3BDD2451501A,4TH universal definition of MI.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\CAD\4TH universal definition of MI.pdf,CAD\4TH universal definition of MI.pdf,.pdf,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南,unclassified,1326191,2026-06-02T12:41:44+08:00,174B3BDD2451501ABC6AEE2E160369D76F04A30839D92206CEE53BF713556AA8,4thuniversaldefinitionofmi,SHA-174B3BDD2451501A,keep,,excluded,OUT_OF_SCOPE_PATH_AND_NAME
