路径,类型,用途,使用频率,备注
AI自动化工具-文献指南解析.md,主SKILL,执行总纲,每轮必读,V2.0精简
专科知识图谱Schema标准.md,Schema,实体关系字段标准,每批次必读,当前主Schema
项目管理中心_project_management/00_项目总入口_项目地图.md,项目入口,换账号/换机器第一入口,每轮必读,软件化管理入口
技能文档_skill_docs/00_索引_INDEX.md,附录索引,按阶段定位细则,按需读取,主SKILL细则入口
日志归档_log_archive/00_日志归档索引_log_archive_index.md,日志索引,历史记录按月定位,按需读取,替代全量长日志
项目管理中心_project_management/05_全局错误指纹索引_error_fingerprint.csv,错误索引,复发错误结构化管理,每批次前后读取,后续可做系统表
治理脚本_governance_scripts/校验SKILL治理_validate_skill_governance.py,校验脚本,验证SKILL治理产物,治理后运行,不写库
当前进度与后续计划_交接.md,交接入口,上下文压缩后接续,每轮结束更新,最新在前
心血管内科文献集合/,大型产物目录,心血管批次产物,按需,本轮只登记不移动
骨架质量闭环_skeleton_quality_loop/20260712_心血管内科教材骨架审计/心血管内科教材骨架质量闭环总报告_20260712.md,审计报告,心血管教材骨架当前状态和下一步阻断,骨架专项后读取,不写库
治理脚本_governance_scripts/审计心血管骨架质量_audit_cardiology_skeleton.py,审计脚本,心血管教材骨架槽位覆盖审计,骨架专项运行,只读不写库
治理脚本_governance_scripts/归并心血管骨架深层实体_reconcile_cardiology_skeleton_candidates.py,审计脚本,全书回捞深层实体与D6槽位归并审计,骨架专项运行,只读不写库
治理脚本_governance_scripts/校验骨架质量闭环_validate_skeleton_quality_loop.py,校验脚本,校验骨架质量闭环产物齐全和未写库,骨架专项后运行,只读不写库
骨架质量闭环_skeleton_quality_loop/20260712_心血管内科疾病名称与证据坐标对齐/疾病名称与章节坐标对齐报告_20260712.md,审计报告,历史全书回捞候选池归并到当前D6骨架前的名称与证据坐标审计,骨架候选复用前读取,不写库
治理脚本_governance_scripts/对齐心血管骨架疾病名称与证据坐标_align_cardiology_skeleton_names.py,审计脚本,区分历史候选池与当前D6骨架并生成名称映射和证据坐标审计,骨架候选复用前运行,只读不写库
治理脚本_governance_scripts/校验疾病名称与坐标对齐_validate_name_coordinate_alignment.py,校验脚本,校验历史候选池口径和疾病名称坐标对齐审计结果,骨架候选复用后运行,只读不写库
骨架质量闭环_skeleton_quality_loop/20260712_历史候选池复用抽样核查/历史候选池复用抽样核查报告_20260712.md,审计报告,判断历史全书回捞候选池是否可批量复用,候选池复用前必读,不写库
骨架质量闭环_skeleton_quality_loop/20260712_历史候选池复用抽样核查/历史候选池可复用性分层抽样_20260712.csv,抽样表,给人快速查看旧候选池质量的分层样本,候选池复用前抽检,不写库
治理脚本_governance_scripts/抽样核查历史候选池复用价值_sample_candidate_reuse_audit.py,审计脚本,对历史候选池全部可归并候选做机器预审和分层抽样,候选池复用前运行,只读不写库
治理脚本_governance_scripts/校验历史候选池复用抽样_validate_candidate_reuse_sample.py,校验脚本,校验历史候选池不可直接复用和未写库未生成delta,候选池复用后运行,只读不写库
