原章节编号,原章节标题,规则摘要,规则等级,新位置,是否保留在主SKILL,是否迁入附录,是否已写入Schema,是否已有脚本或测试,是否可废弃,验证方式,备注
1.1,执行目标,新任务必须先确认任务类型、范围、来源路径和输出路径,P0,AI自动化工具-文献指南解析.md#启动前必填参数,是,否,否,否,否,检查主SKILL启动模板,
1.2,教材骨架原则,基础权威教材/专著搭骨架，指南/共识/路径填决策血肉,P0,AI自动化工具-文献指南解析.md#核心原则,是,是,是,否,否,检查主SKILL核心原则和Schema原则,
1.2.1,骨架槽位,教材骨架必须覆盖定义、病因、临床表现、检查、诊断、治疗等槽位,P0,技能文档_skill_docs/03_教材骨架抽取规则.md,是,是,是,是,否,检查附录和审计规则,
1.2.2,DOCX+PDF双源校验,教材骨架不得只靠单一转换文本，必要时PDF/DOCX互证,P1,技能文档_skill_docs/03_教材骨架抽取规则.md,否,是,否,否,否,检查附录,
1.2.5,样板闭环范围,样板图谱只按scope疾病闭环审计，不得把鉴别/并发疾病扩大为本批次闭环,P0,技能文档_skill_docs/05_质量硬闸门.md,是,是,否,是,否,检查质量硬闸门,
1.2.7,Neo4j标签规范,所有临床/证据节点必须带KGNode，标签顺序不作为质量问题,P0,AI自动化工具-文献指南解析.md#Neo4j写库边界,是,是,是,是,否,检查主SKILL和导入审计,
1.3,学科骨架框架,支持多学科，不能写死心血管内科或内科学,P0,AI自动化工具-文献指南解析.md#多学科兼容原则,是,是,是,否,否,检查主SKILL,
1.6,踩坑日志,可复用错误必须写入踩坑日志和错误指纹库,P0,AI自动化工具-文献指南解析.md#日志与错误指纹,是,是,否,否,否,检查主SKILL和项目管理中心,
1.7,步骤记录,每轮关键任务必须写步骤记录，主文件只保留近期入口，历史归档,P0,AI自动化工具-文献指南解析.md#日志与错误指纹,是,是,否,否,否,检查主SKILL和运行记录索引,
2,任务确认闸门,未确认学科、疾病大类、专病范围、PDF路径、教材路径、输出路径前不得执行,P0,AI自动化工具-文献指南解析.md#启动前必填参数,是,否,否,否,否,检查启动模板,
3,执行范围,支持顶层学科、疾病大类、专病、补丁修复、体检审计等scope_type,P0,技能文档_skill_docs/02_启动参数与batch_config规则.md,是,是,否,否,否,检查batch_config规则,
4,来源体系,教材、指南、共识、外部权威来源必须区分来源类型和证据等级边界,P0,技能文档_skill_docs/04_指南PDF抽取规则.md,是,是,是,否,否,检查来源规则,
5,基础教材/专著证据库,教材作为骨架证据，不得伪造指南推荐等级,P0,技能文档_skill_docs/03_教材骨架抽取规则.md,是,是,是,否,否,检查教材来源规则,
6,文献清单去重,同名PDF/DOC等不同格式不得重复计数，必须输出正式来源清单,P0,技能文档_skill_docs/04_指南PDF抽取规则.md,是,是,否,是,否,检查source_documents_manifest,
7,页面解析,PDF/OCR/页面质量必须审计，乱码和阻断要记录原因,P0,技能文档_skill_docs/04_指南PDF抽取规则.md,是,是,否,是,否,检查G0/G1报告,
8,解析安全,不得把本地绝对路径写入正式节点或关系,P0,技能文档_skill_docs/05_质量硬闸门.md,是,是,是,是,否,检查local_path_pollution,
9,Schema映射,实体类型和关系类型必须来自当前Schema或兼容清单,P0,AI自动化工具-文献指南解析.md#Schema与字段映射,是,是,是,是,否,检查Schema版本和审计白名单,
10,实体归一,疾病、症状、体征、检查、药物、手术、危险因素必须做术语归一和别名管理,P0,技能文档_skill_docs/06_术语归一与别名规则.md,是,是,是,是,否,检查术语字典和aliases,
10.2.2,药品归一,Medication.name必须是中文标准通用名或标准类别名，英文缩写/商品名放aliases,P0,技能文档_skill_docs/06_术语归一与别名规则.md,是,是,是,是,否,检查药物字典和节点name,
11,否定事实,否定、排除、禁忌不得抽成正向事实关系,P0,技能文档_skill_docs/05_质量硬闸门.md,是,是,是,是,否,检查否定关系审计,
12,阈值规则,数值阈值必须带单位、方向、时间窗，不能只写数值,P0,技能文档_skill_docs/05_质量硬闸门.md,是,是,是,是,否,检查ThresholdRule,
