scope,disease_code,disease,rule_code,rule_name,rule_text,evidence_code,evidence_name,source_name,score,matched_keywords,status
心律失常,DIS-CARD-ARR-AF,心房颤动,RULE-CDSS-AF-ARR-AF-01-01-DIAG,心房颤动诊断确认阶段规则,当患者症状、体征或检查提示心房颤动可能时，先补齐诊断标准、关键检查和鉴别诊断依据。,EVD-TB-BD3DD4B123954CD56A28-ARVC,《内科学》第10版 第313页证据（SEG-DOC-C0BB559FA2C8448A-313-TB-00027）,《内科学》第10版,37,心律失常；心动过速；传导阻滞；室速；AF；SVT；VT；VF；CARD；ARR；诊断；评估；心电图；超声；心脏磁共振；检查；有原文证据,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,RULE-CDSS-AF-ARR-AF-02-01-RISK,心房颤动风险分层阶段规则,在心房颤动诊断成立或高度疑似后，结合危险因素、评分/分层和并发症决定后续处理强度。,EVD-TB-BD3DD4B123954CD56A28-ARVC,《内科学》第10版 第313页证据（SEG-DOC-C0BB559FA2C8448A-313-TB-00027）,《内科学》第10版,39,心律失常；心动过速；传导阻滞；室速；AF；SVT；VT；VF；CARD；ARR；诊断；评估；心电图；超声；心脏磁共振；检查；猝死；有原文证据,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,RULE-CDSS-AF-ARR-AF-03-01-TREAT,心房颤动治疗决策阶段规则,在诊断和风险评估基础上，结合禁忌证、合并症和患者状态触发治疗推荐。,EVD-TB-BD3DD4B123954CD56A28-ARVC,《内科学》第10版 第313页证据（SEG-DOC-C0BB559FA2C8448A-313-TB-00027）,《内科学》第10版,45,心律失常；心动过速；传导阻滞；室速；AF；SVT；VT；VF；CARD；ARR；诊断；评估；心电图；超声；心脏磁共振；检查；治疗；药物；手术；猝死；有原文证据,linked
心律失常,DIS-CARD-ARR-AF,心房颤动,RULE-CDSS-AF-ARR-AF-04-01-FOLLOW,心房颤动随访管理阶段规则,治疗后或稳定期按照随访计划复评疗效、不良事件和风险变化。,EVD-4636855977146C2FB654-HCM,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf 第20页证据（SEG-DOC-80984BC35C87AC53-20-GL-00076-HCM）,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf,41,心律失常；房颤；室速；室颤；SVT；VT；CARD；治疗；药物；消融；起搏；利尿；禁忌；风险；卒中；评分；监测；有原文证据；指南/共识,linked
心律失常,DIS-CARD-ARR-AFL,心房扑动,RULE-CDSS-SVTAFL-ARR-AFL-01-01-DIAG,心房扑动诊断确认阶段规则,当患者症状、体征或检查提示心房扑动可能时，先补齐诊断标准、关键检查和鉴别诊断依据。,EVD-CARD-FOUND-00040,心房扑动-exam-教材证据,《内科学（第10版）》.docx,37,同病种；心房扑动；心律失常；房颤；房扑；心动过速；传导阻滞；AF；AFL；CARD；ARR；心电图；有原文证据,linked
心律失常,DIS-CARD-ARR-AFL,心房扑动,RULE-CDSS-SVTAFL-ARR-AFL-02-01-RISK,心房扑动风险分层阶段规则,在心房扑动诊断成立或高度疑似后，结合危险因素、评分/分层和并发症决定后续处理强度。,EVD-TB-BD3DD4B123954CD56A28-ARVC,《内科学》第10版 第313页证据（SEG-DOC-C0BB559FA2C8448A-313-TB-00027）,《内科学》第10版,39,心律失常；心动过速；传导阻滞；室速；AF；SVT；VT；VF；CARD；ARR；诊断；评估；心电图；超声；心脏磁共振；检查；猝死；有原文证据,linked
心律失常,DIS-CARD-ARR-AFL,心房扑动,RULE-CDSS-SVTAFL-ARR-AFL-03-01-TREAT,心房扑动治疗决策阶段规则,在诊断和风险评估基础上，结合禁忌证、合并症和患者状态触发治疗推荐。,EVD-TB-BD3DD4B123954CD56A28-ARVC,《内科学》第10版 第313页证据（SEG-DOC-C0BB559FA2C8448A-313-TB-00027）,《内科学》第10版,45,心律失常；心动过速；传导阻滞；室速；AF；SVT；VT；VF；CARD；ARR；诊断；评估；心电图；超声；心脏磁共振；检查；治疗；药物；手术；猝死；有原文证据,linked
心律失常,DIS-CARD-ARR-AFL,心房扑动,RULE-CDSS-SVTAFL-ARR-AFL-04-01-FOLLOW,心房扑动随访管理阶段规则,治疗后或稳定期按照随访计划复评疗效、不良事件和风险变化。,EVD-CARD-FOUND-00042,心房扑动-symptom-教材证据,《内科学（第10版）》.docx,41,同病种；心房扑动；心律失常；房颤；房扑；心动过速；AF；AFL；CARD；ARR；治疗；药物；消融；起搏；有原文证据,linked
心律失常,DIS-CARD-ARR-AT,房性心动过速,RULE-CDSS-SVTAFL-ARR-AT-01-01-DIAG,房性心动过速诊断确认阶段规则,当患者症状、体征或检查提示房性心动过速可能时，先补齐诊断标准、关键检查和鉴别诊断依据。,EVD-TB-BD3DD4B123954CD56A28-ARVC,《内科学》第10版 第313页证据（SEG-DOC-C0BB559FA2C8448A-313-TB-00027）,《内科学》第10版,39,心律失常；心动过速；传导阻滞；室速；AF；SVT；VT；VF；CARD；ARR；AT；诊断；评估；心电图；超声；心脏磁共振；检查；有原文证据,linked
心律失常,DIS-CARD-ARR-AT,房性心动过速,RULE-CDSS-SVTAFL-ARR-AT-02-01-RISK,房性心动过速风险分层阶段规则,在房性心动过速诊断成立或高度疑似后，结合危险因素、评分/分层和并发症决定后续处理强度。,EVD-TB-BD3DD4B123954CD56A28-ARVC,《内科学》第10版 第313页证据（SEG-DOC-C0BB559FA2C8448A-313-TB-00027）,《内科学》第10版,41,心律失常；心动过速；传导阻滞；室速；AF；SVT；VT；VF；CARD；ARR；AT；诊断；评估；心电图；超声；心脏磁共振；检查；猝死；有原文证据,linked
