level,chapter_title,section_title,title,start_paragraph,end_paragraph,source_section_path,has_overview,overview_preview,slots
chapter,心力衰竭,,心力衰竭,3905,3909,心力衰竭 > 心力衰竭,yes,心力衰竭（heart failure，HF）是各种原因导致的心脏结构和 / 或功能异常，使心脏出现收缩和 / 或充盈障碍，在静息或运动时心排血量下降或心腔内压力增高而引起的一组复杂临床综合征，主要表现为活动耐量下降和液体潴留。心功能不全（cardiac dysfunction）是一个更广泛的概念，伴有临床症状的心功能不全称之为心力衰竭（简称心衰）。,
section,心力衰竭,心力衰竭总论,心力衰竭总论,3910,3965,心力衰竭 > 心力衰竭总论,no,,classification_risk|etiology|pathogenesis
section,心力衰竭,慢性心力衰竭,慢性心力衰竭,3966,4118,心力衰竭 > 慢性心力衰竭,no,,classification_risk|clinical_manifestation|diagnosis_differential|exam_lab|treatment|流行病学
section,心力衰竭,急性心力衰竭,急性心力衰竭,4119,4228,心力衰竭 > 急性心力衰竭,yes,急性心力衰竭（acute heart failure，AHF）是指心力衰竭急性发作和 / 或加重的一种临床综合征，可以是急性新发或慢性心衰急性失代偿。 新发急性心衰的常见病因包括急性心肌损害（如急性冠脉综合征和重症心肌炎等）和急性血流动力学障碍（如急性瓣膜功能障碍、高血压危象、严重心律失常和急性肺栓塞等）。,classification_risk|clinical_manifestation|diagnosis_differential|treatment
chapter,心律失常,,心律失常,4229,4232,心律失常 > 心律失常,no,,
section,心律失常,概 述,概 述,4233,4313,心律失常 > 概 述,yes,正常情况下心脏以一定范围的频率，发生有规律的搏动，这种搏动的冲动起源于窦房结（sinoatrial node，SAN），以一定的顺序和频率传导至心房和心室，协调心脏各部位同步收缩，形成一次心脏搏动，周而复始，为正常节律。心律失常（cardiac arrhythmia）是指心脏冲动的频率、节律、起源部位、传导速度或激动次序的异常，可见于生理情况，更多见于病理性状态，包括心脏本身疾病和非心脏疾病。,心律失常分类|心律失常发生机制|心律失常病因|心律失常的诊断|心脏传导系统
section,心律失常,窦性心律失常,窦性心律失常,4314,4320,心律失常 > 窦性心律失常,yes,正常窦性心律的冲动起源于窦房结，频率为 60～100 次 / 分。心电图显示窦性心律的 P 波在Ⅰ、 Ⅱ、aVF 导联直立，aVR 导联倒置；PR 间期为 0.12～0.20 秒。窦性心律失常是由于窦房结冲动发放频 率的异常或窦性冲动向心房的传导受阻所导致的心律失常。根据心电图及临床表现分为窦性心动过速、窦性心动过缓、窦性停搏、窦房传导阻滞以及病态窦房结综合征。,
item,心律失常,窦性心律失常,窦性心动过速,4321,4326,心律失常 > 窦性心律失常 > 窦性心动过速,yes,成人窦性心律的频率超过 100 次 / 分为窦性心动过速（sinus tachycardia）（图 3-3-4）。目前临床上分为生理性窦性心动过速和不适当窦性心动过速。生理性窦性心动过速通常见于健康人、吸烟、饮茶或咖啡、饮酒、体力活动及情绪激动时；也可见于某些病理状态，如发热、甲亢、贫血、休克、心肌缺血、心力衰竭以及应用肾上腺素、阿托品等药物时。不适当窦性心动过速是指在静息状态下心率的持续性增快，或心率的增快与生理、情绪激动、病理状态或药物作用无关或不相一致，其发生机制不明，可能与窦房结本身的自律性增强，或自主神经...,
item,心律失常,窦性心律失常,窦性心动过缓,4327,4341,心律失常 > 窦性心律失常 > 窦性心动过缓,yes,成人窦性心律的频率低于 60 次 / 分称为窦性心动过缓（sinus bradycardia）（图 3-3-5）。窦性心动过缓常同时伴有窦性心律不齐（不同 PP 间期的差异＞0.12 秒）。窦性心动过缓常见于健康的青年人、运动员及睡眠状态；其他原因包括颅内疾病、严重缺氧、低温、甲状腺功能减退和血管迷走性晕厥等，以及应用拟胆碱药物、胺碘酮、β受体拮抗剂、非二氢吡啶类钙通道阻滞剂或洋地黄类等药物；窦房结病变和急性下壁心肌梗死亦常发生窦性心动过缓。无症状的窦性心动过缓通常无需治疗。如因心率过慢，出现心排血量不足症状如头晕...,
item,心律失常,窦性心律失常,窦房传导阻滞,4342,4346,心律失常 > 窦性心律失常 > 窦房传导阻滞,yes,窦房传导阻滞（sinoatrial block，SAB）指窦房结冲动传导至心房时发生延缓或阻滞。理论上 SAB可分为三度，由于体表心电图不能显示窦房结电活动，因而通过体表心电图无法确定一度和三度窦房传导阻滞的诊断。二度窦房传导阻滞分为两型：莫氏（Mobitz）Ⅰ型即文氏（Wenckebach）阻滞，表现为 PP 间期进行性缩短，直至出现一次长 PP 间期，该长 PP 间期短于基本 PP 间期的两倍（图 3-3-7）；莫氏Ⅱ型阻滞时，长 PP 间期为基本 PP 间期的整倍数。窦房传导阻滞后可出现逸搏心律。窦房传导阻滞...,
