"对象","父级","缺失组","页码","subject_kind","present_groups","note"
"成人先天性心脏病的介入治疗","先天性心血管病","treatment","","therapy_or_management_section","definition","D2_G1自动生成补槽位清单"
"冠状动脉痉挛","冠状动脉疾病的其他表现形式","clinical_manifestation；diagnosis_differential；exam_lab；treatment","","disease_or_subtype","definition","D2_G1自动生成补槽位清单"
"动脉粥样硬化","动脉粥样硬化和冠状动脉粥样硬化性心脏病","clinical_manifestation；diagnosis_differential；exam_lab；treatment","","disease_or_subtype","definition；etiology_pathogenesis","D2_G1自动生成补槽位清单"
"室性心动过速","室性心律失常","diagnosis_differential；exam_lab","","ecg_defined_arrhythmia","clinical_manifestation；definition；etiology_pathogenesis；treatment","D2_G1自动生成补槽位清单"
"室性期前收缩","室性心律失常","diagnosis_differential；exam_lab","","ecg_defined_arrhythmia","clinical_manifestation；definition；etiology_pathogenesis；treatment","D2_G1自动生成补槽位清单"
"心室扑动与心室颤动","室性心律失常","diagnosis_differential；exam_lab；treatment","","disease_or_subtype","clinical_manifestation；definition","D2_G1自动生成补槽位清单"
"心力衰竭总论","心力衰竭","definition","","overview_section","etiology_pathogenesis","D2_G1自动生成补槽位清单"
"慢性心力衰竭","心力衰竭","definition","","disease_or_subtype","clinical_manifestation；diagnosis_differential；exam_lab；treatment","D2_G1自动生成补槽位清单"
"心包积液及心脏压塞","心包疾病","treatment","","disease_or_subtype","clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup","D2_G1自动生成补槽位清单"
"缩窄性心包炎","心包疾病","treatment","","disease_or_subtype","clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup","D2_G1自动生成补槽位清单"
"心律失常的介入治疗和手术治疗","心律失常","treatment","","therapy_or_management_section","definition","D2_G1自动生成补槽位清单"
"抗心律失常药物的合理应用","心律失常","treatment","","therapy_or_management_section","definition","D2_G1自动生成补槽位清单"
"概 述","心律失常","clinical_manifestation；diagnosis_differential；exam_lab；treatment","","disease_or_subtype","definition","D2_G1自动生成补槽位清单"
