id,entity_type,kg_node_code,kg_node_name,target_table,issue_type,reason,proposed_value,current_value,source,target_id,target_code,target_name,review_layer,recommended_action,classification_reason,group_id
643192a010d25469a88783a4bc333a4a,Symptom,SYM-CARD-STEMI-4A580733386B,上腹胀痛,K_SYMPTOM_DICT,MISSING_IN_EXISTING_DICTIONARY,现有Oracle字典未能唯一匹配；第一批不修改既有字典,[],"{""aliases"": []}",Neo4j图谱与Oracle有效字典只读比对,,,,分组批量确认,候选注册,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。,GROUP-K_SYMPTOM_DICT
420fecc2772c5c9499b894829574a83d,Symptom,SYM-CARD-STEMI-9B7354934FF5,下颌颈背部放射痛,K_SYMPTOM_DICT,MISSING_IN_EXISTING_DICTIONARY,现有Oracle字典未能唯一匹配；第一批不修改既有字典,[],"{""aliases"": []}",Neo4j图谱与Oracle有效字典只读比对,,,,分组批量确认,候选注册,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。,GROUP-K_SYMPTOM_DICT
5149ab552a645d8fb43310fc311faace,Symptom,SYM-CARD-STEMI-436709160213,呃逆,K_SYMPTOM_DICT,MISSING_IN_EXISTING_DICTIONARY,现有Oracle字典未能唯一匹配；第一批不修改既有字典,[],"{""aliases"": []}",Neo4j图谱与Oracle有效字典只读比对,,,,分组批量确认,候选注册,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。,GROUP-K_SYMPTOM_DICT
9d7298614e2d56ad8bb4bea420bb73ec,Symptom,SYM-CARD-STEMI-9F4EA3CFC134,安静时持续性胸痛,K_SYMPTOM_DICT,MISSING_IN_EXISTING_DICTIONARY,现有Oracle字典未能唯一匹配；第一批不修改既有字典,[],"{""aliases"": []}",Neo4j图谱与Oracle有效字典只读比对,,,,分组批量确认,候选注册,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。,GROUP-K_SYMPTOM_DICT
9cac94a0ef205b92a959d013fdef07fc,Symptom,SYM-CARD-AECE358B7FF2,放射痛,K_SYMPTOM_DICT,MISSING_IN_EXISTING_DICTIONARY,现有Oracle字典未能唯一匹配；第一批不修改既有字典,[],"{""aliases"": [""左肩放射痛"", ""左臂放射痛"", ""颈部放射痛"", ""下颌放射痛"", ""背部放射痛""]}",Neo4j图谱与Oracle有效字典只读比对,,,,分组批量确认,候选注册,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。,GROUP-K_SYMPTOM_DICT
273e2b86fd215af4b699a1c7206efa6d,Symptom,SYM-CARD-STEMI-D57ED92A672E,活动时心悸,K_SYMPTOM_DICT,MISSING_IN_EXISTING_DICTIONARY,现有Oracle字典未能唯一匹配；第一批不修改既有字典,[],"{""aliases"": []}",Neo4j图谱与Oracle有效字典只读比对,,,,分组批量确认,候选注册,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。,GROUP-K_SYMPTOM_DICT
1cf5a50077cb53f685e72d9a5a247fdb,Symptom,SYM-CARD-80A8947D5A71,濒死感,K_SYMPTOM_DICT,MISSING_IN_EXISTING_DICTIONARY,现有Oracle字典未能唯一匹配；第一批不修改既有字典,[],"{""aliases"": [""濒死感"", ""濒死感觉""]}",Neo4j图谱与Oracle有效字典只读比对,,,,分组批量确认,候选注册,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。,GROUP-K_SYMPTOM_DICT
de0b90e6523953998d7c98f2e1099345,Symptom,SYM-CARD-0FE1D08FA915,突发突止心动过速,K_SYMPTOM_DICT,MISSING_IN_EXISTING_DICTIONARY,现有Oracle字典未能唯一匹配；第一批不修改既有字典,[],"{""aliases"": [""突发突止"", ""阵发性心动过速"", ""发作性心动过速""]}",Neo4j图谱与Oracle有效字典只读比对,,,,分组批量确认,候选注册,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。,GROUP-K_SYMPTOM_DICT
d69c2ccef0ae5d0fa885b0b754158ba2,Symptom,SYM-CARD-3BE3BC2866C6,突发胸背部撕裂样疼痛,K_SYMPTOM_DICT,MISSING_IN_EXISTING_DICTIONARY,现有Oracle字典未能唯一匹配；第一批不修改既有字典,[],"{""aliases"": [""撕裂样胸痛"", ""胸背痛""]}",Neo4j图谱与Oracle有效字典只读比对,,,,分组批量确认,候选注册,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。,GROUP-K_SYMPTOM_DICT
abd1126539b659239ef544af8e1a7a15,Symptom,SYM-CARD-PAD-CLAUDICATION-LEG-SYMPTOMS,间歇性跛行和活动相关下肢症状,K_SYMPTOM_DICT,MISSING_IN_EXISTING_DICTIONARY,现有Oracle字典未能唯一匹配；第一批不修改既有字典,[],"{""aliases"": [""claudication"", ""exertional leg symptoms"", ""limb symptoms""]}",Neo4j图谱与Oracle有效字典只读比对,,,,分组批量确认,候选注册,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。,GROUP-K_SYMPTOM_DICT
