original_code,name,entityType,mapped_code,mapping_status,node_upsert,server_match_count
CARD-SKELETON-FULL-20260709-DEFINITION-A2669377755E4A62,心力衰竭定义,Definition,CARD-SKELETON-FULL-20260709-DEFINITION-A2669377755E4A62,local_new_candidate,True,0
CARD-SKELETON-FULL-20260709-DEFINITIONCOMPONENT-8DB8F50DD3B824F9,是各种原因导致的心脏结构和/或功能异常，使心脏出现收缩和/或充盈障碍，在静息或运动时心排血量下降或心腔内压力增高而引起的一组复杂临床综合征，主要表现为活动耐量下降,DefinitionComponent,CARD-SKELETON-20260709-DEFINITIONCOMPONENT-8DB8F50DD3B824F9,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DEFINITIONCOMPONENT-8191B034D295CFA4,是一个更广泛的概念，伴有临床症状的心功能不全称之为心力衰竭（简称心衰）,DefinitionComponent,CARD-SKELETON-20260709-DEFINITIONCOMPONENT-8191B034D295CFA4,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DEFINITIONCOMPONENT-E7FA213F43362C7B,主要表现为活动耐量下降和液体潴留,DefinitionComponent,CARD-SKELETON-20260709-DEFINITIONCOMPONENT-E7FA213F43362C7B,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DEFINITIONCOMPONENT-E669B92C9B896F4D,导致的心脏结构和/或功能异常，使心脏出现收缩和/或充盈障碍，在静息或运动时心排血量下降或心腔内压力增高而引起的一组复杂临床综,DefinitionComponent,CARD-SKELETON-20260709-DEFINITIONCOMPONENT-E669B92C9B896F4D,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DEFINITIONCOMPONENT-DF21CDD56F040F9B,引起的一组复杂临床综合征，主要表现为活动耐量下降和液体潴留,DefinitionComponent,CARD-SKELETON-20260709-DEFINITIONCOMPONENT-DF21CDD56F040F9B,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-FBC8988935A6B6F5,（一）按发生的部位分类左心室代偿功能不全所致为左心衰竭,DiseaseClassification,CARD-SKELETON-20260709-DISEASECLASSIFICATION-FBC8988935A6B6F5,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-2F3B270C14EBF999,右心室代偿功能不全所致为右心衰竭,DiseaseClassification,CARD-SKELETON-20260709-DISEASECLASSIFICATION-2F3B270C14EBF999,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-166A31C01D170E49,左心衰竭和右心衰竭同时存在即为全心衰竭,DiseaseClassification,CARD-SKELETON-20260709-DISEASECLASSIFICATION-166A31C01D170E49,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-FDBC8B9D332EF7C0,（二）按发生的速度分类根据心衰发生的速度可分为慢性心衰和急性心衰,DiseaseClassification,CARD-SKELETON-20260709-DISEASECLASSIFICATION-FDBC8B9D332EF7C0,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-6D548BBAB4A66D2F,1.急性心衰系因急性的严重心肌损害、结构破坏、心律失常或突然加重的心脏负荷,DiseaseClassification,CARD-SKELETON-20260709-DISEASECLASSIFICATION-6D548BBAB4A66D2F,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-39F01C63BB11BB9B,可以是初发心衰,DiseaseClassification,CARD-SKELETON-20260709-DISEASECLASSIFICATION-39F01C63BB11BB9B,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-6279901326F700A1,也可以是慢性心衰急性加重,DiseaseClassification,CARD-SKELETON-20260709-DISEASECLASSIFICATION-6279901326F700A1,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-0F476B8279CAC9AE,2.慢性心衰呈一个缓慢的发展过程,DiseaseClassification,CARD-SKELETON-20260709-DISEASECLASSIFICATION-0F476B8279CAC9AE,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-DE6B394D88B989C0,（三）按左心室射血分数分类根据左心室射血分数（leftventricularejectionfraction,DiseaseClassification,CARD-SKELETON-20260709-DISEASECLASSIFICATION-DE6B394D88B989C0,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-E51C7E4ECEA047D3,LVEF）进行的心衰分类在临床上具有重要意义,DiseaseClassification,CARD-SKELETON-20260709-DISEASECLASSIFICATION-E51C7E4ECEA047D3,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-AAAC1C88BFF4E4B8,LVEF≤40%者称为射血分数降低的心衰（HFwithreducedEF,DiseaseClassification,CARD-SKELETON-20260709-DISEASECLASSIFICATION-AAAC1C88BFF4E4B8,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-RISKFACTOR-031669F9C55F4858,心律失常,RiskFactor,CARD-SKELETON-20260709-RISKFACTOR-031669F9C55F4858,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-ETIOLOGY-C67AB31B5E04BBD0,（一）基本病因1.心肌收缩力降低（1）原发性心肌损害：冠状动脉疾病导致缺血性心肌损害如心肌梗死、慢性心肌缺血,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-C67AB31B5E04BBD0,local_new_candidate,True,0
CARD-SKELETON-FULL-20260709-ETIOLOGY-289825D53B121FDA,炎症导致心肌损害如心肌炎,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-289825D53B121FDA,local_new_candidate,True,0
CARD-SKELETON-FULL-20260709-ETIOLOGY-D2C053DC81DD318C,遗传性心肌病如扩张型心肌病、肥厚型心肌病、致心律失常性右心室心肌病等,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-D2C053DC81DD318C,local_new_candidate,True,0
CARD-SKELETON-FULL-20260709-ETIOLOGY-4D7309BA21612D59,2.心室舒张和充盈受限心室充盈受限是指在静脉回心血量无明显减少的情况下,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-4D7309BA21612D59,local_new_candidate,True,0
CARD-SKELETON-FULL-20260709-ETIOLOGY-5A6AD2C9F614450C,因心脏本身的病变引起的心脏舒张和充盈障碍,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-5A6AD2C9F614450C,local_new_candidate,True,0
CARD-SKELETON-FULL-20260709-ETIOLOGY-BD411116DF4138FE,肥厚型心肌病时肥厚心肌的顺应性减退,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-BD411116DF4138FE,local_new_candidate,True,0
CARD-SKELETON-FULL-20260709-ETIOLOGY-48A36C153863BAA6,使心室舒张期充盈障碍,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-48A36C153863BAA6,local_new_candidate,True,0
CARD-SKELETON-FULL-20260709-ETIOLOGY-423B052CAACB6836,房颤快心室率时心室舒张期缩短,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-423B052CAACB6836,local_new_candidate,True,0
CARD-SKELETON-FULL-20260709-RISKFACTOR-A9510CF5C3E2BEB4,高血压,RiskFactor,RF-CARD-DE0A9F1FE2C8,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-RISKFACTOR-F3A89F17152778D1,糖尿病,RiskFactor,RF-CARD-26FAEB71ABE2,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-RISKFACTOR-14EA9625781B8D82,冠心病,RiskFactor,RF-CARD-5CED5B5BB8F2,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-RISKFACTOR-79FAB6B4DEF0F9AD,感染,RiskFactor,RF-CARD-TEXT-C77DFF9EAC,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-RISKFACTOR-9E20590F671491DC,贫血,RiskFactor,CARD-SKELETON-20260709-RISKFACTOR-9E20590F671491DC,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-RISKFACTOR-1F6666DF4AED4B7B,肾功能不全,RiskFactor,CARD-SKELETON-20260709-RISKFACTOR-1F6666DF4AED4B7B,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-RISKFACTOR-3F6FFF3E1965BFFB,心肌梗死,RiskFactor,CARD-SKELETON-20260709-RISKFACTOR-3F6FFF3E1965BFFB,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-RISKFACTOR-1712943F67C54DEE,心肌病,RiskFactor,RF-CARD-C0AA96CC5E7E,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-PATHOPHYSIOLOGY-3EDF3A24E28C29D9,心衰始于危险因素对心脏的作用,Pathophysiology,CARD-SKELETON-FULL-20260709-PATHOPHYSIOLOGY-3EDF3A24E28C29D9,local_new_candidate,True,0
CARD-SKELETON-FULL-20260709-PATHOPHYSIOLOGY-2F475A26C1C75060,通过心脏本身的代偿以及神经体液代偿机制等得以维持正常的心输出量,Pathophysiology,CARD-SKELETON-20260709-PATHOPHYSIOLOGY-2F475A26C1C75060,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-PATHOPHYSIOLOGY-101A260365E4ECA0,但这些代偿机制导致进一步心肌损害,Pathophysiology,CARD-SKELETON-20260709-PATHOPHYSIOLOGY-101A260365E4ECA0,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-PATHOPHYSIOLOGY-390F0EC2675F6455,（一）心脏本身机制1.Frank-Starling机制正常心室的心搏出量能在很大幅度内调节,Pathophysiology,CARD-SKELETON-20260709-PATHOPHYSIOLOGY-390F0EC2675F6455,server_existing_same_type_name,False,1
CARD-SKELETON-FULL-20260709-PATHOPHYSIOLOGY-77B7CB9BCFFF0830,以适应机体运动、应激等需求,Pathophysiology,CARD-SKELETON-20260709-PATHOPHYSIOLOGY-77B7CB9BCFFF0830,server_existing_same_type_name,False,1
