source_disease_name,target_subject_name,mapping_type,mapping_status,confidence,review_reason,candidate_targets,source_artifact_scope,source_artifact_mtime,target_artifact_scope,target_artifact_mtime,source_row_count,source_entity_type_counts,target_parent,target_subject_kind,target_docx_start_para,target_docx_end_para
Brugada综合征,,no_candidate,暂不采用,0.3529,未找到足够可靠的 D6 骨架章节/疾病名称,艾森门格综合征:0.353；病态窦房结综合征:0.333；慢性冠状动脉综合征:0.316；急性冠脉综合征:0.316；抗心律失常药物的合理应用:0.091,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,9,"{""Complication"": 1, ""Etiology"": 1, ""Medication"": 1, ""Pathophysiology"": 1, ""Sign"": 3, ""Symptom"": 1, ""TreatmentPlan"": 1}",,,,
ST段抬高型心肌梗死,急性 ST 段抬高型心肌梗死,manual_synonym_rule,可自动采用,0.95,内置心血管常见章节合并/简称规则,急性 ST 段抬高型心肌梗死,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,139,"{""Complication"": 22, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 2, ""Etiology"": 5, ""Exam"": 14, ""LabTest"": 2, ""Medication"": 11, ""Pathophysiology"": 9, ""Procedure"": 9, ""Prognosis"": 3, ""RiskFactor"": 6, ""RiskStratification"": 1, ""Sign"": 22, ""Symptom"": 14, ""TreatmentPlan"": 18}",急性冠脉综合征,disease_or_topic,5197,5398
三尖瓣下移畸形,,no_candidate,暂不采用,0.3333,未找到足够可靠的 D6 骨架章节/疾病名称,二尖瓣狭窄:0.333；二尖瓣反流:0.333；多瓣膜病:0.182；心脏瓣膜病:0.167；主动脉瓣狭窄:0.154,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,33,"{""Complication"": 5, ""DifferentialDiagnosis"": 2, ""Etiology"": 1, ""Exam"": 8, ""Procedure"": 1, ""RiskFactor"": 4, ""Sign"": 9, ""Symptom"": 3}",,,,
下肢动脉硬化闭塞症,下肢动脉硬化闭塞症,exact,可自动采用,1.0,,下肢动脉硬化闭塞症,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,28,"{""Complication"": 5, ""Etiology"": 3, ""Procedure"": 1, ""Prognosis"": 1, ""RiskFactor"": 14, ""RiskStratification"": 1, ""Sign"": 3}",心脏骤停与心脏性猝死,disease_or_topic,7217,7255
不稳定型心绞痛,不稳定型心绞痛和非 ST 段抬高型心肌梗死,manual_synonym_rule,可自动采用,0.95,内置心血管常见章节合并/简称规则,不稳定型心绞痛和非 ST 段抬高型心肌梗死,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,181,"{""Complication"": 34, ""DiagnosisCriteria"": 2, ""DifferentialDiagnosis"": 5, ""Etiology"": 6, ""Exam"": 18, ""LabTest"": 5, ""Medication"": 16, ""Pathophysiology"": 11, ""Procedure"": 10, ""Prognosis"": 4, ""RiskFactor"": 7, ""RiskStratification"": 4, ""Sign"": 16, ""Symptom"": 17, ""TreatmentPlan"": 26}",急性冠脉综合征,disease_or_topic,5127,5196
主动脉夹层,主动脉夹层,exact,可自动采用,1.0,,主动脉夹层,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,239,"{""Complication"": 28, ""DiagnosisCriteria"": 8, ""DifferentialDiagnosis"": 14, ""Etiology"": 12, ""Exam"": 25, ""FollowUp"": 1, ""LabTest"": 6, ""Medication"": 13, ""Pathophysiology"": 4, ""Procedure"": 5, ""Prognosis"": 3, ""RiskFactor"": 37, ""Sign"": 32, ""Symptom"": 39, ""TreatmentPlan"": 12}",心脏骤停与心脏性猝死,disease_or_topic,7157,7216
主动脉瓣反流,主动脉瓣反流,exact,可自动采用,1.0,,主动脉瓣反流,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,147,"{""Complication"": 25, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 3, ""Etiology"": 4, ""Exam"": 10, ""FollowUp"": 2, ""LabTest"": 4, ""Medication"": 11, ""Pathophysiology"": 1, ""Procedure"": 8, ""Prognosis"": 1, ""RiskFactor"": 29, ""Sign"": 23, ""Symptom"": 18, ""TreatmentPlan"": 7}",心脏瓣膜病,disease_or_topic,6458,6511
主动脉瓣狭窄,主动脉瓣狭窄,exact,可自动采用,1.0,,主动脉瓣狭窄,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,234,"{""Complication"": 30, ""DiagnosisCriteria"": 4, ""DifferentialDiagnosis"": 16, ""Epidemiology"": 3, ""Etiology"": 23, ""Exam"": 26, ""FollowUp"": 1, ""LabTest"": 11, ""Medication"": 8, ""Pathophysiology"": 7, ""Procedure"": 12, ""Prognosis"": 3, ""RiskFactor"": 28, ""Sign"": 21, ""Symptom"": 31, ""TreatmentPlan"": 10}",心脏瓣膜病,disease_or_topic,6392,6457
主动脉瘤,,no_candidate,暂不采用,0.6667,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉夹层:0.667；主动脉瓣狭窄:0.600；主动脉瓣反流:0.600；动脉粥样硬化:0.400；冠状动脉痉挛:0.400,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,57,"{""Complication"": 7, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 3, ""Etiology"": 11, ""Exam"": 5, ""LabTest"": 2, ""Pathophysiology"": 1, ""Prognosis"": 2, ""RiskFactor"": 19, ""Sign"": 4, ""TreatmentPlan"": 2}",,,,
主动脉窦瘤,,no_candidate,暂不采用,0.6,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉夹层:0.600；主动脉瓣狭窄:0.545；主动脉瓣反流:0.545；动脉粥样硬化:0.364；冠状动脉痉挛:0.364,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,39,"{""Complication"": 10, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 3, ""Exam"": 10, ""FollowUp"": 2, ""LabTest"": 1, ""Pathophysiology"": 1, ""Procedure"": 5, ""RiskFactor"": 6}",,,,
主动脉缩窄,,no_candidate,暂不采用,0.7273,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉瓣狭窄:0.727；主动脉夹层:0.600；主动脉瓣反流:0.545；动脉粥样硬化:0.364；冠状动脉痉挛:0.364,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,60,"{""Complication"": 5, ""DiagnosisCriteria"": 4, ""DifferentialDiagnosis"": 3, ""Exam"": 6, ""FollowUp"": 1, ""LabTest"": 1, ""Procedure"": 2, ""Prognosis"": 1, ""RiskFactor"": 12, ""Sign"": 18, ""Symptom"": 7}",,,,
二叶主动脉瓣,,no_candidate,暂不采用,0.6667,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉瓣狭窄:0.667；主动脉瓣反流:0.667；主动脉夹层:0.545；二尖瓣狭窄:0.364；二尖瓣反流:0.364,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,24,"{""Complication"": 6, ""DifferentialDiagnosis"": 1, ""Epidemiology"": 1, ""Etiology"": 2, ""Exam"": 3, ""Procedure"": 1, ""Prognosis"": 1, ""RiskFactor"": 7, ""Sign"": 2}",,,,
二尖瓣反流,二尖瓣反流,exact,可自动采用,1.0,,二尖瓣反流,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,214,"{""Complication"": 31, ""DiagnosisCriteria"": 6, ""DifferentialDiagnosis"": 3, ""Etiology"": 5, ""Exam"": 23, ""FollowUp"": 2, ""LabTest"": 6, ""Medication"": 9, ""Pathophysiology"": 5, ""Procedure"": 11, ""Prognosis"": 4, ""RiskFactor"": 31, ""Sign"": 42, ""Symptom"": 23, ""TreatmentPlan"": 13}",心脏瓣膜病,disease_or_topic,6567,6621
二尖瓣狭窄,二尖瓣狭窄,exact,可自动采用,1.0,,二尖瓣狭窄,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,257,"{""Complication"": 46, ""DiagnosisCriteria"": 4, ""DifferentialDiagnosis"": 6, ""Epidemiology"": 1, ""Etiology"": 3, ""Exam"": 17, ""FollowUp"": 2, ""LabTest"": 13, ""Medication"": 18, ""Pathophysiology"": 3, ""Procedure"": 6, ""Prognosis"": 2, ""RiskFactor"": 38, ""RiskStratification"": 1, ""Sign"": 47, ""Symptom"": 31, ""TreatmentPlan"": 19}",心脏瓣膜病,disease_or_topic,6512,6566
