entity_type,node_code,node_name,source_table,status,影响疾病数,影响疾病,影响推荐数,required_action
ExamItem,EXAM-CARD-A80B855C8C77,12导联心电图,K_EXAM_ITEM_DICT,pending_dictionary_registration,9,室上性心动过速；心房扑动；心房颤动；急性冠脉综合征；慢性冠脉综合征；房室折返性心动过速；房室结折返性心动过速；房性心动过速；预激综合征,9,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
ExamItem,EXAM-CARD-41BF81CAB3CE,事件记录仪,K_EXAM_ITEM_DICT,pending_dictionary_registration,1,心房颤动,1,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,K_EXAM_ITEM_DICT,pending_dictionary_registration,13,一度房室传导阻滞；三度房室传导阻滞；室上性心动过速；心房扑动；房室传导阻滞；房室折返性心动过速；房室结折返性心动过速；房性心动过速；束支传导阻滞；窦性心动过缓；窦房结功能障碍；缓慢性心律失常；预激综合征,13,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
LabItem,EXAM-CARD-01C3182D129E,利钠肽,K_LAB_ITEM_DICT,pending_dictionary_registration,10,全心衰竭；右心衰竭；射血分数保留的心力衰竭；射血分数轻度降低的心力衰竭；射血分数降低的心力衰竭；左心衰竭；心肌梗死后心力衰竭；急性心力衰竭；慢性心力衰竭；透析患者慢性心力衰竭,10,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
LabItem,LAB-CARD-RENAL-ELECTROLYTE-CDSS,肾功能与电解质,K_LAB_ITEM_DICT,pending_dictionary_registration,8,室性心律失常；室性期前收缩；尖端扭转型室性心动过速；心室扑动与心室颤动；心脏性猝死；心脏骤停；持续性室性心动过速；长QT间期综合征,8,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
Medication,MED-CARD-STD-0401DB9741,地尔硫卓,K_DRUG_DICT,candidate_conflict,1,心房颤动,1,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。
Medication,MED-CARD-0D88ECB6525C,普罗帕酮,K_DRUG_DICT,candidate_conflict,2,持续性室性心动过速；预激综合征,2,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。
Medication,MED-CARD-STD-9146894909,普萘洛尔,K_DRUG_DICT,candidate_conflict,2,持续性室性心动过速；长QT间期综合征,2,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。
Medication,MED-CARD-STD-DE220086E9,硝酸甘油,K_DRUG_DICT,candidate_conflict,1,慢性冠脉综合征,1,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。
Medication,MED-CARD-F50DC811465A,索他洛尔,K_DRUG_DICT,candidate_conflict,1,预激综合征,1,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。
Medication,MED-CARD-STD-C685CE7163,维拉帕米,K_DRUG_DICT,candidate_conflict,1,预激综合征,1,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。
Procedure,PROC-CARD-69A311F01D4B,三尖瓣环峡部消融,K_OPERATION_HANDLE_DICT,pending_dictionary_registration,1,预激综合征,1,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
Procedure,PROC-CARD-128A6330E583,临时心脏起搏术,K_OPERATION_HANDLE_DICT,pending_dictionary_registration,2,持续性室性心动过速；长QT间期综合征,2,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
Procedure,PROC-CARD-36488EFD8194,同步直流电复律,K_OPERATION_HANDLE_DICT,pending_dictionary_registration,1,持续性室性心动过速,1,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
Procedure,PROC-CARD-1AB2CA8618BF,外科迷宫手术,K_OPERATION_HANDLE_DICT,pending_dictionary_registration,1,心房颤动,1,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
Procedure,PROC-SEPTAL-MYECTOMY,室间隔切除术,K_OPERATION_HANDLE_DICT,pending_dictionary_registration,1,肥厚型心肌病,1,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
