疾病范围,章节范围,关键词,教材段落,章节内原文片段
冠心病-急性心肌梗死/STEMI,《内科学》第10版 段落3559-段落3738,STEMI,段落3560,STEMI 是指急性心肌缺血性坏死，大多是在冠脉病变的基础上，发生冠脉血供急剧减少或中断，使相应的心肌严重而持久地急性缺血所致。常见原因为在冠脉不稳定斑块破裂、糜烂、侵蚀基础上继发血栓形成导致冠脉血管持续、完全闭塞，少部分为冠脉开口堵塞，如主动脉夹层撕裂累及冠脉开口，或医源性的，如经导管主动脉瓣植入术导致的冠脉口堵塞，其他少见的原因包括血栓栓塞、自发性夹层或持续的冠脉痉挛。
冠心病-急性心肌梗死/STEMI,《内科学》第10版 段落3559-段落3738,再灌注,段落3677,（二）解除疼痛 心肌再灌注治疗开通梗死相关血管、恢复缺血心肌的供血是解除疼痛最有效的方法，但在再灌注治疗前可选用下列药物尽快解除疼痛。
冠心病-急性心肌梗死/STEMI,《内科学》第10版 段落3559-段落3738,溶栓,段落3640,2. 血清心肌坏死标志物 其增高水平与心肌坏死范围及预后明显相关。①肌红蛋白起病后 2小时内升高，12 小时内达高峰，24～48 小时内恢复正常。②cTnI 或 cTnT 起病 3～4 小时后升高，cTnI于 11～24 小时达高峰，7～10 天降至正常；cTnT 于 24～48 小时达高峰，10～14 天降至正常。这些心肌结构蛋白含量的增高是诊断 MI 的敏感指标。③肌酸激酶同工酶 CK-MB 升高，起病后 4 小时内增高，16～24 小时达高峰，3～4 天恢复正常，其增高的程度能较准确地反映梗死的范围，其高峰出
冠心病-急性心肌梗死/STEMI,《内科学》第10版 段落3559-段落3738,经皮冠状动脉介入术,段落3688,1. 经皮冠状动脉介入术 若病人在救护车上或无 PCI 能力的医院，但预计 120 分钟内可转运至有 PCI 条件的医院并完成 PCI，则首选直接 PCI 策略，力争在 90 分钟内完成再灌注；或病人在可行PCI 的医院，则应力争在 60 分钟内完成再灌注。
冠心病-急性心肌梗死/STEMI,《内科学》第10版 段落3559-段落3738,Killip,段落3596,根据有无心力衰竭表现及其相应血流动力学改变的严重程度，AMI 引起的心力衰竭按 Killip 分级法可分为：
冠心病-急性心肌梗死/STEMI,《内科学》第10版 段落3559-段落3738,心电图,段落3614,（一）心电图 ECG 常有进行性动态改变。对 AMI 的诊断、定位、定范围、估计病情演变和预后都有帮助。急性胸痛病人在 FMC 后 10 分钟内行 ECG 检查的主要目的是及时确定 STEMI 的诊断。
冠心病-急性心肌梗死/STEMI,《内科学》第10版 段落3559-段落3738,肌钙蛋白,段落3655,4. 急腹症 急性胰腺炎、消化性溃疡穿孔、急性胆囊炎、胆石症等，均有上腹部疼痛，还有可能伴休克。仔细询问病史、体格检查、心电图、血清心肌酶和肌钙蛋白测定可协助鉴别。
冠心病-急性心肌梗死/STEMI,《内科学》第10版 段落3559-段落3738,禁忌证,段落3680,3. β受体拮抗剂 能减少心肌耗氧量和改善缺血区的氧供需失衡，缩小 MI 面积，减少复发性心肌缺血、再梗死、室颤及其他恶性心律失常，对降低急性期病死率有肯定的疗效。无下列情况者，应在发病 24 小时内尽早常规口服应用：①心力衰竭；②低心排血量状态；③心源性休克危险性增高（年龄 >70 岁、收缩压＜120mmHg、窦性心动过速＞110 次 / 分或心率＜60 次 / 分，以及距发生 STEMI 的时间增加）；④其他使用禁忌。一般首选心脏选择性药物，从小剂量开始（相当于目标剂量的 1/4），逐渐递增，使静息心率降至 5
心肌病-肥厚型心肌病,《内科学》第10版 段落3931-段落3986,肥厚型心肌病,段落3931,第一节 | 肥厚型心肌病
心肌病-肥厚型心肌病,《内科学》第10版 段落3931-段落3986,基因,段落3933,【发病机制】 HCM 系常染色体显性遗传，半数为家族性，已发现至少 8 个肌小节蛋白的编码基因突变。约 60% 的病人有致病 / 可能致病变异，其中 MYH7 和 MYBPC3 突变占 70%；40% 未检出变异，多为散发病例。本病表型多样，与基因及环境因素相互作用有关。
心肌病-肥厚型心肌病,《内科学》第10版 段落3931-段落3986,家族,段落3933,【发病机制】 HCM 系常染色体显性遗传，半数为家族性，已发现至少 8 个肌小节蛋白的编码基因突变。约 60% 的病人有致病 / 可能致病变异，其中 MYH7 和 MYBPC3 突变占 70%；40% 未检出变异，多为散发病例。本病表型多样，与基因及环境因素相互作用有关。
心肌病-肥厚型心肌病,《内科学》第10版 段落3931-段落3986,左室流出道,段落3935,【病理生理】 左室流出道梗阻（left ventricular outflow tract obstruction，LVOTO）和心脏舒张功能障碍是本病的病理生理基础。
心肌病-肥厚型心肌病,《内科学》第10版 段落3931-段落3986,猝死,段落3932,肥厚型心肌病（hypertrophic cardiomyopathy，HCM）是一类以左心室和 / 或右心室肥厚，伴舒张功能障碍为特征的心肌病，需排除继发于后负荷增加或系统性疾病的心肌肥厚。HCM 发病率成人为2‰、儿童为 0.02～0.05‰，患病率为 0.29‰，临床表现差异大，部分病人以 SCD 为首发表现，是青少年和运动猝死的重要原因。
心肌病-肥厚型心肌病,《内科学》第10版 段落3931-段落3986,ICD,段落3986,（五）猝死预防 植入型心律转复除颤器（ICD）是猝死幸存者的绝对适应证（2 级预防）和猝死高危者的相对适应证（1 级预防），但是否植入取决于病人意愿、预测生存期( ≥1 年）及危险分层，这些指征原则上适合于各表型的 CM 病人。对 HCM 病人，指南推荐应用 HCM Risk-SCD 模型进行危险分层；临床上，猝死高危因素包括：早发家族史、心脏骤停或 SVT 致血流动力学不稳定史、运动或不明原因的晕厥、左心室肥厚( ≥30mm）、心尖室壁瘤、LVEF＜50%、反复 NSVT、LGE 定量≥15% 左室质量。
心肌病-肥厚型心肌病,《内科学》第10版 段落3931-段落3986,mavacamten,段落3970,2. 肌球蛋白抑制剂 玛伐凯泰（mavacamten）是目前唯一获批的心肌肌球蛋白抑制剂，其选择性抑制心肌肌球蛋白重链 ATP 酶活性，可逆性抑制肌球 - 肌动蛋白横桥的过量形成，抑制心肌过度收缩，改善心肌顺应性及能量代谢，主要用于有症状、NYHA 心功能Ⅱ~Ⅲ级的梗阻型 HCM 成人病人，但不适合左室射血分数（LVEF）＜55% 者。
心肌病-肥厚型心肌病,《内科学》第10版 段落3931-段落3986,家系,段落3951,2. 超声心动图 经胸超声心动图（TTE）为首选检查方法，可用于初始评估、定期随访、家系筛查及疗效评估。TTE 主要表现为（文末彩图 3-6-2）：室间隔不对称肥厚、LVOTO、SAM、左室舒张功能障碍。须注意：①肥厚心肌可发生于任何部位；②静息时无梗阻时应做激发试验，可让病人取半仰卧位结合瓦氏动作再行多普勒超声检查；如仍未诱发 LVOTO 压差≥50mmHg，应做运动而非药物负荷试验。
