entity_type,node_code,node_name,status,影响疾病数,影响疾病,note,required_action
ExamItem,EXAM-GENETIC,基因检测,needs_specific_exam,20,Brugada综合征；儿茶酚胺敏感性多形性室性心动过速；室性心律失常；室性期前收缩；尖端扭转型室性心动过速；心室扑动与心室颤动；心脏性猝死；心脏骤停；扩张型心肌病；持续性室性心动过速；法布雷病心肌病；短QT间期综合征；肥厚型心肌病；致心律失常性双心室心肌病；致心律失常性右心室心肌病；致心律失常性左心室心肌病；致心律失常性心肌病；长QT间期综合征；非扩张型左心室心肌病；非持续性室性心动过速,基因检测为宽口径检查动作，不同疾病对应检测范围不同。,按疾病和原文证据确定基因检测类型或进入待注册。
ExamItem,EXAM-ECG,心电图,needs_specific_exam,34,Brugada综合征；ST段抬高型心肌梗死；一度房室传导阻滞；三度房室传导阻滞；不稳定型心绞痛；儿茶酚胺敏感性多形性室性心动过速；室性心律失常；室性期前收缩；尖端扭转型室性心动过速；心室扑动与心室颤动；心房心肌病；心脏性猝死；心脏骤停；急性冠脉综合征；急性心肌梗死；慢性冠脉综合征；房室传导阻滞；扩张型心肌病；持续性室性心动过速；束支传导阻滞；短QT间期综合征；稳定型心绞痛；窦性心动过缓；窦房传导阻滞；窦房结功能障碍；缓慢性心律失常；肥厚型心肌病；致心律失常性右心室心肌病；致心律失常性心肌病；长QT间期综合征；陈旧性心肌梗死；隐匿性冠心病；非ST段抬高型心肌梗死；非持续性室性心动过速,心电图为宽口径检查动作；需按原文场景区分常规心电图、动态心电图、急诊心电图等，不能只按名称硬映射。,回原文证据确认具体检查项目；若为普通十二导联/常规心电图，可映射到常规心电图检查。
ExamItem,EXAM-CMR,心脏磁共振,needs_specific_exam,13,尖端扭转型室性心动过速；扩张型心肌病；法布雷病心肌病；淀粉样变心肌病；短QT间期综合征；缺血性心肌病；肥厚型心肌病；致心律失常性双心室心肌病；致心律失常性右心室心肌病；致心律失常性左心室心肌病；致心律失常性心肌病；限制型心肌病；非扩张型左心室心肌病,心脏磁共振需区分平扫、增强、延迟强化等项目。,回原文证据确认具体 CMR 项目。
ExamItem,EXAM-TTE,超声心动图,needs_specific_exam,21,全心衰竭；右心衰竭；室上性心动过速；射血分数保留的心力衰竭；射血分数轻度降低的心力衰竭；射血分数降低的心力衰竭；左心衰竭；心房心肌病；心肌梗死后心力衰竭；急性心力衰竭；急性心肌梗死；慢性心力衰竭；房室折返性心动过速；扩张型心肌病；淀粉样变心肌病；缺血性心肌病；肥厚型心肌病；透析患者慢性心力衰竭；陈旧性心肌梗死；限制型心肌病；预激综合征,超声心动图为宽口径检查动作；Oracle 中存在 M 型、二维、多普勒、经食管、负荷等多种项目。,回原文证据确认具体超声类型；不能直接把宽口径名称当医嘱项目。
LabItem,LAB-CARD-CADCD76D40B9,心肌损伤标志物,needs_lab_subitem_drilldown,10,ST段抬高型心肌梗死；不稳定型心绞痛；室性心律失常；室性期前收缩；心脏性猝死；心脏骤停；急性冠脉综合征；急性心肌梗死；持续性室性心动过速；非ST段抬高型心肌梗死,心肌损伤标志物是组合检验概念，应下钻到肌钙蛋白、CK-MB、肌红蛋白等检验项目/细项。,补具体检验项目和检验细项后再参与正式医嘱。
LabItem,LAB-CARDIAC-BIOMARKERS,心脏生物标志物检测,needs_lab_subitem_drilldown,1,淀粉样变心肌病,心脏生物标志物检测是组合检验概念，应下钻到 BNP、NT-proBNP、肌钙蛋白等项目。,补具体检验项目和检验细项后再参与正式医嘱。
Medication,MED-BETA-BLOCKER,β受体阻滞剂,medication_class_not_orderable,10,ST段抬高型心肌梗死；心房颤动；急性心力衰竭；急性心肌梗死；慢性冠脉综合征；持续性室性心动过速；稳定型心绞痛；缺血性心肌病；长QT间期综合征；陈旧性心肌梗死,β受体阻滞剂是药物类别，不是具体可开立药品。,保留为推荐类别；正式医嘱需下钻到美托洛尔等具体药品和剂型。
Medication,MED-CARD-DAE0F0B68F1D,他汀类药物,medication_class_not_orderable,6,急性心肌梗死；慢性冠脉综合征；稳定型心绞痛；缺血性心肌病；陈旧性心肌梗死；隐匿性冠心病,他汀类药物是药物类别，不是具体可开立药品。,保留为推荐类别；正式医嘱需下钻到阿托伐他汀、瑞舒伐他汀等具体药品和剂型。
Medication,MED-CARD-02BB82DF8F9A,低分子肝素,non_orderable_category,1,心房颤动,药物类别或宽口径药物名称，可展示但不可直接下医嘱。,保留为知识展示或上位类别；正式医嘱需下钻到具体标准字典项目。
Medication,MED-CARD-2CCCA76B39F5,低分子量肝素,medication_class_not_orderable,1,ST段抬高型心肌梗死,低分子量肝素是药物类别/族，不是唯一具体药品。,按指南原文和本院药品字典确认具体药品。
Medication,MED-DIURETIC,利尿剂,medication_class_not_orderable,2,淀粉样变心肌病；缺血性心肌病,利尿剂是药物类别，不是具体可开立药品。,正式医嘱需下钻到呋塞米、托拉塞米等具体药品和剂型。
Medication,MED-CARD-A49408D27901,普通肝素,medication_class_not_orderable,1,ST段抬高型心肌梗死,普通肝素需区分具体药品、剂型和给药途径。,按指南原文和本院药品字典确认具体药品。
Medication,MED-CARD-55157DA54154,硝酸酯类药物,non_orderable_category,2,慢性冠脉综合征；稳定型心绞痛,药物类别或宽口径药物名称，可展示但不可直接下医嘱。,保留为知识展示或上位类别；正式医嘱需下钻到具体标准字典项目。
Medication,MED-AMIODARONE,胺碘酮,needs_drug_form_route,2,致心律失常性左心室心肌病；预激综合征,胺碘酮虽是具体药名，但 Oracle 存在片剂、胶囊、注射液等多剂型。,按急性/长期用药场景确认剂型和给药途径。
Medication,MED-CARD-E40082221530,血管紧张素转换酶抑制剂,non_orderable_category,1,缺血性心肌病,药物类别或宽口径药物名称，可展示但不可直接下医嘱。,保留为知识展示或上位类别；正式医嘱需下钻到具体标准字典项目。
Medication,MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,non_orderable_category,2,慢性冠脉综合征；稳定型心绞痛,药物类别或宽口径药物名称，可展示但不可直接下医嘱。,保留为知识展示或上位类别；正式医嘱需下钻到具体标准字典项目。
TreatmentItem,PROC-CARD-DA0F467D4A30,溶栓治疗,needs_disease_scenario_split,1,ST段抬高型心肌梗死,溶栓治疗是共享宽口径治疗动作；不能把全局共享节点硬映射为 AMI 专属溶栓治疗。,按疾病/场景拆成具体推荐动作，再映射 CDSS 治疗字典。
