domain,recommendation_code,recommendation_name,missing_part,reason,primary_evidence_code,primary_guideline_code,action_code
其他,REC-CARD-STEMI-PRIMARY-PCI,STEMI直接PCI推荐陈述,based_on_guideline,缺少 primary_guideline_code 或目标 Guideline 节点不存在；本批不凭空补指南关系,,,
其他,REC-CARD-STEMI-THROMBOLYSIS,STEMI溶栓治疗推荐陈述,based_on_guideline,缺少 primary_guideline_code 或目标 Guideline 节点不存在；本批不凭空补指南关系,,,
冠心病,REC-CDSS-CAD-STEMI-03-02-FIB-BLOCK,疑似主动脉夹层、活动性出血或重大出血风险未排除前，不得把溶栓作为可执行推荐。,recommends_action,缺少 action_code 或目标动作节点不存在,,,
高血压,REC-HT-CKD-DIAG-DXC-CKD,慢性肾脏病合并高血压：CKD合并高血压诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-CKD-FU-FU-CKD-BP-RENAL,慢性肾脏病合并高血压：CKD高血压血压和肾功能随访推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-CKD-TX-PLAN-CARD-BDE62A3BE028,慢性肾脏病合并高血压：降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-ELDERLY-DIAG-DXC-ELDERLY,老年高血压：老年高血压诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-ELDERLY-FU-FU-CARD-A15AFD3EECB9,老年高血压：老年高血压随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-ELDERLY-TX-PLAN-CARD-0CDCF256C0E6,老年高血压：联合降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-EMERGENCY-DIAG-DXC-EMERGENCY,高血压急症：高血压急症诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-EMERGENCY-FU-FU-CARD-5C2A91913A3B,高血压急症：高血压急症随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-EMERGENCY-TX-PLAN-CARD-0CDCF256C0E6,高血压急症：联合降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-EMERGENCY-TX-PLAN-CARD-BDE62A3BE028,高血压急症：降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-ENDOCRINE-DIAG-DXC-CARD-71E8C657623B,内分泌性高血压：内分泌性高血压诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-ENDOCRINE-FU-FU-CARD-FD508C0F17A1,内分泌性高血压：内分泌性高血压随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-ENDOCRINE-TX-PLAN-CARD-BDE62A3BE028,内分泌性高血压：降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-HT-DIAG-DXC-CARD-AA96D71FB917,高血压：高血压诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-HT-FU-FU-CARD-67AAA3B7D885,高血压：高血压随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-HT-TX-PLAN-CARD-0CDCF256C0E6,高血压：联合降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-HT-TX-PLAN-CARD-2081B78ED14D,高血压：生活方式干预推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-MASKED-DIAG-DXC-MASKED,隐匿性高血压：隐匿性高血压诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-MASKED-FU-FU-CARD-3DAA53000684,隐匿性高血压：隐匿性高血压随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-MASKED-TX-PLAN-CARD-2081B78ED14D,隐匿性高血压：生活方式干预推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
