disease_code,disease_name,node_code,node_name,entity_type,evidence_code,evidence_name,source_name,page,recommendation_level,evidence_level,matched_keywords,match_score,evidence_preview,candidate_count
DIS-CARD-CAD-ACS,急性冠脉综合征,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,TreatmentPlan,EVD-CARD-FULLBOOK-8C17A916E4FFBF,急性冠脉综合征-氧疗-全书回捞证据-5981-E4FFBF,,,N/A,N/A,"['氧疗', '吸氧']",150,1. 吸氧 立即高流量鼻管给氧。,5
DIS-CARD-CAD-ACS,急性冠脉综合征,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,TreatmentPlan,EVD-CARD-FULLBOOK-E554BC7AEBA5EE,急性冠脉综合征-氧疗-全书回捞证据-10743-EBA5EE,,,N/A,N/A,"['氧疗', '吸氧']",150,3. 维持呼吸 自主循环恢复后，病人可有不同程度的呼吸系统功能障碍，一些病人可能仍然需要机械通气和吸氧治疗。呼气末正压（PEEP）通气对呼吸功能不全合并左心衰竭的病人可能很有帮助，但需注意此时血流动力学是否稳定。临床上可以依据动脉血气结果和 / 或无创监测来调节吸氧浓度、PEEP 和每分通气量。,5
DIS-CARD-CAD-ACS,急性冠脉综合征,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,TreatmentPlan,EVD-8D91E281B0419B978A87-ACS,NSTE-ACS CN 2024.pdf 第11页证据（SEG-DOC-223D946BFCBBE084-11-GL-00050-ACS）,,,,,['氧疗'],140,组中合并发生率没有显著差异［107］。                       在MASTER‑DAPT 研究中，短DAPT 个月时   三、合并口服抗凝药物（oral anticoagulant，   口服OAC 的患者（约占36%）在PCI 术后6 停用抗血小板药，其临床净获益优于常规治疗OAC）治疗患者的处理 研究入选稳定冠心病合并心房颤动  正在接受长期OAC 的患者，在有创诊治过程   组［72］。AFIRE 中应考虑不中断OAC治疗（Ⅱa，C）。       ,5
DIS-CARD-CAD-ACS,急性冠脉综合征,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,TreatmentPlan,EVD-F271D06E13424D6D2C8D-ACS,《内科学（第10版）》.pdf 第218页证据（SEG-DOC-C0BB559FA2C8448A-218-GL-00023-ACS）,,,,,"['吸氧', '血氧', '氧饱和度']",60,（一） 初始评估和紧急干预 首先，需要评估是否存在循环或呼吸衰竭。存在心源性休克病人急性期死亡风险最高，需要尽快 纠正休克状态，及早使用血管收缩剂和正性肌力药物，如药物治疗效果不佳，及早行机械循环支持治 疗。存在呼吸衰竭的病人采用无创呼吸机持续加压（CPAP）或双水平气道正压（BiPAP）给氧。无创 通气不能纠正的呼吸衰竭，及早行有创通气治疗。建议在1 小时内纠正休克和呼吸衰竭。 随后，迅速识别出需要针对病因紧急处理的临床情况，包括急性冠脉综合征、高血压急症、严重心 律失常、,5
DIS-CARD-CAD-ACS,急性冠脉综合征,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,TreatmentPlan,EVD-TB-CA44D31B0D90F0B6A087-ACS,《内科学（第10版）》.pdf 第218页证据（SEG-DOC-C0BB559FA2C8448A-218-TB-00020-ACS）,,,,,"['吸氧', '血氧', '氧饱和度']",60,（一） 初始评估和紧急干预 首先，需要评估是否存在循环或呼吸衰竭。存在心源性休克病人急性期死亡风险最高，需要尽快 纠正休克状态，及早使用血管收缩剂和正性肌力药物，如药物治疗效果不佳，及早行机械循环支持治 疗。存在呼吸衰竭的病人采用无创呼吸机持续加压（CPAP）或双水平气道正压（BiPAP）给氧。无创 通气不能纠正的呼吸衰竭，及早行有创通气治疗。建议在1 小时内纠正休克和呼吸衰竭。 随后，迅速识别出需要针对病因紧急处理的临床情况，包括急性冠脉综合征、高血压急症、严重心 律失常、,5
DIS-CARD-CAD-ACS,急性冠脉综合征,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-3F9A9CEAE20ED79F1757-ACS,CCS CN 2024.pdf 第13页证据（SEG-DOC-0CFCD79F003BFB93-13-GL-00088-ACS）,,,,,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入', 'CABG', '旁路移植']",190,患者或最佳治疗策略尚未明确的患者，建议心脏团队干预，以改善患者对合并复杂三支血管病变的CCS                                   Ⅰ          B   预后［146］ 适合行CABG，且合并糖尿病和累及左前降支的多支血管病变的患者，推荐CABG 优于PCI，可降低死亡率   Ⅰ          A  和需要再次行血运重建的风险［136，147］ 有严重左主干病变或多支血管病变伴严重左心室功能障碍（LVEF≤35%）的CCS患者，建议行,5
DIS-CARD-CAD-ACS,急性冠脉综合征,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-0FD2E1A1C41C63483397-ACS,经皮冠状动脉介入治疗指南（2025）.pdf 第5页证据（SEG-DOC-99DE8941F1F5EDF3-5-GL-00024-ACS）,,,,,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入', 'CABG']",180,我国新近研究还显      STEMI 时，均应接受急诊冠状动脉造影，对有适应证的    示，急性冠脉综合征（acute coronary syndrome，ACS）            不可行或失败且有大                                                更大，能 患者行直接PCI。直接PCI                                患者运用IVUS 指导PCI 得到的支架MLA 面积心肌受累，或合并机械性,5
DIS-CARD-CAD-ACS,急性冠脉综合征,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-128E4B4199E04C7C8C9D-ACS,冠心病双联抗血小板治疗中国专家共识.pdf 第12页证据（SEG-DOC-AFBC49A750345874-12-GL-00075-ACS）,,,,,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入', 'CABG']",180,年龄<75 岁的STEMI 静脉溶栓患者，如缺血风险  Ⅱb    B                                       较高或后续拟行PCI，可考虑在溶栓48 h后在阿             指南的观点：在所有      司匹林基础上给予替格瑞洛（180                                                     mg负荷剂量，   本共识同意2020 年ESC                     ,5
DIS-CARD-CAD-ACS,急性冠脉综合征,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-8BEE9064D89767A9D095-ACS,经皮冠状动脉介入治疗指南（2025）.pdf 第17页证据（SEG-DOC-99DE8941F1F5EDF3-17-GL-00080-ACS）,,,,,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入', 'CABG']",180,结果表明：运动基础上加用中药养心氏片可更好提 A）。对于择期PCI 的时机，尽管MULTISTAR AMI 行        术后心肺运动试验评估的运动耐量，尤 研究显示，在急诊PCI 开通IRA 同期对非IRA     高患者PCI 患者的焦虑抑郁状态［261］。合理  PCI 并不劣于择期PCI［257］，但目前国际指南推荐略   其是能够改善PCI 冠状动脉血运重建指   膳食应低盐、低脂饮食，控制总热量的摄取，减少富 有区别：2021 年ACC/AHA 南      ,5
DIS-CARD-CAD-ACS,急性冠脉综合征,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-9A9489A580AF81E3951A-ACS,经皮冠状动脉介入治疗指南（2025）.pdf 第4页证据（SEG-DOC-99DE8941F1F5EDF3-4-GL-00016-ACS）,,,,,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入', 'CABG']",180,高危   的医院的患者，从首次医疗接触描计心电图（< 者，建议发病24 h内转运至PCI中心行早期（<24 h）     10 min）确诊STEMI算起，只要预计至急诊PCI的时  Press表3                    NSTE⁃ACS患者冠状动脉造影和血运重建策略推荐意见 推荐意见                                     推荐类别    证据水平 极高危患者：推荐紧急（<2 h）行冠状动脉造影和血运重建。包括（1）血流动力学,5
