问题类别,疾病编码,疾病名称,对象类型,对象名称,问题说明,处理建议
标准诊断阻断,DIS-CARD-TBAD,Stanford B型主动脉夹层,Disease,Stanford B型主动脉夹层,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-AORTIC-DISSECTION,主动脉夹层,Disease,主动脉夹层,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-AORTA-ANEURYSM,主动脉瘤,Disease,主动脉瘤,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-PAD,外周动脉疾病,Disease,外周动脉疾病,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-AAS,急性主动脉综合征,Disease,急性主动脉综合征,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-AAA,腹主动脉瘤,Disease,腹主动脉瘤,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-VTE,静脉血栓症,Disease,静脉血栓症,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-CHD-EBSTEIN,三尖瓣下移畸形,Disease,三尖瓣下移畸形,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-CHD-SOVA,主动脉窦瘤,Disease,主动脉窦瘤,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-CHD-BAV,二叶主动脉瓣,Disease,二叶主动脉瓣,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-CHD-COA,先天性主动脉缩窄,Disease,先天性主动脉缩窄,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-CHD,先天性心脏病,Disease,先天性心脏病,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-PFO,卵圆孔未闭,Disease,卵圆孔未闭,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-CAD-POST-MI-SYNDROME,心肌梗死后综合征,Disease,心肌梗死后综合征,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭,Disease,射血分数保留的心力衰竭,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭,Disease,射血分数轻度降低的心力衰竭,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭,Disease,射血分数降低的心力衰竭,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,Disease,心肌梗死后心力衰竭,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,Disease,透析患者慢性心力衰竭,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-PERICARD-EFFUSION,心包积液及心脏压塞,Disease,心包积液及心脏压塞,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-ARR-AVB1,一度房室传导阻滞,Disease,一度房室传导阻滞,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-ARR-AVB3,三度房室传导阻滞,Disease,三度房室传导阻滞,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-ARR-AVB2,二度房室传导阻滞,Disease,二度房室传导阻滞,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-SCD-SUDDEN,心脏性猝死,Disease,心脏性猝死,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-SCD-ARREST,心脏骤停,Disease,心脏骤停,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-ARR-ERS,早期复极综合征,Disease,早期复极综合征,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-ARR-SND,窦房结功能障碍,Disease,窦房结功能障碍,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-ARR-BRADY,缓慢性心律失常,Disease,缓慢性心律失常,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
标准诊断阻断,DIS-CARD-VHD-MULTI,多瓣膜病,Disease,多瓣膜病,具体诊断/分型缺少标准诊断映射，不能回填EMR。,补充CDSS标准诊断映射后才允许回填EMR。
