kg_node_code,kg_node_name,target_table,recommended_action,normalized_name,classification_reason
EXAM-CARD-ECHOCARDIOGRAPHY,超声心动图,K_EXAM_ITEM_DICT,合并重复候选,超声心动图,同一目标字典中已有同名候选，本条不得重复注册。
SYM-CARD-STEMI-4A580733386B,上腹胀痛,K_SYMPTOM_DICT,候选注册,上腹胀痛,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
SYM-CARD-STEMI-9B7354934FF5,下颌颈背部放射痛,K_SYMPTOM_DICT,候选注册,下颌颈背部放射痛,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
SYM-CARD-STEMI-436709160213,呃逆,K_SYMPTOM_DICT,候选注册,呃逆,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
SYM-CARD-AECE358B7FF2,放射痛,K_SYMPTOM_DICT,候选注册,放射痛,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
SYM-CARD-80A8947D5A71,濒死感,K_SYMPTOM_DICT,候选注册,濒死感,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
SYM-CARD-0FE1D08FA915,突发突止心动过速,K_SYMPTOM_DICT,候选注册,突发突止心动过速,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
SYM-CARD-3BE3BC2866C6,突发胸背部撕裂样疼痛,K_SYMPTOM_DICT,候选注册,突发胸背部撕裂样疼痛,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
SYM-CARD-F655A47C2B62,黑矇,K_SYMPTOM_DICT,候选注册,黑矇,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-A80B855C8C77,12导联心电图,K_EXAM_ITEM_DICT,候选注册,12导联心电图,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-FULLBOOK-80909CCD5C,CT肺动脉造影,K_EXAM_ITEM_DICT,候选注册,CT肺动脉造影,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-CF719F4B0836,CT血管造影,K_EXAM_ITEM_DICT,候选注册,CT血管造影,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
CARD-SKELETON-20260709-EXAM-B66979D14041DD2B,X线,K_EXAM_ITEM_DICT,候选注册,X线,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-AORTA-CTA-CDSS,主动脉CTA,K_EXAM_ITEM_DICT,候选注册,主动脉CTA,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
