subject_name,parent,level,pdf_page_approx,docx_start_para,docx_end_para,subject_kind,expected_groups,present_groups,missing_groups,definition_count,etiology_pathogenesis_count,clinical_manifestation_count,exam_lab_count,diagnosis_differential_count,treatment_count,prognosis_followup_count,example_entities,g1_status,neo4j_import_allowed,note
十、冠状动脉瘘,第一节成人常见先天性心血管病,小节/疾病,319,6226,6246,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,,3,11,4,7,2,1,2,"definition: 十、冠状动脉瘘定义, 是指冠状动脉与心腔、冠状静脉、肺动脉等的异常连接，是一种少见的先天性心脏病，发病率为1.3%, 指冠状动脉与心腔、冠状静脉、肺动脉等的异常连接，是一种少见的先天性心脏病，发病率为1.3%；etiology_pathogenesis: 【病理解剖】冠状动脉瘘可进入心脏和大血管的任何部位, 右冠状动脉瘘多见（约50%～60%）, 故引入右心系统最为常见（90%）, 依次为右室（40%）、右房（25%）、肺动脉（17%）、冠状窦（7%）, 较少引入左房、左室；prognosis_followup: 心力衰竭, 【预后】大部分成功栓塞的CAF病人预后较好；clinical_manifestation: 心绞痛, 心脏杂音, 收缩期杂音, 舒张期杂音；exam_lab: 超声心动图, 冠状动脉CT血管成像, 冠状动脉造影, X线, CT；diagnosis_differential: 【诊断与鉴别诊断】综合症状、心前区杂音、X线、心电图及超声心动图检查, 但需与动脉导管未闭、主动脉窦瘤、主-肺间隔缺损及室间隔缺损合并主动脉瓣关闭不全相鉴别；treatment: 外科手术",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第一节动脉粥样硬化,第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,258,4864,4889,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition；diagnosis_differential；etiology_pathogenesis,clinical_manifestation；exam_lab；treatment,2,23,0,0,3,0,0,"definition: 第一节动脉粥样硬化定义, 是受累动脉的病变从内膜开始，局部先后发生细胞内外的脂质积聚、纤维组织增生和钙质沉着，病变内可见单核巨噬细胞及其他炎症细胞，并有平滑肌细胞的迁移和增生，大量胶原纤维；etiology_pathogenesis: 【病因和危险因素】病因尚未完全确定, 流行病学研究表明不少因素与本病的发生率增加相关, 但并非直接因果关系, 而是多种因素作用于不同环节所致, 这些因素称为危险因素（riskfactor）；diagnosis_differential: 4.糖尿病和糖耐量异常2型糖尿病诊断成立时, 常见TG升高、HDL-C降低、小而致密LDL（sdLDL）增加, 糖耐量异常阶段即可增加动脉粥样硬化发生风险",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第一节概述,第三章心律失常,节,221,4233,4313,overview_section,definition；etiology_pathogenesis,definition；diagnosis_differential；etiology_pathogenesis；exam_lab,,6,18,0,3,4,0,0,"definition: 第一节概述定义, 是指心脏冲动的频率、节律、起源部位、传导速度或激动次序的异常，可见于生理情况，更多见于病理性状态，包括心脏本身疾病和非心脏疾病, 是心脏正常窦性心律的起搏点，位于上腔静脉入口与右心房后壁的交界处，呈梭形，长10～20mm，宽2～3mm，距心外膜下不足1mm，主要由P（起搏）细胞与T（移行）细, 是冲动从心房传到心室的关键枢纽, 是最重要的次级起搏点，频；etiology_pathogenesis: 【心律失常病因】心律失常的病因可分为遗传性和后天获得性, 遗传性心律失常多为基因突变导致的离子通道病, 使心肌细胞离子流发生异常, 目前已明确的遗传性心律失常包括长QT间期综合征、短QT间期综合征、Brugada综合征、儿茶酚胺敏感性室性心动过速、早期复极综合征等, 部分心房颤动（如孤立性或家族性房颤）和预激综合征病人也具有基因突变位点；diagnosis_differential: 【心律失常的诊断】（一）病史心律失常的诊断应从详尽采集病史开始, 病史通常能提供对诊断有用的线索, 1.静息心电图是诊断心律失常最重要的无创伤性检查技术, 常规心电图分析原则；exam_lab: 心电图, 电解质, 电生理检查",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第七节抗心律失常药物的合理应用,第三章心律失常,节,221,4710,4747,therapy_or_management_section,treatment,definition,treatment,4,0,0,0,0,0,0,"definition: 第七节抗心律失常药物的合理应用定义, 是缓解症状或减少心律失常对心功能和心肌缺血的影响，不应以消灭或减少心律失常为主要目标, 是抗心律失常药物治疗可能导致新的心律失常或使原有心律失常加重，发生率为5%～10%, 导致新的心律失常或使原有心律失常加重，发生率为5%～10%",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第三节房性心律失常,第三章心律失常,节,221,4361,4362,category_container,,,,0,0,0,0,0,0,0,,g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第二节窦性心律失常,第三章心律失常,节,221,4314,4320,category_container,,definition,,3,0,0,0,0,0,0,"definition: 第二节窦性心律失常定义, 是由于窦房结冲动发放频率的异常或窦性冲动向心房的传导受阻所导致的心律失常, 导致的心律失常",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第五节室性心律失常,第三章心律失常,节,221,4548,4549,category_container,,,,0,0,0,0,0,0,0,,g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第八节心律失常的介入治疗和手术治疗,第三章心律失常,节,221,4748,4749,therapy_or_management_section,treatment,,treatment,0,0,0,0,0,0,0,,g1_no_structured_candidate,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第六节心脏传导阻滞,第三章心律失常,节,221,4642,4649,category_container,,definition,,2,0,0,0,0,0,0,"definition: 第六节心脏传导阻滞定义, 是由心脏传导系统的解剖或功能失常造成的永久性或暂时性冲动传导障碍，可发生于心脏传导系统的任何水平",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第四节房室交界性心律失常,第三章心律失常,节,221,4453,4454,category_container,,,,0,0,0,0,0,0,0,,g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
