疾病/章节,父级,层级,docx_start_para,docx_end_para,pdf_start_page_approx,skeleton_slot,骨架槽位中文,是否覆盖,命中关键词,证据强度,是否可直接用于CDSS,备注
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,definition,定义/概述,是,简称；主要表现为,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,classification,分类/分型,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,etiology,病因,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,pathogenesis,发病机制/病理生理,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,epidemiology,流行病学,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,symptom,症状,是,症状,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,sign,体征,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,exam,检查,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,lab_test,检验,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,diagnostic_criteria,诊断标准,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,differential_diagnosis,鉴别诊断,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,risk_stratification,危险分层/评分,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,treatment_principle,治疗原则,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,treatment_plan,治疗方案,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,medication,药物,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,procedure,手术/操作,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,follow_up,随访,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,prognosis,预后,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,complication,并发症,是,心力衰竭,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,prevention,预防/健康教育,是,运动,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,definition,定义/概述,是,是指,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,classification,分类/分型,是,分类；分为,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,etiology,病因,是,【病因】；病因；危险因素,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
