名称,类型,大小KB,最后修改时间,处理建议,原因,风险等级
.agents,目录,,2026-06-25 09:52:46,保留,当前主文件或项目运行目录,低
.codex,目录,,2026-06-25 09:52:46,保留,当前主文件或项目运行目录,低
.gitignore,文件,1.4,2026-07-19 02:15:50,保留,当前主文件或项目运行目录,低
.pytest_cache,目录,,2026-07-14 19:37:35,保留,当前主文件或项目运行目录,低
00_当前项目状态_SNAPSHOT.md,文件,2.3,2026-07-14 09:20:46,保留,当前主文件或项目运行目录,低
20260718_AMI双分型CDSS完整三元组案例.svg,文件,12.9,2026-07-18 23:10:52,保留,当前主文件或项目运行目录,低
20260718_疾病三元组网状展示示意.svg,文件,9.0,2026-07-18 22:59:25,保留,当前主文件或项目运行目录,低
20260718_疾病三层与诊断编码展示示意.svg,文件,7.2,2026-07-18 22:52:29,保留,当前主文件或项目运行目录,低
20260718_疾病主数据与层级治理确认稿.md,文件,5.0,2026-07-18 22:20:32,保留,当前主文件或项目运行目录,低
20260718_肥厚型心肌病CDSS完整三元组案例.svg,文件,11.1,2026-07-18 23:06:10,保留,当前主文件或项目运行目录,低
2026年8月份计划表.md,文件,17.8,2026-08-10 15:43:17,保留,当前主文件或项目运行目录,低
2026年8月大版本升级范围清单.md,文件,7.5,2026-08-02 23:33:56,保留,当前主文件或项目运行目录,低
99_进度记忆_20260616_关机续作.md,文件,6.3,2026-06-16 18:32:39,保留,当前主文件或项目运行目录,低
AI自动化工具-文献指南解析-报告统计.md,文件,3.7,2026-07-03 11:52:06,保留,当前主文件或项目运行目录,低
AI自动化工具-文献指南解析-统计报告_20260703.html,文件,68.2,2026-07-03 23:17:00,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
AI自动化工具-文献指南解析-统计报告_20260703.json,文件,214.8,2026-07-03 23:17:00,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
AI自动化工具-文献指南解析-统计报告_20260705.html,文件,71.3,2026-07-05 00:19:09,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
AI自动化工具-文献指南解析-统计报告_20260705.json,文件,223.9,2026-07-05 00:19:09,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
AI自动化工具-文献指南解析.md,文件,13.7,2026-08-10 13:51:47,保留,当前主文件或项目运行目录,低
AI自动化工具-文献指南解析_V1.1.md,文件,31.3,2026-06-22 11:34:40,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
AI自动化工具-文献指南解析_V1.2.md,文件,31.3,2026-06-22 11:45:16,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
AI自动化工具-文献指南解析步骤记录.md,文件,181.4,2026-08-10 15:43:17,保留,当前主文件或项目运行目录,低
AMI_STEMI_RecommendationStatement推荐陈述迁移方案_20260707.md,文件,3.2,2026-07-07 21:59:52,保留,当前主文件或项目运行目录,低
AMI图谱推理与Oracle_EMR落地说明_20260706.md,文件,28.9,2026-07-06 16:02:27,保留,当前主文件或项目运行目录,低
assets,目录,,2026-07-17 11:30:44,保留,当前主文件或项目运行目录,低
batch_config模板.yaml,文件,3.8,2026-07-14 15:50:48,保留,当前主文件或项目运行目录,低
CDSS图谱元模型配置过滤清单.md,文件,23.1,2026-07-29 23:46:46,保留,当前主文件或项目运行目录,低
G0启动闸门设计.md,文件,3.6,2026-07-09 08:46:03,保留,当前主文件或项目运行目录,低
kg_pipeline渐进式重构方案.md,文件,11.4,2026-07-14 15:51:55,保留,当前主文件或项目运行目录,低
schema_docs,目录,,2026-07-11 16:34:46,历史目录，候选清理,历史迁移/旧文档目录，需确认无引用后可整体归档删除,中
schema_v112_migration_20260711,目录,,2026-07-11 08:56:51,历史目录，候选清理,历史迁移/旧文档目录，需确认无引用后可整体归档删除,中
Schema与图谱瘦身评估报告_20260711.md,文件,6.3,2026-07-11 08:58:20,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
Schema冗余与优化评估报告_20260710.md,文件,9.9,2026-07-11 00:03:22,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
Schema字段统一规则_20260711.md,文件,3.5,2026-07-11 00:21:38,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
Schema实体关系兼容迁移表_20260711.csv,文件,3.3,2026-07-11 00:21:37,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
Schema实际使用样例_20260710.json,文件,34.7,2026-07-11 00:00:52,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
Schema实际使用统计_20260710.json,文件,25.9,2026-07-10 23:59:11,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
scripts,目录,,2026-07-30 08:38:39,保留,当前主文件或项目运行目录,低
tests,目录,,2026-07-28 12:35:23,保留,当前主文件或项目运行目录,低
Trae前端图谱统计核对提示词_20260706.md,文件,5.5,2026-07-06 10:36:33,保留,当前主文件或项目运行目录,低
Trae前端开发全局提示词.md,文件,21.4,2026-07-28 16:33:11,保留,当前主文件或项目运行目录,低
_全局复利与踩坑日志.md,文件,159.5,2026-08-10 15:43:17,保留,当前主文件或项目运行目录,低
专病辅助诊疗建设方案_专科CDSS六级建设.md,文件,67.2,2026-07-17 11:32:19,保留,当前主文件或项目运行目录,低
专科CDSS图谱查询接口与Cypher示例.md,文件,21.2,2026-07-16 18:40:06,保留,当前主文件或项目运行目录,低
专科图谱设计结果标准与CDSS对照关系建议.md,文件,4.3,2026-07-29 22:25:11,保留,当前主文件或项目运行目录,低
专科知识图谱Schema标准.md,文件,30.0,2026-08-10 13:53:31,保留,当前主文件或项目运行目录,低
专科知识图谱升级改造周报_20260706-20260710.md,文件,8.9,2026-07-10 16:32:13,保留,当前主文件或项目运行目录,低
专科知识图谱大版本变更记录.md,文件,16.6,2026-08-02 23:48:22,保留,当前主文件或项目运行目录,低
专科知识图谱最终_Schema_V1.0_完整版.md,文件,52.7,2026-06-13 00:07:42,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
专科知识图谱最终_Schema_V1.0_完整版.png,文件,1457.9,2026-06-17 17:45:07,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
专科知识图谱最终_Schema_V1.1_定型版.md,文件,15.2,2026-06-17 23:28:00,历史版本/过程产物，候选清理,已被主版本或8月新版方案替代,中
专科知识图谱标准字典与诊断推理执行方案.md,文件,27.5,2026-07-22 20:43:39,保留,当前主文件或项目运行目录,低
公共执行层_kg_pipeline,目录,,2026-08-03 20:12:42,保留,当前生产资料/公共执行层/管理中心/字典/备份,低
前端开发全局提示词.md,文件,13.1,2026-07-28 16:33:50,保留,当前主文件或项目运行目录,低
历史兼容对象本月清理待办_20260728.md,文件,8.1,2026-07-30 00:17:56,保留,当前主文件或项目运行目录,低
原型设计_prototype,目录,,2026-07-29 08:27:32,保留,当前主文件或项目运行目录,低
图谱数据库链接.txt,文件,0.2,2026-06-29 22:44:32,保留,当前主文件或项目运行目录,低
当前进度与后续计划_交接.md,文件,154.8,2026-08-10 15:43:17,保留,当前主文件或项目运行目录,低
当前阶段验收报告_20260714.md,文件,12.3,2026-07-14 15:51:55,保留,当前主文件或项目运行目录,低
心血管内科CDSS决策层总览与Trae对接报告_20260709.md,文件,12.3,2026-07-09 22:21:36,保留,当前主文件或项目运行目录,低
心血管内科文献集合,目录,,2026-07-17 14:03:12,保留,当前生产资料/公共执行层/管理中心/字典/备份,低
技能文档_skill_docs,目录,,2026-07-11 23:52:48,保留,当前主文件或项目运行目录,低
数据库备份_backup,目录,,2026-07-22 18:34:48,保留,当前生产资料/公共执行层/管理中心/字典/备份,低
新增表结构语法.sql,文件,0.5,2026-07-22 20:39:50,保留,当前主文件或项目运行目录,低
新增表结构语法.~sql,文件,0.7,2026-07-22 20:18:23,保留,当前主文件或项目运行目录,低
方案审核.txt,文件,4.5,2026-06-17 15:02:12,保留,当前主文件或项目运行目录,低
日志归档_log_archive,目录,,2026-07-11 23:52:48,保留,当前主文件或项目运行目录,低
术语字典,目录,,2026-07-22 14:57:19,保留,当前生产资料/公共执行层/管理中心/字典/备份,低
治理归档_governance_archive,目录,,2026-07-11 23:52:48,保留,当前主文件或项目运行目录,低
治理脚本_governance_scripts,目录,,2026-07-14 20:35:11,保留,当前主文件或项目运行目录,低
脚本资产台账.csv,文件,35.0,2026-07-14 15:53:28,保留,当前主文件或项目运行目录,低
项目管理中心_project_management,目录,,2026-08-10 16:36:44,保留,当前生产资料/公共执行层/管理中心/字典/备份,低
项目运行环境规则.md,文件,1.5,2026-07-09 09:11:17,保留,当前主文件或项目运行目录,低
骨架质量闭环_skeleton_quality_loop,目录,,2026-07-12 09:28:19,保留,当前主文件或项目运行目录,低
