severity,category,disease_code,disease_name,batch_id,definition_empty,description_empty,description_self_anchor,other_disease_anchor_hits,known_pollution_keywords,flags,current_definition_preview,current_description_preview
P0,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,BATCH-CARD-CAD-20260623-001,yes,no,yes,,,definition_empty,,STEMI 是指急性心肌缺血性坏死，大多是在冠脉病变的基础上，发生冠脉血供急剧减少或中断，使相应的心肌严重而持久地急性缺血所致。
P0,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-UA,不稳定型心绞痛,BATCH-CARD-CAD-20260623-001,yes,no,yes,DIS-CARD-CAD-STABLE-ANGINA:稳定型心绞痛:稳定型心绞痛 | DIS-CARD-HF:心力衰竭:心功能不全,康复医学 | 呼吸康复,definition_empty;description_contains_other_disease_anchor;known_pollution_keyword,,康复医学是一门以消除和减轻功能障碍，弥补和重建功能缺失，设法改善和提高各方面功能的医学学科，是功能障碍的预防、诊断、评估、治疗、训练和处理的医学学科。呼吸康复在呼吸系统疾病的综合治疗中起着非常重要的作用，可以改善因呼吸功能障碍引发的一系列临床问题，提高日常活动及参与社会活动的能力。（一）呼吸康复的概念和目标呼吸康复是基于对病人的全面评估，为病人提供个体化的综合干预措施，包括但不限于运动训练、教育和行为改变，旨在改善慢性呼吸系统疾病病人生理和心理状态，促进健康增益行为的长期坚持。呼吸康复通常由跨学科的团队共同实施完成
P0,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-SPASM,冠状动脉痉挛,FOUNDATION-CARD-20260624-001,yes,no,yes,,,definition_empty,,冠状动脉痉挛基础骨架节点，来源于《内科学（第10版）》循环系统疾病篇。
P0,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CHD,冠状动脉粥样硬化性心脏病,FOUNDATION-CARD-20260624-001,yes,no,yes,DIS-CARD-CAD-ATHEROSCLEROSIS:动脉粥样硬化:动脉粥样硬化,,definition_empty;description_contains_other_disease_anchor,,冠状动脉粥样硬化性心脏病基础骨架节点，来源于《内科学（第10版）》循环系统疾病篇。
P0,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,FOUNDATION-CARD-20260624-001,yes,no,yes,,,definition_empty,,动脉粥样硬化基础骨架节点，来源于《内科学（第10版）》循环系统疾病篇。
P0,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-POST-MI-SYNDROME,心肌梗死后综合征,FOUNDATION-CARD-20260624-001,yes,no,yes,DIS-CARD-CAD-AMI:急性心肌梗死:心肌梗死,,definition_empty;description_contains_other_disease_anchor,,心肌梗死后综合征基础骨架节点，来源于《内科学（第10版）》循环系统疾病篇。
P0,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-ACS,急性冠脉综合征,BATCH-CARD-CAD-20260623-001,yes,no,yes,DIS-CARD-HF-CHF:慢性心力衰竭:慢性心衰 | DIS-CARD-HF-AHF:急性心力衰竭:急性心力衰竭 | DIS-CARD-CM-MYOCARDITIS:心肌炎:心肌炎 | DIS-CARD-HF:心力衰竭:心力衰竭 | DIS-CARD-HF-LEFT:左心衰竭:左心衰竭,急性心力衰竭,definition_empty;description_contains_other_disease_anchor;known_pollution_keyword,,急性心力衰竭（acute heart failure，AHF）是指心力衰竭急性发作和/或加重的一种临床综合征，可以是急性新发或慢性心衰急性失代偿。新发急性心衰的常见病因包括急性心肌损害（如急性冠脉综合征和重症心肌炎等）和急性血流动力学障碍（如急性瓣膜功能障碍、高血压危象、严重心律失常和急性肺栓塞等）。【类型】（一）临床分类 1. 急性左心衰竭急性发作或加重的左心室收缩力降低、负荷加重，造成急性左心排血量骤降、肺循环压力突然升高，出现急性肺淤血、肺水肿并可伴组织器官灌注不足甚至心源性休克。根据起病速度和病情危急程度可
P0,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-AMI,急性心肌梗死,BATCH-CARD-CAD-20260623-001,yes,no,yes,DIS-CARD-ARR-SND:窦房结功能障碍:病态窦房结综合征,窦性停搏 | 窦性静止,definition_empty;description_contains_other_disease_anchor;known_pollution_keyword,,窦性停搏或窦性静止（sinus pause or sinus arrest）是指窦房结不能产生冲动。心电图表现为在较正常PP 间期显著长的间期内无P 波发生，或P 波与QRS 波均不出现，长的PP 间期与基本窦性PP 间期无倍数关系（图3-3-6）。长时间的窦性停搏后，下位的潜在起搏点，如房室交界处或心室，可发出单个逸搏或逸搏性心律控制心室。窦性停搏多见于窦房结变性与纤维化、急性下壁心肌梗死、脑血管意外等病变以及迷走神经张力增高或颈动脉窦过敏；此外，应用洋地黄类药物、乙酰胆碱等亦可引起窦性停搏。过长时间的窦性停搏（
P0,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-CCS,慢性冠脉综合征,BATCH-CARD-CAD-20260623-001,yes,no,yes,DIS-CARD-CAD-STABLE-ANGINA:稳定型心绞痛:稳定型心绞痛 | DIS-CARD-CAD-ACS:急性冠脉综合征:急性冠脉综合征 | DIS-CARD-CAD-UA:不稳定型心绞痛:不稳定型心绞痛 | DIS-CARD-CAD-AMI:急性心肌梗死:急性心肌梗死 | DIS-CARD-CM-HCM:肥厚型心肌病:肥厚型心肌病,,definition_empty;description_contains_other_disease_anchor,,变逐渐恢复，支持心绞痛诊断。未捕捉到发作时ECG 者可行ECG 负荷试验。冠脉CTA 有助于无创性评价冠脉管腔狭窄程度及管壁病变性质和分布。冠脉造影可明确病变的严重程度和分布范围，联合腔内影像和功能学技术，有助于诊断和指导进一步治疗。加拿大心血管病学会（CCS）把心绞痛严重程度分为四级。Ⅰ级：一般体力活动（如步行和登楼）不受限，仅在强、快或持续用力时发生心绞痛。Ⅱ级：一般体力活动轻度受限，快步行走、饭后、寒冷或刮风中、精神应激或醒后数小时内发作心绞痛。一般情况下平地步行200m 以上或登楼一层以上受限。Ⅲ级：一般体
P0,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,BATCH-CARD-CAD-20260623-001,yes,no,yes,DIS-CARD-CAD-CHD:冠状动脉粥样硬化性心脏病:冠心病 | DIS-CARD-CAD-AMI:急性心肌梗死:心肌梗死 | DIS-CARD-CAD-SILENT-ISCHEMIA:隐匿性冠心病:无症状心肌缺血,,definition_empty;description_contains_other_disease_anchor,,【诊断】 1. 发病特点隐匿型冠心病（latent coronary heart disease）或无症状性冠心病是指没有心绞痛症状，但有心肌缺血客观证据的冠心病，其心肌缺血ECG 表现可见于静息时，也可在负荷状态下才出现，常为动态ECG 记录所发现，也可为各种影像学检查所证实。2. 临床表现可分为三种类型：①有心肌缺血客观证据，但无心绞痛症状；②曾有过心肌梗死病史，现有心肌缺血客观证据，但无症状；③有心肌缺血发作，有时有症状，有时无症状，此类病人居多。糖尿病病人无症状心肌缺血更多见。应及时发现这类病人，并为其提供
