问题类别,疾病编码,疾病名称,对象类型,对象名称,问题说明,处理建议
正式推荐动作标准字典未闭环,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,ExamItem,心电图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,LabItem,心肌损伤标志物,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,LabItem,心肌损伤标志物,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,β受体阻滞剂,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,低分子量肝素,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,Medication,普通肝素,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,TreatmentItem,溶栓治疗,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ATRIAL,心房心肌病,ExamItem,心电图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ATRIAL,心房心肌病,ExamItem,超声心动图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CAD-AMI,急性心肌梗死,ExamItem,心电图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CAD-AMI,急性心肌梗死,ExamItem,超声心动图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CAD-AMI,急性心肌梗死,LabItem,心肌损伤标志物,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CAD-AMI,急性心肌梗死,Medication,β受体阻滞剂,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CAD-AMI,急性心肌梗死,Medication,他汀类药物,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-DCM,扩张型心肌病,ExamItem,基因检测,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-DCM,扩张型心肌病,ExamItem,心电图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-DCM,扩张型心肌病,ExamItem,心脏磁共振,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-DCM,扩张型心肌病,ExamItem,超声心动图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-DCM,扩张型心肌病,ExamItem,超声心动图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-DCM,扩张型心肌病,Procedure,心脏再同步治疗装置植入术,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-DCM,扩张型心肌病,Procedure,植入式心律转复除颤器置入术,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-FABRY,法布雷病心肌病,ExamItem,基因检测,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-FABRY,法布雷病心肌病,ExamItem,心脏磁共振,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,ExamItem,心脏磁共振,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,ExamItem,超声心动图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,LabItem,心脏生物标志物检测,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,Medication,利尿剂,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
