evidence_code,evidence_name,evidence_type,source_code,source_name,source_type
CARD-SKELETON-20260709-EVID-BACKFILL-F68AF7B9166D9BBA,教材证据-166D9BBA,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-02D95E49124F49D0,因ST段抬高呈一过性与STEMI不同,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-A163ACDFF92E7237,教材证据-F92E7237,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-02D95E49124F49D0,因ST段抬高呈一过性与STEMI不同,ClinicalRule
CARD-SKELETON-20260709-EVID-AAC8B9DEA186DDB9,教材证据-A186DDB9,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-05E05848109304F8,可通过病史、查体及TTE、CMR、冠脉造影等检查进行鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-76AF468935EFBEFF,教材证据-35EFBEFF,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-05E05848109304F8,可通过病史、查体及TTE、CMR、冠脉造影等检查进行鉴别,ClinicalRule
CARD-SKELETON-20260709-EVID-B284344CCBA7D6A8,教材证据-CBA7D6A8,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-0F240EF2223858D9,【诊断与鉴别诊断】参照“冠心病”“糖尿病”相关章节,ClinicalRule
CARD-SKELETON-20260709-EVID-859983F38A5A0317,教材证据-8A5A0317,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-0FAD8514BE88B177,测定血浆BNP/NT-proBNP水平对鉴别急性心源性和支气管性哮喘有较大的参考价值,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-1EB685DD381DD535,教材证据-381DD535,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-0FAD8514BE88B177,测定血浆BNP/NT-proBNP水平对鉴别急性心源性和支气管性哮喘有较大的参考价值,ClinicalRule
CARD-SKELETON-20260709-EVID-05841B1432EB3322,教材证据-32EB3322,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-11F82C4C8C66D0ED,梅毒性主动脉炎和主动脉瘤以及纵隔肿瘤相鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-87A3FECA759E6625,教材证据-759E6625,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-11F82C4C8C66D0ED,梅毒性主动脉炎和主动脉瘤以及纵隔肿瘤相鉴别,ClinicalRule
CARD-SKELETON-20260709-EVID-65D1BC6FB63F02A9,教材证据-B63F02A9,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-141D318CD2FE0B33,缩窄性心包炎鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-68B7816F9110FC73,教材证据-9110FC73,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-141D318CD2FE0B33,缩窄性心包炎鉴别,ClinicalRule
