disease_code,disease_name,reason,handling,candidate_names
DIS-CARD-TBAD,Stanford B型主动脉夹层,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-ARR-AVB1,一度房室传导阻滞,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-CHD-EBSTEIN,三尖瓣下移畸形,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-ARR-AVB3,三度房室传导阻滞,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-AORTIC-DISSECTION,主动脉夹层,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-AORTA-ANEURYSM,主动脉瘤,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-CHD-SOVA,主动脉窦瘤,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-CHD-BAV,二叶主动脉瓣,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-ARR-AVB2,二度房室传导阻滞,别名候选未进入等价白名单，不能自动裁决,进入标准字典候选匹配队列,文氏阻滞
DIS-CARD-CHD-COA,先天性主动脉缩窄,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-CHD,先天性心脏病,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-PH-CHD,先天性心脏病相关肺动脉高压,别名候选未进入等价白名单，不能自动裁决,进入标准字典候选匹配队列,艾森曼格综合征
DIS-CARD-HT-ENDOCRINE,内分泌性高血压,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-PH-PAH,动脉性肺动脉高压,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-PFO,卵圆孔未闭,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-HT-PA,原发性醛固酮增多症,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-HT-PAROXYSMAL,发作性高血压,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-HTN-PHEO,嗜铬细胞瘤和副神经节瘤,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-PAD,外周动脉疾病,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-VHD-MULTI,多瓣膜病,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭,别名候选未进入等价白名单，不能自动裁决,进入标准字典候选匹配队列,舒张性心力衰竭
DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-PERICARD-EFFUSION,心包积液及心脏压塞,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-ARR-VF,心室扑动与心室颤动,别名候选未进入等价白名单，不能自动裁决,进入标准字典候选匹配队列,心室扑动；心室颤动
DIS-CARD-CM-ATRIAL,心房心肌病,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-CAD-POST-MI-SYNDROME,心肌梗死后综合征,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-SCD-SUDDEN,心脏性猝死,别名候选未进入等价白名单，不能自动裁决,进入标准字典候选匹配队列,心源性猝死；猝死
DIS-CARD-SCD-ARREST,心脏骤停,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-NEUROSIS,心血管神经症,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-AAS,急性主动脉综合征,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-CAD-CCS,慢性冠脉综合征,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-HT-CKD,慢性肾脏病合并高血压,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-ARR-ERS,早期复极综合征,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-CM-FABRY,法布雷病心肌病,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-CM-AMYLOID,淀粉样变心肌病,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-ARR-SND,窦房结功能障碍,别名候选未进入等价白名单，不能自动裁决,进入标准字典候选匹配队列,病态窦房结综合征
DIS-CARD-PH-CTD,结缔组织病相关肺动脉高压,别名候选未进入等价白名单，不能自动裁决,进入标准字典候选匹配队列,系统性硬化症；结缔组织病
DIS-CARD-ARR-BRADY,缓慢性心律失常,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-HT-ELDERLY,老年高血压,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-AAA,腹主动脉瘤,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-CM-ACM,致心律失常性心肌病,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-PH-HPAH,遗传性肺动脉高压,别名候选未进入等价白名单，不能自动裁决,进入标准字典候选匹配队列,家族性肺动脉高压
DIS-CARD-CM-RCM,限制型心肌病,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-HT-MASKED,隐匿性高血压,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-VTE,静脉血栓症,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
DIS-CARD-VHD-RHD,风湿性心脏瓣膜病,别名候选未进入等价白名单，不能自动裁决,进入标准字典候选匹配队列,风湿性心脏病
DIS-CARD-HTN-EMERGENCY,高血压急症和亚急症,CDSS有效标准诊断名称未精确命中,进入标准字典候选匹配/注册队列，不自动猜测,
