推荐陈述编码,推荐陈述名称,推荐动作,推荐动作编码,证据数,临床规则数,诊疗阶段数,关联疾病数,关联疾病示例,复核结论
REC-333AA9DF420F7DB2,心房心肌病路径治疗决策规则｜房性心律失常与卒中风险管理（治疗方案）推荐,房性心律失常与卒中风险管理,PLAN-CARD-CM-ATRIAL-AF-STROKE-RISK-MANAGEMENT,5,1,1,1,['心房心肌病'],通过
REC-CDSS-CARD-ARR-AF-RATE-CONTROL,心房颤动伴快速心室率或症状明显时，建议评估并实施心室率控制；药物选择需结合左室收缩功能、血流动力学状态和禁忌证。,控制心室率,PLAN-CARD-TEXT-655F4B37BC,2,1,1,1,['心房颤动'],通过
REC-CDSS-CARD-ARR-AFL-RATE-CONTROL,心房扑动伴快速心室率时，建议评估心室率控制策略；药物或复律选择需结合血流动力学状态和禁忌证。,控制心室率,PLAN-CARD-TEXT-655F4B37BC,2,1,1,1,['心房扑动'],通过
REC-CDSS-CARD-HF-AHF-RATE-CONTROL,急性心力衰竭合并房颤快心室率时，可在严密监测下评估心室率控制策略；推荐前必须确认血流动力学状态、射血分数和禁忌证。,控制心室率,PLAN-CARD-TEXT-655F4B37BC,1,1,1,1,['急性心力衰竭'],通过
REC-CDSS-CARD-HF-RATE-CONTROL,心力衰竭合并房颤快心室率时，建议结合射血分数和禁忌证选择心室率控制策略；射血分数下降者需慎用非二氢吡啶类钙通道阻滞剂。,控制心室率,PLAN-CARD-TEXT-655F4B37BC,2,1,1,1,['心力衰竭'],通过
REC-CDSS-CARD-VHD-MS-RATE-CONTROL,二尖瓣狭窄合并房颤快心室率时，建议进行心室率控制评估，并同步评估抗凝和瓣膜介入/手术治疗时机。,控制心室率,PLAN-CARD-TEXT-655F4B37BC,3,1,1,1,['二尖瓣狭窄'],通过
REC-CDSS-CM-ATRIAL-02-01-TREAT,心房心肌病合并房性心律失常时，应评估抗凝、心室率控制和长期随访。,抗凝治疗,PLAN-CARD-A1C4E6332D38,3,1,1,1,['心房心肌病'],通过
REC-CDSS-CM-ATRIAL-02-01-TREAT,心房心肌病合并房性心律失常时，应评估抗凝、心室率控制和长期随访。,控制心室率,PLAN-CARD-TEXT-655F4B37BC,3,1,1,1,['心房心肌病'],通过
REC-CDSS-CM-ATRIAL-02-01-TREAT,心房心肌病合并房性心律失常时，应评估抗凝、心室率控制和长期随访。,房性心律失常与卒中风险管理,PLAN-CARD-CM-ATRIAL-AF-STROKE-RISK-MANAGEMENT,3,1,1,1,['心房心肌病'],通过
REC-HT-CKD-TX-PLAN-CARD-BDE62A3BE028,慢性肾脏病合并高血压：降压治疗推荐,降压治疗,PLAN-CARD-BDE62A3BE028,2,1,1,1,['慢性肾脏病合并高血压'],通过
REC-HT-ELDERLY-TX-PLAN-CARD-0CDCF256C0E6,老年高血压：联合降压治疗推荐,联合降压治疗,PLAN-CARD-0CDCF256C0E6,2,1,1,1,['老年高血压'],通过
REC-HT-EMERGENCY-TX-PLAN-CARD-0CDCF256C0E6,高血压急症：联合降压治疗推荐,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1,1,1,1,['高血压急症'],通过
REC-HT-EMERGENCY-TX-PLAN-CARD-BDE62A3BE028,高血压急症：降压治疗推荐,降压治疗,PLAN-CARD-BDE62A3BE028,1,1,1,1,['高血压急症'],通过
REC-HT-ENDOCRINE-TX-PLAN-CARD-BDE62A3BE028,内分泌性高血压：降压治疗推荐,降压治疗,PLAN-CARD-BDE62A3BE028,2,1,1,1,['内分泌性高血压'],通过
REC-HT-HT-TX-PLAN-CARD-0CDCF256C0E6,高血压：联合降压治疗推荐,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1,1,1,1,['高血压'],通过
REC-HT-HT-TX-PLAN-CARD-2081B78ED14D,高血压：生活方式干预推荐,生活方式干预,PLAN-CARD-2081B78ED14D,1,1,1,1,['高血压'],通过
REC-HT-MASKED-TX-PLAN-CARD-2081B78ED14D,隐匿性高血压：生活方式干预推荐,生活方式干预,PLAN-CARD-2081B78ED14D,2,1,1,1,['隐匿性高血压'],通过
REC-HT-PA-TX-PLAN-CARD-0CDCF256C0E6,原发性醛固酮增多症：联合降压治疗推荐,联合降压治疗,PLAN-CARD-0CDCF256C0E6,2,1,1,1,['原发性醛固酮增多症'],通过
REC-HT-PRIMARY-TX-PLAN-CARD-0CDCF256C0E6,原发性高血压：联合降压治疗推荐,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1,1,1,1,['原发性高血压'],通过
REC-HT-PRIMARY-TX-PLAN-CARD-2081B78ED14D,原发性高血压：生活方式干预推荐,生活方式干预,PLAN-CARD-2081B78ED14D,1,1,1,1,['原发性高血压'],通过
REC-HT-RENAL-PARENCHYMAL-TX-PLAN-CARD-BDE62A3BE028,肾实质性高血压：降压治疗推荐,降压治疗,PLAN-CARD-BDE62A3BE028,2,1,1,1,['肾实质性高血压'],通过
REC-HT-RENOVASCULAR-TX-PLAN-CARD-0CDCF256C0E6,肾血管性高血压：联合降压治疗推荐,联合降压治疗,PLAN-CARD-0CDCF256C0E6,2,1,1,1,['肾血管性高血压'],通过
REC-HT-RESISTANT-TX-PLAN-CARD-0CDCF256C0E6,难治性高血压：联合降压治疗推荐,联合降压治疗,PLAN-CARD-0CDCF256C0E6,1,1,1,1,['难治性高血压'],通过
REC-HT-RESISTANT-TX-PLAN-CARD-2081B78ED14D,难治性高血压：生活方式干预推荐,生活方式干预,PLAN-CARD-2081B78ED14D,1,1,1,1,['难治性高血压'],通过
