subject_name,parent,level,docx_start_para,docx_end_para,pdf_page_approx,extracted_slot_count,extracted_slots,expected_core_missing,status
第二章心力衰竭,第三篇循环系统疾病,章,3905,3909,207,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,3,classification；pathogenesis；treatment,definition；etiology；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis,needs_slot_backfill_or_manual_review
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,9,classification；diagnostic_criteria；differential_diagnosis；epidemiology；etiology；exam；prevention；symptom；treatment,definition；pathogenesis；clinical_manifestation,needs_slot_backfill_or_manual_review
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,6,classification；clinical_manifestation；definition；differential_diagnosis；follow_up；treatment,etiology；pathogenesis；exam；diagnostic_criteria,needs_slot_backfill_or_manual_review
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,0,,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
第一节概述,第三章心律失常,节,4233,4313,221,5,classification；definition；diagnostic_criteria；etiology；exam,pathogenesis；clinical_manifestation；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
一、窦性心动过速,第二节窦性心律失常,小节/疾病,4321,4326,221,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
二、窦性心动过缓,第二节窦性心律失常,小节/疾病,4327,4332,221,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
三、窦性停搏,第二节窦性心律失常,小节/疾病,4333,4341,221,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
四、窦房传导阻滞,第二节窦性心律失常,小节/疾病,4342,4346,221,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
五、病态窦房结综合征,第二节窦性心律失常,小节/疾病,4347,4360,221,4,clinical_manifestation；definition；etiology；treatment,pathogenesis；exam；diagnostic_criteria；differential_diagnosis,needs_slot_backfill_or_manual_review
第三节房性心律失常,第三章心律失常,节,4361,4362,221,0,,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
一、房性期前收缩,第三节房性心律失常,小节/疾病,4363,4370,221,3,clinical_manifestation；definition；treatment,etiology；pathogenesis；exam；diagnostic_criteria；differential_diagnosis,needs_slot_backfill_or_manual_review
二、房性心动过速,第三节房性心律失常,小节/疾病,4371,4395,221,4,clinical_manifestation；definition；etiology；treatment,pathogenesis；exam；diagnostic_criteria；differential_diagnosis,needs_slot_backfill_or_manual_review
三、心房扑动,第三节房性心律失常,小节/疾病,4396,4408,221,3,clinical_manifestation；definition；treatment,etiology；pathogenesis；exam；diagnostic_criteria；differential_diagnosis,needs_slot_backfill_or_manual_review
四、心房颤动,第三节房性心律失常,小节/疾病,4409,4452,221,6,classification；clinical_manifestation；definition；etiology；symptom；treatment,pathogenesis；exam；diagnostic_criteria；differential_diagnosis,needs_slot_backfill_or_manual_review
第四节房室交界性心律失常,第三章心律失常,节,4453,4454,221,0,,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
一、房室交界性期前收缩,第四节房室交界性心律失常,小节/疾病,4455,4464,221,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
二、房室交界性逸搏与心律,第四节房室交界性心律失常,小节/疾病,4465,4471,221,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
三、非阵发性房室交界性心动过速,第四节房室交界性心律失常,小节/疾病,4472,4475,221,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
四、房室交界区相关的折返性心动过速,第四节房室交界性心律失常,小节/疾病,4476,4547,221,4,clinical_manifestation；definition；etiology；exam,pathogenesis；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
第五节室性心律失常,第三章心律失常,节,4548,4549,221,0,,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
一、室性期前收缩,第五节室性心律失常,小节/疾病,4550,4571,221,4,clinical_manifestation；definition；etiology；treatment,pathogenesis；exam；diagnostic_criteria；differential_diagnosis,needs_slot_backfill_or_manual_review
二、室性心动过速,第五节室性心律失常,小节/疾病,4572,4614,221,5,clinical_manifestation；definition；etiology；exam；treatment,pathogenesis；diagnostic_criteria；differential_diagnosis,needs_slot_backfill_or_manual_review
三、心室扑动与心室颤动,第五节室性心律失常,小节/疾病,4615,4622,221,2,clinical_manifestation；definition,etiology；pathogenesis；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
