disease_code,disease_name,pathway_element,required_relation,repair_status,exact_evidence_count,name_fallback_evidence_count,same_disease_any_pathway_evidence_count,candidate_relation_count,evidence_sample_text,candidate_sample_names
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,sign,has_sign,SOURCE_NOT_FOUND_IN_CURRENT_INDEX,0,0,9,0,表6 各类心肌病的致病基因 ACM 基因 HCM DCM * * 其他心肌病或有心肌受累的疾病 遗传模式 ARVC ALVC ABVC | 注：除特别说明外，表中列出的是在ClinGen 评级中与各类心肌病关联等级为明确（definitive）、强（strong）和中等（moderate）的基因，三 个等级的支持证据强度依次降低；未列出关联等级低于中等的基因。在进行心肌病基因检测时，应重点关注等级为明确的致病基因。ClinGen 的疾 病- 基因关联评级及评级标准参见其网站（https://www.clinicalgenome.org/）。HCM：肥厚型心肌病；DCM：扩张型心肌病；ACM：致心律失常性心 肌病；ARVC：致心律失常性右心室心肌病；AL | （3）致心律失常性双心室心肌病 摄入、利尿剂、β 受体阻滞剂减轻心脏负担，改善 （arrhythmogenic biventricular cardiomyopathy，ABVC）： 症状。在合并心房颤动或其他心律失常的高风险患 左、右心室平行受累。2019 年我国专家结合ACM 的 者中应考虑启动抗凝治疗（Ⅰ，B） [135]。 遗传- 临床- 影像- 病理特征提出ACM 的“阜外分 4.3.4.2 器械植入 型”，并受到国际认可 [138]。 患者如出现活动后乏力、黑矇等症状，应进行 4.4.1.2 诊断 进一,
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,diagnosis_criteria,has_diagnostic_criteria,SOURCE_NOT_FOUND_IN_CURRENT_INDEX,0,0,9,0,表6 各类心肌病的致病基因 ACM 基因 HCM DCM * * 其他心肌病或有心肌受累的疾病 遗传模式 ARVC ALVC ABVC | 注：除特别说明外，表中列出的是在ClinGen 评级中与各类心肌病关联等级为明确（definitive）、强（strong）和中等（moderate）的基因，三 个等级的支持证据强度依次降低；未列出关联等级低于中等的基因。在进行心肌病基因检测时，应重点关注等级为明确的致病基因。ClinGen 的疾 病- 基因关联评级及评级标准参见其网站（https://www.clinicalgenome.org/）。HCM：肥厚型心肌病；DCM：扩张型心肌病；ACM：致心律失常性心 肌病；ARVC：致心律失常性右心室心肌病；AL | （3）致心律失常性双心室心肌病 摄入、利尿剂、β 受体阻滞剂减轻心脏负担，改善 （arrhythmogenic biventricular cardiomyopathy，ABVC）： 症状。在合并心房颤动或其他心律失常的高风险患 左、右心室平行受累。2019 年我国专家结合ACM 的 者中应考虑启动抗凝治疗（Ⅰ，B） [135]。 遗传- 临床- 影像- 病理特征提出ACM 的“阜外分 4.3.4.2 器械植入 型”，并受到国际认可 [138]。 患者如出现活动后乏力、黑矇等症状，应进行 4.4.1.2 诊断 进一,
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,prognosis,has_prognosis,SOURCE_NOT_FOUND_IN_CURRENT_INDEX,0,0,9,0,表6 各类心肌病的致病基因 ACM 基因 HCM DCM * * 其他心肌病或有心肌受累的疾病 遗传模式 ARVC ALVC ABVC | 注：除特别说明外，表中列出的是在ClinGen 评级中与各类心肌病关联等级为明确（definitive）、强（strong）和中等（moderate）的基因，三 个等级的支持证据强度依次降低；未列出关联等级低于中等的基因。在进行心肌病基因检测时，应重点关注等级为明确的致病基因。ClinGen 的疾 病- 基因关联评级及评级标准参见其网站（https://www.clinicalgenome.org/）。HCM：肥厚型心肌病；DCM：扩张型心肌病；ACM：致心律失常性心 肌病；ARVC：致心律失常性右心室心肌病；AL | （3）致心律失常性双心室心肌病 摄入、利尿剂、β 受体阻滞剂减轻心脏负担，改善 （arrhythmogenic biventricular cardiomyopathy，ABVC）： 症状。在合并心房颤动或其他心律失常的高风险患 左、右心室平行受累。2019 年我国专家结合ACM 的 者中应考虑启动抗凝治疗（Ⅰ，B） [135]。 遗传- 临床- 影像- 病理特征提出ACM 的“阜外分 4.3.4.2 器械植入 型”，并受到国际认可 [138]。 患者如出现活动后乏力、黑矇等症状，应进行 4.4.1.2 诊断 进一,
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,follow_up,has_follow_up,SOURCE_NOT_FOUND_IN_CURRENT_INDEX,0,0,9,0,表6 各类心肌病的致病基因 ACM 基因 HCM DCM * * 其他心肌病或有心肌受累的疾病 遗传模式 ARVC ALVC ABVC | 注：除特别说明外，表中列出的是在ClinGen 评级中与各类心肌病关联等级为明确（definitive）、强（strong）和中等（moderate）的基因，三 个等级的支持证据强度依次降低；未列出关联等级低于中等的基因。在进行心肌病基因检测时，应重点关注等级为明确的致病基因。ClinGen 的疾 病- 基因关联评级及评级标准参见其网站（https://www.clinicalgenome.org/）。HCM：肥厚型心肌病；DCM：扩张型心肌病；ACM：致心律失常性心 肌病；ARVC：致心律失常性右心室心肌病；AL | （3）致心律失常性双心室心肌病 摄入、利尿剂、β 受体阻滞剂减轻心脏负担，改善 （arrhythmogenic biventricular cardiomyopathy，ABVC）： 症状。在合并心房颤动或其他心律失常的高风险患 左、右心室平行受累。2019 年我国专家结合ACM 的 者中应考虑启动抗凝治疗（Ⅰ，B） [135]。 遗传- 临床- 影像- 病理特征提出ACM 的“阜外分 4.3.4.2 器械植入 型”，并受到国际认可 [138]。 患者如出现活动后乏力、黑矇等症状，应进行 4.4.1.2 诊断 进一,
DIS-CARD-CM-ACM,致心律失常性心肌病,sign,has_sign,SOURCE_NOT_FOUND_IN_CURRENT_INDEX,0,0,59,0,"families. Ichida et al502 reported that 44% of LVNC patients ized by fibrofatty replacement of the myocardium, most in their study had inherited LVNC, with 70% having autoso- typically in the RV free wall but also affecting the LV.521 In mal dominant and 30% h | in cardiomyopathy with left ventricular hypertrabeculation. 525. Otten E, Asimaki A, Maass A, van Langen IM, van der Wal A, Circ Cardiovasc Genet. 2009;2:442–449. doi: 10.1161/ de Jonge N, van den Berg MP, Saffitz JE, Wilde AA, Jongbloed CIRCGENETICS.109.86195 | Figure 18 Algorithm to approach implantable cardioverter CPR Cardio-pulmonary resuscitation defibrillator decision-making in patients with arrhythmogenic right CRT Cardiac resynchronization therapy ventricular cardiomyopathy ...................................",
DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,sign,has_sign,SOURCE_NOT_FOUND_IN_CURRENT_INDEX,0,0,27,0,"Figure 18 Algorithm to approach implantable cardioverter CPR Cardio-pulmonary resuscitation defibrillator decision-making in patients with arrhythmogenic right CRT Cardiac resynchronization therapy ventricular cardiomyopathy ................................... | that manifest as intermediate phenotypes that do not meet standard or fatty replacement regardless of the presence of global or regional disease definitions in spite of the presence of myocardial disease on wall motion abnormalities (RWMAs), or isolated global | Non-dilated LV Previous EF 55% classification Proposed phenotype- Cardiac Subepicardial based integrated morphology/ scar DCM approach function ALVC ACM Autosomal dominant Diagnostic DSP-related non-dilated LV pathway cardiomyopathy phenotype with subepicardia",
DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,diagnosis_criteria,has_diagnostic_criteria,SOURCE_NOT_FOUND_IN_CURRENT_INDEX,0,0,27,0,"Figure 18 Algorithm to approach implantable cardioverter CPR Cardio-pulmonary resuscitation defibrillator decision-making in patients with arrhythmogenic right CRT Cardiac resynchronization therapy ventricular cardiomyopathy ................................... | that manifest as intermediate phenotypes that do not meet standard or fatty replacement regardless of the presence of global or regional disease definitions in spite of the presence of myocardial disease on wall motion abnormalities (RWMAs), or isolated global | Non-dilated LV Previous EF 55% classification Proposed phenotype- Cardiac Subepicardial based integrated morphology/ scar DCM approach function ALVC ACM Autosomal dominant Diagnostic DSP-related non-dilated LV pathway cardiomyopathy phenotype with subepicardia",
DIS-CARD-CM-AMYLOID,淀粉样变心肌病,etiology,has_etiology,SOURCE_NOT_FOUND_IN_CURRENT_INDEX,0,0,69,0,摘要 左心室肥厚是一类常见的心脏结构性改变，经影像学检查确诊。起病隐匿，早期症状不典型，易被忽视，延误诊治。 多种疾病和情形可致左心室肥厚，近年来针对部分特定病因的治疗显示可显著改善患者预后，故需重视对左心室肥 厚相关疾病的病因诊断。本专家共识由中国医师协会心血管内科医师分会心力衰竭学组和心衰中心心肌病专家委员 会组织编写，全面介绍了左心室肥厚的早期筛查线索、规范诊治及随访路径。旨在深化广大临床一线医务工作者（尤 其是基层医院）加强对左心室肥厚的认识，建立早期识别、早期转诊的意识，提高对常见及罕见左心室肥厚相关疾病 | 室高电压，但心脏淀粉样变患者的心电图可表现 定疾病精准病因诊断确立需结合包括负荷超声心 为与左心室肥厚不相匹配的低电压（50%）或非高电 动图、整体纵向应变、心脏磁共振成像、放射性 压 [12]，需特别注意。某些特殊病因所致左心室肥厚 核素显像在内的多模态影像技术，以及特殊的实 者，常伴心脏以外，如肾脏、神经、肌肉、消化等 验室检查，部分患者尚需结合组织病理学检查、 多系统异常表现，应加以识别；此类患者的病因确 基因检测等方法。 诊需经一些特殊检查，包括心脏磁共振成像（CMR）、 （4）本共识强调左心室肥厚的个体化 | 心肌肥厚是一类常见的影像学表现，在普通人 为使广大临床医务工作者及早发现并在面对左 群中约0.2% 可表现为不同部位 [1]、不同程度的心肌 心室肥厚者时，规范诊治，降低左心室肥厚相关疾 肥厚，其中最常见的是左心室心肌肥厚（简称左心 病的漏诊和误诊；为便于基层医院在接诊左心室肥 室肥厚），心电图多可表现为左心室面电压升高， 厚并开展初步筛查后，对存在诊断困难者及时转诊 经超声心动图检查可基本确认。 至具备心力衰竭/ 心肌病中心的上级医院救治；为 左心室肥厚成因复杂，既可见于一些常见疾病 给左心室肥厚患者院内外连续性,
DIS-CARD-CM-AMYLOID,淀粉样变心肌病,symptom,has_symptom,SOURCE_NOT_FOUND_IN_CURRENT_INDEX,0,0,69,0,摘要 左心室肥厚是一类常见的心脏结构性改变，经影像学检查确诊。起病隐匿，早期症状不典型，易被忽视，延误诊治。 多种疾病和情形可致左心室肥厚，近年来针对部分特定病因的治疗显示可显著改善患者预后，故需重视对左心室肥 厚相关疾病的病因诊断。本专家共识由中国医师协会心血管内科医师分会心力衰竭学组和心衰中心心肌病专家委员 会组织编写，全面介绍了左心室肥厚的早期筛查线索、规范诊治及随访路径。旨在深化广大临床一线医务工作者（尤 其是基层医院）加强对左心室肥厚的认识，建立早期识别、早期转诊的意识，提高对常见及罕见左心室肥厚相关疾病 | 室高电压，但心脏淀粉样变患者的心电图可表现 定疾病精准病因诊断确立需结合包括负荷超声心 为与左心室肥厚不相匹配的低电压（50%）或非高电 动图、整体纵向应变、心脏磁共振成像、放射性 压 [12]，需特别注意。某些特殊病因所致左心室肥厚 核素显像在内的多模态影像技术，以及特殊的实 者，常伴心脏以外，如肾脏、神经、肌肉、消化等 验室检查，部分患者尚需结合组织病理学检查、 多系统异常表现，应加以识别；此类患者的病因确 基因检测等方法。 诊需经一些特殊检查，包括心脏磁共振成像（CMR）、 （4）本共识强调左心室肥厚的个体化 | 心肌肥厚是一类常见的影像学表现，在普通人 为使广大临床医务工作者及早发现并在面对左 群中约0.2% 可表现为不同部位 [1]、不同程度的心肌 心室肥厚者时，规范诊治，降低左心室肥厚相关疾 肥厚，其中最常见的是左心室心肌肥厚（简称左心 病的漏诊和误诊；为便于基层医院在接诊左心室肥 室肥厚），心电图多可表现为左心室面电压升高， 厚并开展初步筛查后，对存在诊断困难者及时转诊 经超声心动图检查可基本确认。 至具备心力衰竭/ 心肌病中心的上级医院救治；为 左心室肥厚成因复杂，既可见于一些常见疾病 给左心室肥厚患者院内外连续性,
DIS-CARD-CM-AMYLOID,淀粉样变心肌病,sign,has_sign,SOURCE_NOT_FOUND_IN_CURRENT_INDEX,0,0,69,0,摘要 左心室肥厚是一类常见的心脏结构性改变，经影像学检查确诊。起病隐匿，早期症状不典型，易被忽视，延误诊治。 多种疾病和情形可致左心室肥厚，近年来针对部分特定病因的治疗显示可显著改善患者预后，故需重视对左心室肥 厚相关疾病的病因诊断。本专家共识由中国医师协会心血管内科医师分会心力衰竭学组和心衰中心心肌病专家委员 会组织编写，全面介绍了左心室肥厚的早期筛查线索、规范诊治及随访路径。旨在深化广大临床一线医务工作者（尤 其是基层医院）加强对左心室肥厚的认识，建立早期识别、早期转诊的意识，提高对常见及罕见左心室肥厚相关疾病 | 室高电压，但心脏淀粉样变患者的心电图可表现 定疾病精准病因诊断确立需结合包括负荷超声心 为与左心室肥厚不相匹配的低电压（50%）或非高电 动图、整体纵向应变、心脏磁共振成像、放射性 压 [12]，需特别注意。某些特殊病因所致左心室肥厚 核素显像在内的多模态影像技术，以及特殊的实 者，常伴心脏以外，如肾脏、神经、肌肉、消化等 验室检查，部分患者尚需结合组织病理学检查、 多系统异常表现，应加以识别；此类患者的病因确 基因检测等方法。 诊需经一些特殊检查，包括心脏磁共振成像（CMR）、 （4）本共识强调左心室肥厚的个体化 | 心肌肥厚是一类常见的影像学表现，在普通人 为使广大临床医务工作者及早发现并在面对左 群中约0.2% 可表现为不同部位 [1]、不同程度的心肌 心室肥厚者时，规范诊治，降低左心室肥厚相关疾 肥厚，其中最常见的是左心室心肌肥厚（简称左心 病的漏诊和误诊；为便于基层医院在接诊左心室肥 室肥厚），心电图多可表现为左心室面电压升高， 厚并开展初步筛查后，对存在诊断困难者及时转诊 经超声心动图检查可基本确认。 至具备心力衰竭/ 心肌病中心的上级医院救治；为 左心室肥厚成因复杂，既可见于一些常见疾病 给左心室肥厚患者院内外连续性,
