disease_code,disease_name,recommendation_code,recommendation_name,entity_type,node_code,node_name,cdss_use_status,clinical_use_status,dictionary_validation_status,source_table,cdss_order_ready,cdss_display_ready,emr_write_allowed,cdss_dictionary_resolution_status,cdss_dictionary_resolution_note,cdss_dictionary_required_action,处置结论
DIS-CARD-ARR-BRUGADA,Brugada综合征,REC-CDSS-VASCD-ARR-BRUGADA-01-01-DIAG,疑似Brugada综合征时，应结合Brugada综合征诊断标准、冠状动脉造影、动态心电图、基因检测、心电图进行诊断确认和必要鉴别。,ExamItem,EXAM-GENETIC,基因检测,,,knowledge_only,,False,True,False,needs_specific_exam,基因检测为宽口径检查动作，不同疾病对应检测范围不同。,按疾病和原文证据确定基因检测类型或进入待注册。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-ARR-BRUGADA,Brugada综合征,REC-CDSS-VASCD-ARR-BRUGADA-01-01-DIAG,疑似Brugada综合征时，应结合Brugada综合征诊断标准、冠状动脉造影、动态心电图、基因检测、心电图进行诊断确认和必要鉴别。,ExamItem,EXAM-ECG,心电图,,,knowledge_only,,False,True,False,needs_specific_exam,心电图为宽口径检查动作；需按原文场景区分常规心电图、动态心电图、急诊心电图等，不能只按名称硬映射。,回原文证据确认具体检查项目；若为普通十二导联/常规心电图，可映射到常规心电图检查。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-01-01-ECG-TROP,疑似STEMI应优先完成心电图、肌钙蛋白和发病时间评估。,ExamItem,EXAM-ECG,心电图,,,knowledge_only,,False,True,False,needs_specific_exam,心电图为宽口径检查动作；需按原文场景区分常规心电图、动态心电图、急诊心电图等，不能只按名称硬映射。,回原文证据确认具体检查项目；若为普通十二导联/常规心电图，可映射到常规心电图检查。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-01-01-ECG-TROP,疑似STEMI应优先完成心电图、肌钙蛋白和发病时间评估。,LabItem,LAB-CARD-CADCD76D40B9,心肌损伤标志物,,,knowledge_only,,False,True,False,needs_lab_subitem_drilldown,心肌损伤标志物是组合检验概念，应下钻到肌钙蛋白、CK-MB、肌红蛋白等检验项目/细项。,补具体检验项目和检验细项后再参与正式医嘱。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-02-01-CONFIRM,持续ST段抬高或等效心电图表现合并急性心肌损伤支持STEMI诊断。,LabItem,LAB-CARD-CADCD76D40B9,心肌损伤标志物,,,knowledge_only,,False,True,False,needs_lab_subitem_drilldown,心肌损伤标志物是组合检验概念，应下钻到肌钙蛋白、CK-MB、肌红蛋白等检验项目/细项。,补具体检验项目和检验细项后再参与正式医嘱。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-05-01-FOLLOW,STEMI稳定后应落实他汀、β受体阻滞剂、抗栓延续和随访。,Medication,MED-BETA-BLOCKER,β受体阻滞剂,,,knowledge_only,,False,True,False,medication_class_not_orderable,β受体阻滞剂是药物类别，不是具体可开立药品。,保留为推荐类别；正式医嘱需下钻到美托洛尔等具体药品和剂型。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-04-01-ANTITHROMBOTIC,STEMI治疗应明确抗血小板、P2Y12受体抑制剂和抗凝药物。,Medication,MED-CARD-2CCCA76B39F5,低分子量肝素,,,knowledge_only,,False,True,False,medication_class_not_orderable,低分子量肝素是药物类别/族，不是唯一具体药品。,按指南原文和本院药品字典确认具体药品。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-04-01-ANTITHROMBOTIC,STEMI治疗应明确抗血小板、P2Y12受体抑制剂和抗凝药物。,Medication,MED-CARD-A49408D27901,普通肝素,,,knowledge_only,,False,True,False,medication_class_not_orderable,普通肝素需区分具体药品、剂型和给药途径。,按指南原文和本院药品字典确认具体药品。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-03-02-FIB-BLOCK,疑似主动脉夹层、活动性出血或重大出血风险未排除前，不得把溶栓作为可执行推荐。,TreatmentItem,PROC-CARD-DA0F467D4A30,溶栓治疗,,,knowledge_only,,False,True,False,needs_disease_scenario_split,溶栓治疗是共享宽口径治疗动作；不能把全局共享节点硬映射为 AMI 专属溶栓治疗。,按疾病/场景拆成具体推荐动作，再映射 CDSS 治疗字典。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-ARR-AVB1,一度房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB1-01-01-DIAG,疑似一度房室传导阻滞时，应结合心电图传导阻滞诊断依据、动态心电图、心电图、电生理检查进行诊断确认和必要鉴别。,ExamItem,EXAM-ECG,心电图,,,knowledge_only,,False,True,False,needs_specific_exam,心电图为宽口径检查动作；需按原文场景区分常规心电图、动态心电图、急诊心电图等，不能只按名称硬映射。,回原文证据确认具体检查项目；若为普通十二导联/常规心电图，可映射到常规心电图检查。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
