文件名,规范名,目录,来源目录类型,建议疾病大类,文件大小MB,最后修改时间,是否已解析登记,登记文件名,登记来源文件数,登记来源示例,下一步动作,处理分组,校正疾病大类,处理动作,暂缓原因
常见先天性心脏病介入治疗中国专家共识之一：房间隔缺损介入治疗.pdf,常见先天性心脏病介入治疗中国专家共识之一房间隔缺损介入治疗,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病,诊疗指南目录,结构性心脏病/先天性心脏病,0.31,2026-06-02 12:41:50,否,,0,,进入未解析PDF候选池,20260717_结构性先心病介入补充解析,结构性心脏病/先天性心脏病,启动G0并解析PDF,
常见先天性心脏病介入治疗中国专家共识之四：经皮球囊肺动脉瓣与主动脉瓣成形术.pdf,常见先天性心脏病介入治疗中国专家共识之四经皮球囊肺动脉瓣与主动脉瓣成形术,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病,诊疗指南目录,结构性心脏病/先天性心脏病,0.46,2026-06-02 12:41:50,否,,0,,进入未解析PDF候选池,20260717_结构性先心病介入补充解析,结构性心脏病/先天性心脏病,启动G0并解析PDF,
ACC／AHA／ACEP／NAEMSP ／SCAI指 南：急性冠脉 综合征患者的管理 2025.pdf,acc／aha／acep／naemsp／scai指南急性冠脉综合征患者的管理2025,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\冠脉介入,诊疗指南目录,待人工归类,10.35,2025-08-26 00:03:59,否,,0,,进入未解析PDF候选池,20260717_冠心病ACS2025补充解析,冠心病,启动G0并解析PDF,
AHA科学声明：使用心室辅助装置患者高血压的管理（2022）.pdf,aha科学声明使用心室辅助装置患者高血压的管理2022,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\左室辅助,诊疗指南目录,高血压,0.32,2025-08-26 08:39:02,否,,0,,进入未解析PDF候选池,20260717_高血压LVAD补充解析,高血压,启动G0并解析PDF,
EHRA：连续血流左心室辅助装置患者心律失常的药物治疗和导管消融治疗（2024）.pdf,ehra连续血流左心室辅助装置患者心律失常的药物治疗和导管消融治疗2024,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\左室辅助,诊疗指南目录,心律失常,9.79,2025-08-26 08:39:55,否,,0,,进入未解析PDF候选池,待人工复核,心律失常,待人工复核,未命中启动规则
ESC指南：右心衰与左心室辅助装置-术前，围手术期和术后管理策略 2024.pdf,esc指南右心衰与左心室辅助装置术前围手术期和术后管理策略2024,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\左室辅助,诊疗指南目录,心力衰竭,1.43,2025-08-26 08:39:29,否,,0,,进入未解析PDF候选池,20260717_心衰LVAD右心衰补充解析,心力衰竭,启动G0并解析PDF,
ESC指南：室性心律失常患者的管理和心源性猝死的预防 2022.pdf,esc指南室性心律失常患者的管理和心源性猝死的预防2022,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心律失常,诊疗指南目录,心律失常,6.34,2025-08-27 19:17:49,否,,0,,进入未解析PDF候选池,20260717_心律失常指南补充解析,心律失常,启动G0并解析PDF,
ESC／EACTS指南：房颤的管理（2024）.pdf,esc／eacts指南房颤的管理2024,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心律失常,诊疗指南目录,心律失常,12.65,2025-08-27 19:17:46,否,,0,,进入未解析PDF候选池,20260717_心律失常指南补充解析,心律失常,启动G0并解析PDF,
中国 左心耳干预预防心房颤动患者血栓栓塞事件：目前的认识和建议（2023） (1).pdf,中国左心耳干预预防心房颤动患者血栓栓塞事件目前的认识和建议20231,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心律失常,诊疗指南目录,心律失常,5.42,2025-08-27 19:12:33,否,,0,,进入未解析PDF候选池,20260717_心律失常指南补充解析,心律失常,启动G0并解析PDF,
ESC指南：心肌病的管理2023.pdf,esc指南心肌病的管理2023,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病,诊疗指南目录,心肌病,12.01,2024-12-18 10:32:58,否,,0,,进入未解析PDF候选池,20260717_心肌病ESC2023补充解析,心肌病,启动G0并解析PDF,
【用药助手】2024 IDSA指南：抗菌素耐药革兰氏阴性菌感染的治疗.pdf,用药助手2024idsa指南抗菌素耐药革兰氏阴性菌感染的治疗,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\感染性疾病,诊疗指南目录,待人工归类,1.64,2025-08-26 10:22:48,否,,0,,进入未解析PDF候选池,暂缓,待人工归类,暂缓,非心血管内科专病，暂缓
【用药助手】2025 ATS官方临床实践指南：社区获得性肺炎的诊断与治疗.pdf,用药助手2025ats官方临床实践指南社区获得性肺炎的诊断与治疗,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\感染性疾病,诊疗指南目录,待人工归类,1.74,2025-08-26 10:22:41,否,,0,,进入未解析PDF候选池,暂缓,待人工归类,暂缓,呼吸/感染方向，暂缓
ACC／AHA指南：心脏瓣膜病患者的管理（2020）.pdf,acc／aha指南心脏瓣膜病患者的管理2020,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\瓣膜性心脏病,诊疗指南目录,瓣膜病,10.83,2025-08-25 15:35:32,否,,0,,进入未解析PDF候选池,20260717_瓣膜病指南补充解析,瓣膜病,启动G0并解析PDF,
ESC／EACTS指南：瓣膜性心脏病的管理（2021） .pdf,esc／eacts指南瓣膜性心脏病的管理2021,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\瓣膜性心脏病,诊疗指南目录,瓣膜病,2.76,2025-08-25 15:34:52,否,,0,,进入未解析PDF候选池,20260717_瓣膜病指南补充解析,瓣膜病,启动G0并解析PDF,
"European position paper on the management of patients with patent foramen ovale Part II - Decompression sickness, migraine, arterial deoxygenation syndromes and select high-risk clinical conditions.pdf",europeanpositionpaperonthemanagementofpatientswithpatentforamenovalepartiidecompressionsicknessmigrainearterialdeoxygenationsyndromesandselecthighriskclinicalconditions,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\先天性心脏病\PFO指南,诊疗指南目录,待人工归类,0.38,2026-06-02 12:41:50,否,,0,,进入未解析PDF候选池,暂缓,待人工归类,暂缓,卵圆孔未闭外文材料，待结构性心脏病批次二轮纳入
《ESICM急性呼吸窘迫综合征指南：定义、分型和呼吸支持策略》解读2023.pdf,esicm急性呼吸窘迫综合征指南定义、分型和呼吸支持策略解读2023,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\2. 重症呼吸,诊疗指南目录,待人工归类,2.18,2024-12-19 17:36:32,否,,0,,进入未解析PDF候选池,暂缓,待人工归类,暂缓,重症/呼吸方向，暂缓
中国专家共识：危重患者人血白蛋白应用2020.pdf,中国专家共识危重患者人血白蛋白应用2020,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\重症指南\6. 重症营养,诊疗指南目录,待人工归类,0.26,2025-07-30 13:09:56,否,,0,,进入未解析PDF候选池,暂缓,待人工归类,暂缓,重症用药共识，暂缓
