疾病大类,资料名称,资料角色,是否医生指定核心资料,是否必须纳入,准入结论,文件路径,文件大小MB,去重标题,准入原因,处理要求
心肌病,《内科学（第10版）》心肌病章节,教材骨架,否,是,已纳入,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.docx,22.00,《内科学第10版》,心血管内科骨架基础，必须提供疾病定义、病因机制、临床表现、检查、诊断、治疗原则。,必须进入本轮心肌病 P7.1 论证，缺失则本轮不得通过。
心肌病,中国心肌病综合管理指南2025,医生指定核心指南,是,是,已纳入,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\2_中国心肌病综合管理指南2025.pdf,1.83,中国心肌病综合管理指南2025,医生明确指定核心资料，覆盖心肌病综合管理、分类、遗传、病理和特殊病因。,必须进入本轮心肌病 P7.1 论证，缺失则本轮不得通过。
心肌病,心肌病心内膜心肌活检及病理检查临床应用指南,医生指定核心技术指南,是,是,已纳入,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病心内膜心肌活检及病理检查临床应用指南.pdf,1.07,心肌病心内膜心肌活检及病理检查临床应用指南,医生明确指定核心资料；直接决定心肌病活检、病理检查、诊断适应证和鉴别诊断扩展槽位。,必须进入本轮心肌病 P7.1 论证，缺失则本轮不得通过。
心肌病,肥厚型心肌病激发/负荷超声心动图临床应用指南2024,医生指定核心技术指南,是,是,已纳入,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\肥厚型心肌病激发_负荷超声心动图临床应用指南(2024版).pdf,2.95,肥厚型心肌病激发_负荷超声心动图临床应用指南2024版,医生明确指定核心资料；直接决定 HCM 动态梗阻、负荷/激发超声、阈值规则和治疗决策扩展槽位。,必须进入本轮心肌病 P7.1 论证，缺失则本轮不得通过。
心肌病,2_中国心肌病综合管理指南2025,补充资料,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\2_中国心肌病综合管理指南2025.pdf,1.83,中国心肌病综合管理指南2025,未列为医生指定核心资料，需按主题相关性作为补充或历史资料。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,DCM  AHA  2016,国际指南,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\DCM\DCM  AHA  2016.pdf,2.12,dcm  aha  2016,DCM 诊疗国际补充证据。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,DCM CN 2018,国内指南,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\DCM\DCM CN 2018.pdf,0.57,dcm cn 2018,DCM 诊疗补充证据。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,DCM ESC 2016,国际指南,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\DCM\DCM ESC 2016.pdf,0.43,dcm esc 2016,DCM 诊疗国际补充证据。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,ESC指南：心肌病的管理2023,国际指南,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\ESC指南：心肌病的管理2023.pdf,12.01,esc指南：心肌病的管理2023,ESC 2023 心肌病管理，作为国际补充证据。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,HCM  ESC 2023,国际指南,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM  ESC 2023.pdf,11.96,hcm  esc 2023,HCM 诊疗、遗传、表型、风险分层补充证据。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
