大类,推荐编码,推荐名称,疾病编码,疾病名称,动作编码,动作名称,动作关系,主证据编码,主指南编码,主指南名称,推荐等级,证据等级,阻断原因
心律失常,REC-CDSS-CARD-ARR-AFL-RATE-CONTROL,心房扑动伴快速心室率时，建议评估心室率控制策略；药物或复律选择需结合血流动力学状态和禁忌证。,DIS-CARD-ARR-AFL,心房扑动,PLAN-CARD-TEXT-655F4B37BC,控制心室率,recommends_action,EVD-CARD-DEEP-2E78252BA488DA,SRC-DOC-CF62B75AEC93F1A6,《内科学（第10版）》.docx,教材支持,权威教材证据,
瓣膜病,REC-CDSS-CARD-VHD-MS-RATE-CONTROL,二尖瓣狭窄合并房颤快心室率时，建议进行心室率控制评估，并同步评估抗凝和瓣膜介入/手术治疗时机。,DIS-CARD-VHD-MS,二尖瓣狭窄,PLAN-CARD-TEXT-655F4B37BC,控制心室率,recommends_action,EVD-CARD-DEEP-480396BA8D88DB,SRC-DOC-CF62B75AEC93F1A6,《内科学（第10版）》.docx,教材支持,权威教材证据,
心律失常,REC-CDSS-CARD-ARR-AF-RATE-CONTROL,心房颤动伴快速心室率或症状明显时，建议评估并实施心室率控制；药物选择需结合左室收缩功能、血流动力学状态和禁忌证。,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-TEXT-655F4B37BC,控制心室率,recommends_action,EVD-CARD-DEEP-59E5E08B606D9D,SRC-DOC-CF62B75AEC93F1A6,《内科学（第10版）》.docx,教材支持,权威教材证据,
心力衰竭,REC-CDSS-CARD-HF-RATE-CONTROL,心力衰竭合并房颤快心室率时，建议结合射血分数和禁忌证选择心室率控制策略；射血分数下降者需慎用非二氢吡啶类钙通道阻滞剂。,DIS-CARD-HF,心力衰竭,PLAN-CARD-TEXT-655F4B37BC,控制心室率,recommends_action,EVD-CARD-DEEP-94D83E44FD47F4,SRC-DOC-CF62B75AEC93F1A6,《内科学（第10版）》.docx,教材支持,权威教材证据,
心律失常,REC-92367B78C701618A,房颤心电图诊断规则｜心房颤动诊断标准（诊断标准）推荐,DIS-CARD-ARR-AF,心房颤动,DXC-CARD-5996B55AA97D,心房颤动诊断标准,recommends_action,EVD-028A2F2BA76DE48E34B3-AF,SRC-DOC-63A0DE9B1C2143F8,慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识_慢性肾脏病非瓣膜性心房颤动抗凝管理工作组.pdf,未结构化,未结构化,
心律失常,REC-C9CFCBFF9AA3901F,房颤心电图诊断规则｜心电图（检查）推荐,DIS-CARD-ARR-AF,心房颤动,EXAM-ECG,心电图,recommends_action,EVD-028A2F2BA76DE48E34B3-AF,SRC-DOC-63A0DE9B1C2143F8,慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识_慢性肾脏病非瓣膜性心房颤动抗凝管理工作组.pdf,未结构化,未结构化,
心律失常,REC-FB096AED547CC572,房颤心电图诊断规则｜动态心电图（检查）推荐,DIS-CARD-ARR-AF,心房颤动,EXAM-HOLTER,动态心电图,recommends_action,EVD-028A2F2BA76DE48E34B3-AF,SRC-DOC-63A0DE9B1C2143F8,慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识_慢性肾脏病非瓣膜性心房颤动抗凝管理工作组.pdf,未结构化,未结构化,
心律失常,REC-D5B3CEFE3FFC72D0,房颤卒中出血评分规则｜心房颤动风险分层（风险分层）推荐,DIS-CARD-ARR-AF,心房颤动,RISK-CARD-7371F77D04B5,心房颤动风险分层,recommends_action,EVD-1BDBEB039CDD54E3D3A7-AF,SRC-DOC-C5A1A36777F25502,AF ESC 2020.pdf,未结构化,未结构化,
心律失常,REC-48ACCA58849D7D40,房颤卒中出血评分规则｜CHA2DS2-VASc评分（风险分层）推荐,DIS-CARD-ARR-AF,心房颤动,RISK-CARD-BD6FBD0D2712,CHA2DS2-VASc评分,recommends_action,EVD-1BDBEB039CDD54E3D3A7-AF,SRC-DOC-C5A1A36777F25502,AF ESC 2020.pdf,未结构化,未结构化,
心律失常,REC-4DC54492700DB784,房颤卒中出血评分规则｜HAS-BLED评分（风险分层）推荐,DIS-CARD-ARR-AF,心房颤动,RISK-CARD-E21D88A4688D,HAS-BLED评分,recommends_action,EVD-1BDBEB039CDD54E3D3A7-AF,SRC-DOC-C5A1A36777F25502,AF ESC 2020.pdf,未结构化,未结构化,
