disease_code,disease_name,recommendation_code,recommendation_name,entity_type,node_code,node_name,cdss_use_status,clinical_use_status,dictionary_validation_status,source_table,cdss_order_ready,cdss_display_ready,emr_write_allowed,cdss_dictionary_resolution_status,cdss_dictionary_resolution_note,cdss_dictionary_required_action
DIS-CARD-ARR-AVB1,一度房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB1-01-01-DIAG,疑似一度房室传导阻滞时，应结合心电图传导阻滞诊断依据、动态心电图、心电图、电生理检查进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AVB3,三度房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB3-01-01-DIAG,疑似三度房室传导阻滞时，应结合心电图传导阻滞诊断依据、心电图、电生理检查进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-CAD-UA,不稳定型心绞痛,REC-CDSS-CAD-UA-03-01-TREAT,UA治疗应结合缺血风险和出血风险推荐抗血小板治疗，并对高危患者评估冠脉造影/PCI。,Procedure,PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,,,pending_dictionary_registration,K_OPERATION_HANDLE_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-HF-BIVENTRICULAR,全心衰竭,REC-CDSS-HF-HF-BIVENTRICULAR-01-01-DIAG,疑似全心衰竭时，应结合心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,LabItem,EXAM-CARD-01C3182D129E,利钠肽,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-HF-RIGHT,右心衰竭,REC-CDSS-HF-HF-RIGHT-01-01-DIAG,疑似右心衰竭时，应结合右心衰竭诊断标准、心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,LabItem,EXAM-CARD-01C3182D129E,利钠肽,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-SVT,室上性心动过速,REC-CDSS-SVTAFL-ARR-SVT-01-01-DIAG,疑似室上性心动过速时，应结合室上性心动过速诊断标准、12导联心电图、动态心电图、电生理检查、超声心动图等进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-A80B855C8C77,12导联心电图,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-SVT,室上性心动过速,REC-CDSS-SVTAFL-ARR-SVT-01-01-DIAG,疑似室上性心动过速时，应结合室上性心动过速诊断标准、12导联心电图、动态心电图、电生理检查、超声心动图等进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-VA,室性心律失常,REC-CDSS-VASCD-ARR-VA-01-01-DIAG,疑似室性心律失常时，应结合室性心律失常诊断标准、冠状动脉造影、动态心电图、基因检测、心电图等进行诊断确认和必要鉴别。,LabItem,LAB-CARD-RENAL-ELECTROLYTE-CDSS,肾功能与电解质,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-PVC,室性期前收缩,REC-CDSS-VASCD-ARR-PVC-01-01-DIAG,疑似室性期前收缩时，应结合室性期前收缩诊断标准、冠状动脉造影、动态心电图、基因检测、心电图等进行诊断确认和必要鉴别。,LabItem,LAB-CARD-RENAL-ELECTROLYTE-CDSS,肾功能与电解质,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭,REC-CDSS-HF-HF-HFpEF-01-01-DIAG,疑似射血分数保留的心力衰竭时，应结合射血分数保留的心力衰竭诊断标准、心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,LabItem,EXAM-CARD-01C3182D129E,利钠肽,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭,REC-CDSS-HF-HF-HFmrEF-01-01-DIAG,疑似射血分数轻度降低的心力衰竭时，应结合射血分数轻度降低的心力衰竭诊断标准、心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,LabItem,EXAM-CARD-01C3182D129E,利钠肽,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭,REC-CDSS-HF-HF-HFrEF-01-01-DIAG,疑似射血分数降低的心力衰竭时，应结合射血分数降低的心力衰竭诊断标准、心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,LabItem,EXAM-CARD-01C3182D129E,利钠肽,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
