code,name,definition_status,definition_confidence,external_authority_review_status,definition_source_type,definition_source_name,definition_preview
DIS-CARD-ARR-AF,心房颤动,definition_present,,,authoritative_textbook,《内科学（第10版）》,心房颤动（atrial fibrillation，AF）简称房颤，是最常见的心律失常之一，是指规则有序的心房电活动丧失，代之以快速无序的颤动波，是最严重的心房电活动紊乱。
DIS-CARD-ARR-AFL,心房扑动,definition_present,,,authoritative_textbook,《内科学（第10版）》,心房扑动（atrial flutter）简称房扑，是介于房速和房颤之间的快速型心律失常。
DIS-CARD-ARR-AT,房性心动过速,definition_present,,,authoritative_textbook,《内科学（第10版）》,房性心动过速（atrial tachycardia）简称房速，指起源于心房且无需房室结参与维持的心动过速。
DIS-CARD-ARR-AVB,房室传导阻滞,definition_present,,,authoritative_textbook,《内科学（第10版）》,房室传导阻滞（atrioventricular block）是指房室交界区脱离了生理不应期后，心房冲动传导延迟或不能传导至心室。
DIS-CARD-ARR-AVB1,一度房室传导阻滞,definition_present,,,authoritative_textbook,《内科学（第10版）》,一度房室传导阻滞是房室传导时间延长，但全部心房冲动仍能传导至心室的房室传导阻滞。
DIS-CARD-ARR-AVB2,二度房室传导阻滞,definition_present,,,authoritative_textbook,《内科学（第10版）》,二度房室传导阻滞是部分心房冲动不能传导至心室的房室传导阻滞，可分为Ⅰ型（文氏阻滞）和Ⅱ型。
DIS-CARD-ARR-AVB3,三度房室传导阻滞,definition_present,,,authoritative_textbook,《内科学（第10版）》,三度房室传导阻滞又称完全性房室传导阻滞，是全部心房冲动不能传导至心室，心房和心室节律由各自独立起搏点控制的房室传导阻滞。
DIS-CARD-ARR-AVNRT,房室结折返性心动过速,definition_present,,,authoritative_textbook,《内科学（第10版）》,房室结折返性心动过速（AVNRT）是折返环路位于房室结内的房室交界区相关折返性心动过速。
DIS-CARD-ARR-AVRT,房室折返性心动过速,definition_present,,,authoritative_textbook,《内科学（第10版）》,房室折返性心动过速（AVRT）是通过旁道产生的心动过速，可由房室交界区、旁道与心房、心室共同组成折返环路。
DIS-CARD-ARR-BBB,束支传导阻滞,definition_present,,,authoritative_textbook,《内科学（第10版）》,室内传导阻滞（intraventricular block）是指希氏束以下部位的传导阻滞。
