batch_id,学科,疾病大类,专病范围,状态,输出路径,是否写Neo4j,备注
MIG-CARD-STANDARD-PROCEDURE-V2-20260720,心血管内科,全科标准手术主数据,全部已建临床手术及CDSS有效标准手术,已写入Neo4j；主数据和CDSS双口径复核通过,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\项目管理中心_project_management\147_标准手术V2迁移_20260720,是,37个临床手术全部映射49个标准手术共59条映射；类型污染和证据扇出已归零；Schema V2.5；技能V3.8
MIG-CARD-V2-20260719-ALL,心血管内科,疾病主数据与层级升级,全部132个疾病；20个疾病大类；51个展示分组；82条标准诊断,已写入Neo4j；疾病层级14项硬闸门通过,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\项目管理中心_project_management\139_CDSS标准主数据与疾病分型升级_20260719\12_全部疾病迁移,是,AMI与心肌病样板通过后执行全量迁移；77个疾病可安全回填；55个未命中疾病保持不可回填；全库仍有3组同名直连和1580条旧节点引用待独立治理
20260717_冠心病ACS2025补充解析,心血管内科,冠心病,急性冠脉综合征；急性心肌梗死；ST段抬高型心肌梗死；非ST段抬高型心肌梗死；不稳定型心绞痛,已生成补充证据合并包；已入库；服务器复核通过,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260717_冠心病ACS2025补充解析,是,精确纳入1份PDF；92页；证据430条；节点518；关系1824；已并入补充证据合并包 SUPP-EVIDENCE-MERGE-20260717-001
20260717_瓣膜病指南补充解析,心血管内科,瓣膜病,心脏瓣膜病；主动脉瓣狭窄；主动脉瓣反流；二尖瓣狭窄；二尖瓣反流,已生成补充证据合并包；已入库；服务器复核通过,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260717_瓣膜病指南补充解析,是,精确纳入2份PDF；245页；证据2720条；节点2399；关系6700；已并入补充证据合并包 SUPP-EVIDENCE-MERGE-20260717-001
20260717_心律失常指南补充解析,心血管内科,心律失常,心房颤动；心房扑动；室性心律失常；心脏性猝死；左心耳干预,已生成补充证据合并包；已入库；服务器复核通过,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260717_心律失常指南补充解析,是,精确纳入3份PDF；258页；证据1287条；节点1384；关系3958；已并入补充证据合并包 SUPP-EVIDENCE-MERGE-20260717-001
20260717_心肌病ESC2023补充解析,心血管内科,心肌病,心肌病；肥厚型心肌病；扩张型心肌病；限制型心肌病；致心律失常性心肌病,已生成补充证据合并包；已入库；服务器复核通过,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260717_心肌病ESC2023补充解析,是,精确纳入1份PDF；124页；证据984条；节点1017；关系3203；已并入补充证据合并包 SUPP-EVIDENCE-MERGE-20260717-001
20260717_结构性先心病介入补充解析,心血管内科,结构性心脏病/先天性心脏病,房间隔缺损；肺动脉瓣狭窄；主动脉瓣狭窄；先天性心脏病介入治疗,已生成补充证据合并包；已入库；服务器复核通过,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260717_结构性先心病介入补充解析,是,精确纳入2份PDF；15页；证据97条；节点157；关系640；已并入补充证据合并包 SUPP-EVIDENCE-MERGE-20260717-001
20260717_心衰LVAD右心衰补充解析,心血管内科,心力衰竭,右心衰竭；左心室辅助装置；心力衰竭,已生成补充证据合并包；已入库；服务器复核通过,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260717_心衰LVAD右心衰补充解析,是,精确纳入1份PDF；19页；证据295条；节点132；关系286；已并入补充证据合并包 SUPP-EVIDENCE-MERGE-20260717-001
20260717_高血压LVAD补充解析,心血管内科,高血压,高血压；心室辅助装置相关高血压,已生成补充证据合并包；已入库；服务器复核通过,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260717_高血压LVAD补充解析,是,精确纳入1份PDF；11页；证据38条；节点39；关系86；已并入补充证据合并包 SUPP-EVIDENCE-MERGE-20260717-001
20260715_高血压正式解析收口,心血管内科,高血压,高血压；原发性高血压；继发性高血压；高血压急症；高血压亚急症；难治性高血压；白大衣高血压；隐匿性高血压；原发性醛固酮增多症；发作性高血压；肾实质性高血压；肾血管性高血压；内分泌性高血压；慢性肾脏病合并高血压；老年高血压,已写入Neo4j并通过服务器入库后复测,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_高血压正式解析收口,是,补齐15个Disease.definition；新增15个Definition、45个DefinitionComponent；写入75个节点、120条关系；服务器入库后复测通过
20260715_肺动脉高压正式解析,心血管内科,肺动脉高压,肺动脉高压；动脉性肺动脉高压；特发性肺动脉高压；遗传性肺动脉高压；结缔组织病相关肺动脉高压；先天性心脏病相关肺动脉高压；慢性血栓栓塞性肺动脉高压,已入库并通过服务器入库后复测,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析,是,纳入8份资料；PDF 1230页；OCR阻断0；证据1512条；最终节点2264；最终关系12335；删除跨章节污染ClinicalRule 25个、关系143条；补齐诊断标准明细7条；7/7闭环ready；本批次服务器入库后复测阻断项0
20260715_瓣膜病正式解析,心血管内科,瓣膜病,心脏瓣膜病；主动脉瓣狭窄；主动脉瓣反流；二尖瓣狭窄；二尖瓣反流；三尖瓣反流；肺动脉瓣狭窄；多瓣膜病；风湿性心脏瓣膜病,已写入Neo4j并通过入库后复测,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析,是,纳入19份来源资料；PDF 10份1403页且OCR阻断0；DOCX 9份226段；证据2189条；本地节点3321；本地关系12347；导入节点行3321；导入关系行12347；服务器本批次节点3318；服务器本批次关系12365；9个疾病闭环ready；required缺口0；证据链命中率100%；入库后补齐9个诊断标准明细、归并33组重复实体关系、修复2条旧重复节点残留引用；入库后复测阻断数0
20260714_批次入库后复测入口接入,心血管内科,公共执行层/入库后复测,后续所有专病批次和精修批次,未写Neo4j；只读复测通过,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260714_入库后复测验证,否,新增批次入库后复测_入库后复测.py；固定输出99_入库后复测；当前接入主数据质量闸门；真实服务器只读验证通过；旧零散入库后复测脚本不再作为新病种默认入口
20260714_主数据质量闸门固化,心血管内科,公共执行层/质量闸门,同病种重复直连；诊断标准明细；孤儿诊断标准；治疗方案下游；替换节点残留引用,已写入Neo4j修复1条残留引用并通过入库后复测,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_全局质量体检_global_quality_audit\20260714_主数据质量闸门,是,新增公共执行层脚本；首次检查发现1条缺血性心肌病治疗方案仍指向旧心脏移植重复节点；已迁移到标准主节点PROC-HEART-TRANSPLANT；复测5项主数据闸门全为0
20260714_全库主数据归并治理,心血管内科,全库主数据治理,同病种同类型同名重复直连；孤儿诊断标准；空壳治疗方案,已写入Neo4j并通过入库后复测,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260714_全库主数据归并治理,是,重复组148；重复节点149；迁移入边160；迁移出边228；清理零关系孤儿诊断标准4个；空壳治疗方案并入标准主节点1个；最终硬闸门全为0
20260714_心衰心律高血压总精修,心血管内科,心力衰竭/心律失常/高血压,心力衰竭11个；心律失常/心脏性猝死31个；高血压23个,已写入Neo4j并通过入库后复测,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260714_心衰心律高血压总精修,是,65个疾病全部formal_cdss_ready；规则证据链补齐197条；治疗方案下游补链614条；传导阻滞类阻断方案补齐8条组件关系；语义污染治理2个；同名重复直连治理1组；本批次硬闸门全为0
BATCH-CARD-CDSS-RULE-EVIDENCE-REFINE-20260714-001,心血管内科,全库/CDSS规则证据链总精修,冠心病/心肌病/心力衰竭/心律失常等已建图谱范围,已写入Neo4j并通过入库后复测,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260714_CDSS总精修,是,补齐具体药物关系77条；新建具体药物节点30个；归并重复实体6组；补齐类型标签11个；药物类别无具体药物=0；CK-MB误归药物=0；药物缩写作为主名=0；全库硬闸门通过
BATCH-CARD-HIST-TYPE-CLEAN-20260714-001,心血管内科,全库/历史节点类型治理,早期DiagnosisCriteria与DifferentialDiagnosis误分型,已写入Neo4j并通过入库后复测,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-HIST-TYPE-CLEAN-20260714-001_历史节点类型治理_historical_node_type_cleanup,是,节点改型146；关系转换160；DiagnosisCriteria无明细12→0；DifferentialDiagnosis无明细148→14；正式CDSS硬闸门通过
BATCH-CARD-VTE-CLEAN-20260714-001,心血管内科,主动脉和周围血管病/VTE历史骨架污染治理,静脉血栓症（VTE/PTE/DVT）,已写入Neo4j并通过入库后复测,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-VTE-CLEAN-20260714-001_静脉血栓症历史骨架污染治理_VTE_skeleton_pollution_cleanup,是,删除关系350条；VTE出边844→494；全库正式CDSS硬闸门通过
