batch_id,disease_code,disease_name,scenario_type,relation_type,target_type,pending_item_count,sample_targets,missing_field_summary,review_focus,clinical_use_decision,expert_comment
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,手术/操作治疗,includes_procedure,Procedure,5,经皮冠状动脉介入治疗；吸氧治疗；冠状动脉旁路移植术；电复律,适用人群×5；临床确认×5；证据链×5；排除/禁忌×5；推荐等级/证据等级×5,重点确认：适用人群、临床确认、证据链、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,手术/操作治疗,treated_by_procedure,Procedure,6,冠状动脉旁路移植术；溶栓治疗；经皮冠状动脉介入治疗；心包穿刺；起搏器植入；心脏再同步治疗,适用人群×6；临床确认×6；临床规则/路径×6；排除/禁忌×6；推荐等级/证据等级×5,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,治疗方案,has_treatment_plan,TreatmentPlan,8,急性冠脉综合征治疗方案；再灌注治疗；抗血小板治疗；血运重建；复律治疗；抗凝治疗；溶栓治疗；氧疗,适用人群×8；临床确认×8；临床规则/路径×8；排除/禁忌×8；推荐等级/证据等级×8,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,药物治疗,includes_medication,Medication,5,溶栓药物；抗血小板药物；抗凝药物；胺碘酮,适用人群×5；临床确认×5；证据链×5；排除/禁忌×5；药物别名×1；药物禁忌×5；药物剂量×5；药物相互作用×5；推荐等级/证据等级×5,重点确认：适用人群、临床确认、证据链、排除/禁忌、药物别名、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,药物治疗,treated_by_medication,Medication,15,β受体拮抗剂；替格瑞洛；普拉格雷；阿托伐他汀；P2Y12受体抑制剂；阿司匹林；硝酸甘油；他汀类药物；瑞舒伐他汀；血管紧张素转换酶抑制剂；氯吡格雷；硝酸酯类药物,适用人群×15；临床确认×15；临床规则/路径×15；排除/禁忌×15；药物禁忌×15；药物剂量×15；药物相互作用×15；推荐等级/证据等级×12,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ACS,急性冠脉综合征,随访管理,has_follow_up,FollowUp,1,急性冠脉综合征随访方案,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1；推荐等级/证据等级×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,手术/操作治疗,includes_procedure,Procedure,5,经皮冠状动脉介入治疗；吸氧治疗；冠状动脉旁路移植术；电复律,适用人群×5；临床确认×5；证据链×5；排除/禁忌×5；推荐等级/证据等级×5,重点确认：适用人群、临床确认、证据链、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,手术/操作治疗,treated_by_procedure,Procedure,9,冠状动脉旁路移植术；溶栓治疗；经皮冠状动脉介入治疗；心脏移植；植入式心律转复除颤器；射频消融术；起搏器植入；瓣膜置换术；心脏再同步治疗,适用人群×9；临床确认×9；临床规则/路径×9；排除/禁忌×9；推荐等级/证据等级×9,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,治疗方案,has_treatment_plan,TreatmentPlan,9,再灌注治疗；抗血小板治疗；急性心肌梗死治疗方案；血运重建；复律治疗；降压治疗；抗凝治疗；氧疗；溶栓治疗,适用人群×9；临床确认×9；临床规则/路径×9；排除/禁忌×9；推荐等级/证据等级×9,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,药物治疗,includes_medication,Medication,10,溶栓药物；抗血小板药物；抗凝药物；血管紧张素转换酶抑制剂；血管紧张素Ⅱ受体阻滞剂；血管紧张素Ⅱ受体拮抗剂；钙通道阻滞剂；利尿剂；胺碘酮,适用人群×10；临床确认×10；证据链×10；排除/禁忌×10；药物别名×2；药物禁忌×10；药物剂量×10；药物相互作用×10；推荐等级/证据等级×10,重点确认：适用人群、临床确认、证据链、排除/禁忌、药物别名、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
