disease_code,disease_name,recommendation_code,recommendation_name,entity_type,node_code,node_name,cdss_use_status,clinical_use_status,dictionary_validation_status,source_table,cdss_order_ready,cdss_display_ready,emr_write_allowed,cdss_dictionary_resolution_status,cdss_dictionary_resolution_note,cdss_dictionary_required_action,处置结论
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-01-01-ECG-TROP,疑似STEMI应优先完成心电图、肌钙蛋白和发病时间评估。,ExamItem,EXAM-ECG,心电图,,,knowledge_only,,False,True,False,needs_specific_exam,心电图为宽口径检查动作；需按原文场景区分常规心电图、动态心电图、急诊心电图等，不能只按名称硬映射。,回原文证据确认具体检查项目；若为普通十二导联/常规心电图，可映射到常规心电图检查。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-01-01-ECG-TROP,疑似STEMI应优先完成心电图、肌钙蛋白和发病时间评估。,LabItem,LAB-CARD-CADCD76D40B9,心肌损伤标志物,,,knowledge_only,,False,True,False,needs_lab_subitem_drilldown,心肌损伤标志物是组合检验概念，应下钻到肌钙蛋白、CK-MB、肌红蛋白等检验项目/细项。,补具体检验项目和检验细项后再参与正式医嘱。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-02-01-CONFIRM,持续ST段抬高或等效心电图表现合并急性心肌损伤支持STEMI诊断。,LabItem,LAB-CARD-CADCD76D40B9,心肌损伤标志物,,,knowledge_only,,False,True,False,needs_lab_subitem_drilldown,心肌损伤标志物是组合检验概念，应下钻到肌钙蛋白、CK-MB、肌红蛋白等检验项目/细项。,补具体检验项目和检验细项后再参与正式医嘱。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-05-01-FOLLOW,STEMI稳定后应落实他汀、β受体阻滞剂、抗栓延续和随访。,Medication,MED-BETA-BLOCKER,β受体阻滞剂,,,knowledge_only,,False,True,False,medication_class_not_orderable,β受体阻滞剂是药物类别，不是具体可开立药品。,保留为推荐类别；正式医嘱需下钻到美托洛尔等具体药品和剂型。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-04-01-ANTITHROMBOTIC,STEMI治疗应明确抗血小板、P2Y12受体抑制剂和抗凝药物。,Medication,MED-CARD-2CCCA76B39F5,低分子量肝素,,,knowledge_only,,False,True,False,medication_class_not_orderable,低分子量肝素是药物类别/族，不是唯一具体药品。,按指南原文和本院药品字典确认具体药品。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-04-01-ANTITHROMBOTIC,STEMI治疗应明确抗血小板、P2Y12受体抑制剂和抗凝药物。,Medication,MED-CARD-A49408D27901,普通肝素,,,knowledge_only,,False,True,False,medication_class_not_orderable,普通肝素需区分具体药品、剂型和给药途径。,按指南原文和本院药品字典确认具体药品。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,REC-CDSS-CAD-STEMI-03-02-FIB-BLOCK,疑似主动脉夹层、活动性出血或重大出血风险未排除前，不得把溶栓作为可执行推荐。,TreatmentItem,PROC-CARD-DA0F467D4A30,溶栓治疗,,,knowledge_only,,False,True,False,needs_disease_scenario_split,溶栓治疗是共享宽口径治疗动作；不能把全局共享节点硬映射为 AMI 专属溶栓治疗。,按疾病/场景拆成具体推荐动作，再映射 CDSS 治疗字典。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CM-ATRIAL,心房心肌病,REC-CDSS-CM-ATRIAL-01-01-DIAG,心房心肌病应结合房性心律失常、心房结构/功能异常和EHRA组织学分型框架进行评估。,ExamItem,EXAM-ECG,心电图,,,knowledge_only,,False,True,False,needs_specific_exam,心电图为宽口径检查动作；需按原文场景区分常规心电图、动态心电图、急诊心电图等，不能只按名称硬映射。,回原文证据确认具体检查项目；若为普通十二导联/常规心电图，可映射到常规心电图检查。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CM-ATRIAL,心房心肌病,REC-CDSS-CM-ATRIAL-01-01-DIAG,心房心肌病应结合房性心律失常、心房结构/功能异常和EHRA组织学分型框架进行评估。,ExamItem,EXAM-TTE,超声心动图,,,knowledge_only,,False,True,False,needs_specific_exam,超声心动图为宽口径检查动作；Oracle 中存在 M 型、二维、多普勒、经食管、负荷等多种项目。,回原文证据确认具体超声类型；不能直接把宽口径名称当医嘱项目。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-AMI,急性心肌梗死,REC-CDSS-CAD-AMI-01-01-DIAG,急性心肌损伤证据合并缺血证据时支持急性心肌梗死诊断。,ExamItem,EXAM-ECG,心电图,,,knowledge_only,,False,True,False,needs_specific_exam,心电图为宽口径检查动作；需按原文场景区分常规心电图、动态心电图、急诊心电图等，不能只按名称硬映射。,回原文证据确认具体检查项目；若为普通十二导联/常规心电图，可映射到常规心电图检查。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-AMI,急性心肌梗死,REC-CDSS-CAD-AMI-01-01-DIAG,急性心肌损伤证据合并缺血证据时支持急性心肌梗死诊断。,ExamItem,EXAM-TTE,超声心动图,,,knowledge_only,,False,True,False,needs_specific_exam,超声心动图为宽口径检查动作；Oracle 中存在 M 型、二维、多普勒、经食管、负荷等多种项目。,回原文证据确认具体超声类型；不能直接把宽口径名称当医嘱项目。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-AMI,急性心肌梗死,REC-CDSS-CAD-AMI-01-01-DIAG,急性心肌损伤证据合并缺血证据时支持急性心肌梗死诊断。,LabItem,LAB-CARD-CADCD76D40B9,心肌损伤标志物,,,knowledge_only,,False,True,False,needs_lab_subitem_drilldown,心肌损伤标志物是组合检验概念，应下钻到肌钙蛋白、CK-MB、肌红蛋白等检验项目/细项。,补具体检验项目和检验细项后再参与正式医嘱。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-AMI,急性心肌梗死,REC-CDSS-CAD-AMI-03-01-PREVENT,AMI稳定后应落实抗血小板、他汀、β受体阻滞剂和随访管理。,Medication,MED-BETA-BLOCKER,β受体阻滞剂,,,knowledge_only,,False,True,False,medication_class_not_orderable,β受体阻滞剂是药物类别，不是具体可开立药品。,保留为推荐类别；正式医嘱需下钻到美托洛尔等具体药品和剂型。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CAD-AMI,急性心肌梗死,REC-CDSS-CAD-AMI-03-01-PREVENT,AMI稳定后应落实抗血小板、他汀、β受体阻滞剂和随访管理。,Medication,MED-CARD-DAE0F0B68F1D,他汀类药物,,,knowledge_only,,False,True,False,medication_class_not_orderable,他汀类药物是药物类别，不是具体可开立药品。,保留为推荐类别；正式医嘱需下钻到阿托伐他汀、瑞舒伐他汀等具体药品和剂型。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CM-DCM,扩张型心肌病,REC-CDSS-CM-DCM-03-01-FOLLOW,DCM应定期复评心功能、心律失常、遗传风险和是否需要高级心衰治疗。,ExamItem,EXAM-GENETIC,基因检测,,,knowledge_only,,False,True,False,needs_specific_exam,基因检测为宽口径检查动作，不同疾病对应检测范围不同。,按疾病和原文证据确定基因检测类型或进入待注册。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CM-DCM,扩张型心肌病,REC-CDSS-CM-DCM-02-02-DEVICE,DCM经规范治疗后仍有低LVEF或高危心律失常时，应评估ICD或心脏再同步治疗。,ExamItem,EXAM-ECG,心电图,,,knowledge_only,,False,True,False,needs_specific_exam,心电图为宽口径检查动作；需按原文场景区分常规心电图、动态心电图、急诊心电图等，不能只按名称硬映射。,回原文证据确认具体检查项目；若为普通十二导联/常规心电图，可映射到常规心电图检查。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CM-DCM,扩张型心肌病,REC-CDSS-CM-DCM-01-01-DIAG,疑似扩张型心肌病应结合超声心动图、心脏磁共振、LVEF和病因排查确认诊断。,ExamItem,EXAM-CMR,心脏磁共振,,,knowledge_only,,False,True,False,needs_specific_exam,心脏磁共振需区分平扫、增强、延迟强化等项目。,回原文证据确认具体 CMR 项目。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CM-DCM,扩张型心肌病,REC-CDSS-CM-DCM-01-01-DIAG,疑似扩张型心肌病应结合超声心动图、心脏磁共振、LVEF和病因排查确认诊断。,ExamItem,EXAM-TTE,超声心动图,,,knowledge_only,,False,True,False,needs_specific_exam,超声心动图为宽口径检查动作；Oracle 中存在 M 型、二维、多普勒、经食管、负荷等多种项目。,回原文证据确认具体超声类型；不能直接把宽口径名称当医嘱项目。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CM-DCM,扩张型心肌病,REC-CDSS-CM-DCM-03-01-FOLLOW,DCM应定期复评心功能、心律失常、遗传风险和是否需要高级心衰治疗。,ExamItem,EXAM-TTE,超声心动图,,,knowledge_only,,False,True,False,needs_specific_exam,超声心动图为宽口径检查动作；Oracle 中存在 M 型、二维、多普勒、经食管、负荷等多种项目。,回原文证据确认具体超声类型；不能直接把宽口径名称当医嘱项目。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CM-DCM,扩张型心肌病,REC-CDSS-CM-DCM-02-02-DEVICE,DCM经规范治疗后仍有低LVEF或高危心律失常时，应评估ICD或心脏再同步治疗。,Procedure,PROC-CARD-TEXT-D2C1F9E289,心脏再同步治疗装置植入术,,,,,False,True,False,needs_procedure_variant,心脏再同步治疗装置植入术需区分 CRT-P、CRT-D、置入、置换等操作。,按原文和临床场景确认具体手术/操作字典项。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CM-DCM,扩张型心肌病,REC-CDSS-CM-DCM-02-02-DEVICE,DCM经规范治疗后仍有低LVEF或高危心律失常时，应评估ICD或心脏再同步治疗。,Procedure,PROC-ICD,植入式心律转复除颤器置入术,,,,,False,True,False,needs_procedure_variant,植入式心律转复除颤器置入术需区分单腔、双腔、置入、置换等操作。,按原文和临床场景确认具体手术/操作字典项。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CM-FABRY,法布雷病心肌病,REC-CDSS-CM-FABRY-01-01-DIAG,疑似法布雷病心肌病应结合α-半乳糖苷酶A活性、基因检测、CMR和必要时心肌活检确认诊断。,ExamItem,EXAM-GENETIC,基因检测,,,knowledge_only,,False,True,False,needs_specific_exam,基因检测为宽口径检查动作，不同疾病对应检测范围不同。,按疾病和原文证据确定基因检测类型或进入待注册。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CM-FABRY,法布雷病心肌病,REC-CDSS-CM-FABRY-01-01-DIAG,疑似法布雷病心肌病应结合α-半乳糖苷酶A活性、基因检测、CMR和必要时心肌活检确认诊断。,ExamItem,EXAM-CMR,心脏磁共振,,,knowledge_only,,False,True,False,needs_specific_exam,心脏磁共振需区分平扫、增强、延迟强化等项目。,回原文证据确认具体 CMR 项目。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CM-AMYLOID,淀粉样变心肌病,REC-CDSS-CM-AMYLOID-01-01-DIAG,疑似淀粉样变心肌病应结合超声、CMR、心脏生物标志物和必要时心肌活检进行诊断和分型。,ExamItem,EXAM-CMR,心脏磁共振,,,knowledge_only,,False,True,False,needs_specific_exam,心脏磁共振需区分平扫、增强、延迟强化等项目。,回原文证据确认具体 CMR 项目。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
DIS-CARD-CM-AMYLOID,淀粉样变心肌病,REC-CDSS-CM-AMYLOID-01-01-DIAG,疑似淀粉样变心肌病应结合超声、CMR、心脏生物标志物和必要时心肌活检进行诊断和分型。,ExamItem,EXAM-TTE,超声心动图,,,knowledge_only,,False,True,False,needs_specific_exam,超声心动图为宽口径检查动作；Oracle 中存在 M 型、二维、多普勒、经食管、负荷等多种项目。,回原文证据确认具体超声类型；不能直接把宽口径名称当医嘱项目。,已分类为非直接医嘱动作：可展示，不可直接下医嘱/回填EMR
