父级,疾病/章节,槽位总数,已覆盖,缺失,覆盖率,缺失槽位
第三章心律失常,第六节心脏传导阻滞,20,0,20,0.0,定义/概述；分类/分型；病因；发病机制/病理生理；流行病学；症状；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；治疗方案；药物；手术/操作；随访；预后；并发症；预防/健康教育
第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,第五节冠状动脉疾病的其他表现形式,20,0,20,0.0,定义/概述；分类/分型；病因；发病机制/病理生理；流行病学；症状；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；治疗方案；药物；手术/操作；随访；预后；并发症；预防/健康教育
第三章心律失常,第三节房性心律失常,20,1,19,0.05,定义/概述；分类/分型；病因；发病机制/病理生理；流行病学；症状；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；治疗方案；药物；手术/操作；随访；预后；预防/健康教育
第三章心律失常,第五节室性心律失常,20,1,19,0.05,定义/概述；分类/分型；病因；发病机制/病理生理；流行病学；症状；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；治疗方案；药物；手术/操作；随访；预后；预防/健康教育
第三章心律失常,第四节房室交界性心律失常,20,1,19,0.05,定义/概述；分类/分型；病因；发病机制/病理生理；流行病学；症状；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；治疗方案；药物；手术/操作；随访；预后；预防/健康教育
第三篇循环系统疾病,第三章心律失常,20,1,19,0.05,定义/概述；分类/分型；病因；发病机制/病理生理；流行病学；症状；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；治疗方案；药物；手术/操作；随访；预后；预防/健康教育
第四节房室交界性心律失常,一、房室交界性期前收缩,20,2,18,0.1,分类/分型；病因；发病机制/病理生理；流行病学；症状；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；药物；手术/操作；随访；预后；并发症；预防/健康教育
第四节房室交界性心律失常,二、房室交界性逸搏与心律,20,2,18,0.1,定义/概述；分类/分型；病因；发病机制/病理生理；流行病学；症状；体征；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；药物；手术/操作；随访；预后；并发症；预防/健康教育
第三章心律失常,第八节心律失常的介入治疗和手术治疗,20,3,17,0.15,定义/概述；分类/分型；病因；发病机制/病理生理；流行病学；症状；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；药物；随访；预后；预防/健康教育
第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,第三节慢性冠状动脉综合征,20,3,17,0.15,定义/概述；分类/分型；病因；发病机制/病理生理；流行病学；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；药物；手术/操作；随访；预后；并发症
第三章心律失常,第二节窦性心律失常,20,4,16,0.2,病因；发病机制/病理生理；流行病学；症状；体征；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；治疗方案；药物；手术/操作；随访；预后；预防/健康教育
第三篇循环系统疾病,第二章心力衰竭,20,4,16,0.2,分类/分型；病因；发病机制/病理生理；流行病学；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；治疗方案；药物；手术/操作；随访；预后
第二节窦性心律失常,二、窦性心动过缓,20,4,16,0.2,定义/概述；分类/分型；病因；发病机制/病理生理；流行病学；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；手术/操作；随访；预后；并发症
第二节窦性心律失常,四、窦房传导阻滞,20,4,16,0.2,定义/概述；发病机制/病理生理；流行病学；症状；体征；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；药物；手术/操作；随访；预后；并发症；预防/健康教育
第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,第四节急性冠脉综合征,20,4,16,0.2,病因；发病机制/病理生理；流行病学；症状；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；治疗方案；药物；随访；预后；预防/健康教育
第四节房室交界性心律失常,三、非阵发性房室交界性心动过速,20,5,15,0.25,定义/概述；分类/分型；发病机制/病理生理；流行病学；症状；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；随访；预后；预防/健康教育
第二节窦性心律失常,一、窦性心动过速,20,6,14,0.3,发病机制/病理生理；流行病学；症状；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；手术/操作；随访；预后；预防/健康教育
第二节窦性心律失常,三、窦性停搏,20,6,14,0.3,分类/分型；病因；发病机制/病理生理；流行病学；体征；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；手术/操作；随访；并发症；预防/健康教育
第三篇循环系统疾病,第六章心肌疾病,20,7,13,0.35,发病机制/病理生理；流行病学；症状；体征；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；药物；手术/操作；随访；预后
第三节房性心律失常,一、房性期前收缩,20,7,13,0.35,分类/分型；病因；发病机制/病理生理；流行病学；体征；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；手术/操作；预后；预防/健康教育
第五节冠状动脉疾病的其他表现形式,三、微血管疾病,20,7,13,0.35,定义/概述；分类/分型；发病机制/病理生理；流行病学；体征；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；手术/操作；随访；并发症
第五节冠状动脉疾病的其他表现形式,二、心肌桥,20,8,12,0.4,定义/概述；分类/分型；病因；发病机制/病理生理；流行病学；体征；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；随访
第五节室性心律失常,三、心室扑动与心室颤动,20,8,12,0.4,分类/分型；病因；发病机制/病理生理；流行病学；症状；检验；诊断标准；危险分层/评分；治疗原则；手术/操作；随访；预防/健康教育
第八节心律失常的介入治疗和手术治疗,三、导管消融,20,8,12,0.4,定义/概述；分类/分型；病因；流行病学；体征；检验；诊断标准；危险分层/评分；治疗原则；随访；预后；预防/健康教育
第十四章肿瘤心脏病学,第三节肿瘤治疗相关的心律失常,20,9,11,0.45,定义/概述；分类/分型；发病机制/病理生理；症状；体征；检验；诊断标准；鉴别诊断；治疗原则；预后；预防/健康教育
第三章心律失常,第七节抗心律失常药物的合理应用,20,10,10,0.5,发病机制/病理生理；流行病学；体征；检查；检验；诊断标准；鉴别诊断；危险分层/评分；随访；预防/健康教育
第二节窦性心律失常,五、病态窦房结综合征,20,10,10,0.5,分类/分型；发病机制/病理生理；流行病学；体征；检验；诊断标准；危险分层/评分；治疗原则；随访；预后
第十五章其他心血管疾病,第二节糖尿病与冠心病,20,10,10,0.5,定义/概述；分类/分型；病因；流行病学；体征；诊断标准；危险分层/评分；治疗原则；手术/操作；随访
第一节成人常见先天性心血管病,十、冠状动脉瘘,20,11,9,0.55,分类/分型；病因；检验；诊断标准；危险分层/评分；治疗原则；药物；随访；预防/健康教育
第三章心律失常,第一节动脉粥样硬化,20,11,9,0.55,定义/概述；症状；检查；鉴别诊断；治疗原则；治疗方案；药物；手术/操作；随访
第三节房性心律失常,三、心房扑动,20,11,9,0.55,分类/分型；发病机制/病理生理；流行病学；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；随访
第三节房性心律失常,二、房性心动过速,20,11,9,0.55,发病机制/病理生理；流行病学；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；随访；预防/健康教育
第五节冠状动脉疾病的其他表现形式,一、冠状动脉痉挛,20,11,9,0.55,定义/概述；分类/分型；发病机制/病理生理；流行病学；体征；检验；诊断标准；治疗原则；手术/操作
第五节室性心律失常,［附］遗传性心律失常综合征,20,11,9,0.55,定义/概述；发病机制/病理生理；流行病学；体征；检验；鉴别诊断；危险分层/评分；治疗原则；随访
第八节心律失常的介入治疗和手术治疗,一、心脏电复律与电除颤,20,11,9,0.55,定义/概述；病因；发病机制/病理生理；流行病学；检验；诊断标准；鉴别诊断；危险分层/评分；预防/健康教育
第十四章肿瘤心脏病学,第二节肿瘤治疗相关的冠状动脉疾病,20,11,9,0.55,定义/概述；分类/分型；流行病学；检验；诊断标准；鉴别诊断；治疗原则；随访；预后
第三节慢性冠状动脉综合征,三、隐匿型冠心病,20,12,8,0.6,发病机制/病理生理；流行病学；体征；检验；治疗原则；手术/操作；随访；并发症
第五节室性心律失常,一、室性期前收缩,20,12,8,0.6,分类/分型；发病机制/病理生理；检验；诊断标准；鉴别诊断；危险分层/评分；治疗原则；随访
第六章心肌疾病,第四节致心律失常性右心室心肌病,20,12,8,0.6,定义/概述；分类/分型；病因；体征；检验；危险分层/评分；治疗原则；随访
第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,第二节冠状动脉粥样硬化性心脏病概述,20,12,8,0.6,体征；检查；检验；诊断标准；鉴别诊断；手术/操作；随访；预后
第二章心力衰竭,第一节心力衰竭总论,20,13,7,0.65,流行病学；检查；检验；诊断标准；鉴别诊断；治疗原则；预后
第十五章其他心血管疾病,第三节糖尿病与心力衰竭,20,13,7,0.65,分类/分型；流行病学；检查；诊断标准；治疗原则；手术/操作；随访
第三篇循环系统疾病,第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,20,14,6,0.7,定义/概述；发病机制/病理生理；流行病学；诊断标准；治疗原则；随访
第五节室性心律失常,二、室性心动过速,20,14,6,0.7,发病机制/病理生理；流行病学；检验；诊断标准；危险分层/评分；随访
第四节房室交界性心律失常,四、房室交界区相关的折返性心动过速,20,14,6,0.7,发病机制/病理生理；流行病学；检验；诊断标准；治疗原则；随访
第三节慢性冠状动脉综合征,二、缺血性心肌病,20,15,5,0.75,分类/分型；流行病学；检验；手术/操作；随访
第六章心肌疾病,第三节非扩张型左心室心肌病,20,15,5,0.75,分类/分型；流行病学；检验；治疗原则；随访
第六章心肌疾病,第六节心肌炎,20,15,5,0.75,分类/分型；危险分层/评分；治疗原则；手术/操作；随访
第三章心律失常,第一节概述,20,16,4,0.8,流行病学；检验；诊断标准；治疗原则
第三节房性心律失常,四、心房颤动,20,16,4,0.8,检验；诊断标准；鉴别诊断；治疗原则
第二章心力衰竭,第三节急性心力衰竭,20,16,4,0.8,发病机制/病理生理；流行病学；诊断标准；危险分层/评分
第八节心律失常的介入治疗和手术治疗,二、心血管植入型电子器械,20,16,4,0.8,发病机制/病理生理；诊断标准；鉴别诊断；治疗原则
第六章心肌疾病,第五节限制型心肌病,20,16,4,0.8,危险分层/评分；治疗原则；随访；预防/健康教育
第二章心力衰竭,第二节慢性心力衰竭,20,17,3,0.85,定义/概述；发病机制/病理生理；诊断标准
第六章心肌疾病,第一节肥厚型心肌病,20,17,3,0.85,病因；检验；治疗原则
第三节慢性冠状动脉综合征,一、稳定型心绞痛,20,18,2,0.9,定义/概述；诊断标准
第六章心肌疾病,第二节扩张型心肌病,20,18,2,0.9,分类/分型；治疗原则
