疾病大类,资料名称,资料角色,页码/段落,命中主题,原文片段,结构化影响
心肌病,《内科学（第10版）》心肌病章节,教材骨架,段落152,治疗,：聚焦老年医疗、健康服务需求，新增《老年医学》，维护老年健康和生命尊严，与原有的《妇产科学》《儿科学》等形成较为完整的重点人群医学教材体系；重视营养的基础与一线治疗作用，新增《临床营养学》，更新营养治疗理念，规范营养治疗路径，提升营养治疗技能和全民营养素养；以满足重大疾病临床需求为导向，新增《重症医学》，强化重症医学人才的规范化培养，推进实现重症管理关口前移，提升应对突发重大公共卫生事件的能力。,补强心肌病基础骨架或专病特色证据
心肌病,《内科学（第10版）》心肌病章节,教材骨架,段落190,诊断,事心血管专业的医疗、教学及科研工作。她精通英语、德语，作为“改革开放”后我国第一批公派出国人员出国深造，成为中国改革开放后医学界第一位女博士，曾历任大内科主任、诊断学教研室主任。她积极撰写教材和专著，主编《内科学》《诊断学》《英汉医学词汇》等一系列医学教材和参考书籍。她为人师表，作风正派，医德高尚，严谨求实，深受广大患者、学生和同事的一致好评。曾获国家卫生部、中医院管理局和人事部共同颁发的“全国卫生系统先进工作者”“湖北省优秀教师”“湖北省三育人”等光荣称号。所主编的《内科学》（第 5 版、第 6 版）均获教育部“,补强心肌病基础骨架或专病特色证据
心肌病,《内科学（第10版）》心肌病章节,教材骨架,段落202,治疗,中国科学院院士，国际著名心血管病专家，长江学者特聘教授、国家杰出青年科学基金获得者。现任复旦大学附属中山医院心内科主任、教授、博士生导师，国家放射与治疗临床医学研究中心主任、上海市心血管病研究所所长、复旦大学生物医学研究院院长、中国医师协会心血管内科医师分会会长、世界心脏联盟常务理事、美国哥伦比亚大学客座教授，曾任中华医学会心血管病分会主任委员、美国心脏病学会国际顾问、亚太介入心脏病学会主席。,补强心肌病基础骨架或专病特色证据
心肌病,《内科学（第10版）》心肌病章节,教材骨架,段落203,诊断,长期致力于推动我国重大心血管疾病诊疗技术革新和成果转化，在冠状动脉腔内影像诊断、复杂介入诊疗技术创新、新型器械研发和心血管危重症救治体系建立等方面，开展了卓有成效的研究工作。,补强心肌病基础骨架或专病特色证据
心肌病,《内科学（第10版）》心肌病章节,教材骨架,段落222,治疗,从事教学工作至今 30 余年。长期围绕动脉粥样硬化、冠心病、心肌梗死、心力衰竭及瓣膜病的介入治疗等领域展开研究工作及临床新技术推动，以第一完成人获国家科学技术进步奖二等奖、省部级重大贡献奖和一等奖多项，以通信作者（含共同）在 NEJM、Cell Research、Circula- tion、JACC、Circulation Research、Science Translational Medicine、 PNAS 等著名期刊发表论文 200 余篇，,补强心肌病基础骨架或专病特色证据
心肌病,《内科学（第10版）》心肌病章节,教材骨架,段落277,临床表现,医学，则是人类捍卫这份珍贵财富的科学使者。在广袤的医学领域中，内科学犹如一座巍然屹立的堡垒，涵盖着人体各系统的秘密，解析着疾病的根源，指引着健康的方向。从病因到临床表现，从预防到治疗，内科学是临床医学的命脉，是医学生成长道路上的基石之一。,补强心肌病基础骨架或专病特色证据
心肌病,《内科学（第10版）》心肌病章节,教材骨架,段落365,治疗,医学从远古走向现代，与人类的生存和繁衍并肩前行，它不断探索疾病的发生与发展规律，研究疾病的预防和治疗对策。遥远的蒙昧时代，先民在与自然灾害、猛兽以及疾病的搏斗中开启了医疗保健的征程，他们逐渐发现能够缓解疾病的药物和疗法，不断从生与死的边缘中积累着经验，最终构筑了初步的经验型医学体系。我国古代文献《帝王世纪》记载了伏羲氏“造书契以代结绳之政，画八卦以通神明之德，以类万物之情。所以六气、六腑、五脏、五行、阴阳、四时、水火升降，得以有象，百病之理，得以有类。,补强心肌病基础骨架或专病特色证据
心肌病,《内科学（第10版）》心肌病章节,教材骨架,段落368,临床表现,研究对象，主要探索疾病在人群中发生、发展和流行的规律及其预防措施，帮助制定公共卫生策略，以达到预防疾病和增进健康的目的。临床医学是研究人体疾病发生、发展规律及其临床表现、诊断、治疗和预后的科学，其直接面对疾病和病人，是医学中侧重实践活动的部分。,补强心肌病基础骨架或专病特色证据
心肌病,《内科学（第10版）》心肌病章节,教材骨架,段落371,治疗,使慢性传染病如疟疾、结核等也给人类造成了持续、巨大的生命和物质损失。早期内科学亟需解决的是诊治传染性疾病占主要地位的疾病。随着医学的不断进步，针对传染病的预防和治疗手段层出不穷，各种,补强心肌病基础骨架或专病特色证据
心肌病,《内科学（第10版）》心肌病章节,教材骨架,段落378,治疗,学和临床流行病学的发展。生命科学和基础医学对人类自身生命本质的认识，对内科疾病的病因和发病机制的深入阐明，促进了内科学对疾病发生、发展规律的科学理解，进而丰富了治疗手段。,补强心肌病基础骨架或专病特色证据
