category,disease_code,disease_name,match_status,match_type,source_section_path,hit_text,definition_candidate
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-UA,不稳定型心绞痛,ready_for_review,overview_mention,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征,不稳定型心绞痛,急性冠脉综合征是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST 段抬高型心肌梗死（NSTEMI）和 ST 段抬高型心肌梗死（STEMI），冠心病猝死是特殊类型 ACS。
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-POST-MI-SYNDROME,心肌梗死后综合征,needs_manual_anchor_review,body_mention,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征 > 急性 ST 段抬高型心肌梗死,心肌梗死后综合征,5. 心肌梗死后综合征（post-infarction syndrome） 也称 Dressler 综合征，发生率约1%～3%，于 AMI 后数周至数月内出现，可反复发生。
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-AMI,急性心肌梗死,ready_for_review,overview_mention,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征,急性心肌梗死,临床上将急性心肌梗死（acute myocardial infarction，AMI）分为 5 型：1 型是自发性 AMI，即原发冠脉不稳 定斑块发生破裂、糜烂或侵蚀继发血栓形成所致，最常见；
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,needs_manual_anchor_review,body_mention,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征 > 稳定型心绞痛,陈旧性心肌梗死,（二）心电图（ECG）检查 1. 静息时 ECG 约半数病人在正常范围，也可能有陈旧性心肌梗死改变或非特异性 ST 段和 T波异常。
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,ready_for_review,exact_title,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征 > 隐匿型冠心病,隐匿型冠心病,三、隐匿型冠心病 【诊断】 1. 发病特点 隐匿型冠心病（latent coronary heart disease）或无症状性冠心病是指没有心绞痛症状，但有心肌缺血客观证据的冠心病，其心肌缺血 ECG 表现可见于静息时，也可在负荷状态下才出现，常为动态 ECG 记录所发现，也可为各种影像学检查所证实。
冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,ready_for_review,overview_mention,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征,NSTEMI,急性冠脉综合征是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST 段抬高型心肌梗死（NSTEMI）和 ST 段抬高型心肌梗死（STEMI），冠心病猝死是特殊类型 ACS。
心力衰竭,DIS-CARD-HF-BIVENTRICULAR,全心衰竭,needs_manual_anchor_review,body_mention,心力衰竭 > 心力衰竭总论,全心衰竭,左心衰竭和右心衰竭同时存在即为全心衰竭。
心力衰竭,DIS-CARD-HF-RIGHT,右心衰竭,needs_manual_anchor_review,body_mention,心力衰竭 > 心力衰竭总论,右心衰竭,左心衰竭和右心衰竭同时存在即为全心衰竭。
心力衰竭,DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭,needs_manual_anchor_review,body_mention,心力衰竭 > 心力衰竭总论,射血分数保留,LVEF≥50% 者称为射血分数保留型心衰（HF with preserved EF，HFpEF），通常存在充盈压升高、舒张功能受损的表现，既往被称为舒张性心衰。
心力衰竭,DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭,needs_manual_anchor_review,body_mention,心力衰竭 > 心力衰竭总论,射血分数轻度降低,LVEF 为 41%～49% 者称为射血分数轻度降低型心衰（HF with mildly reduced EF，HFmrEF），以轻度收缩功能障碍为主。
