目录名称,目录类型,是否最小迁移必需,当前处理策略,Git策略,备注
.agents,Codex/代理本地配置目录,否，视本机环境,只登记用途，非医学图谱核心资产,通常不纳入Git,
.codex,Codex/代理本地配置目录,否，视本机环境,只登记用途，非医学图谱核心资产,通常不纳入Git,
.git,Git版本库内部目录,是，通过git clone获得,Git自动管理，不手工修改,不直接提交内部内容,
docs,核心工程/规则资产,是,保留并纳入项目地图,纳入Git，未跟踪项后续治理,
schema_docs,核心工程/规则资产,是,保留并纳入项目地图,纳入Git，未跟踪项后续治理,
schema_v112_migration_20260711,历史/迁移/辅助目录,视用途,保留现状，按索引说明用途,按内容决定,
scripts,核心工程/规则资产,是,保留并纳入项目地图,纳入Git，未跟踪项后续治理,
tests,核心工程/规则资产,是,保留并纳入项目地图,纳入Git，未跟踪项后续治理,
心血管内科文献集合,大型批次产物目录,按后续manifest选择复制,本轮只登记，不移动、不重命名、不拆分、不归档,不全量进Git,心血管内科文献集合本轮明确不动
术语字典,核心工程/规则资产,是,保留并纳入项目地图,纳入Git，未跟踪项后续治理,
治理归档_governance_archive,治理资产,是,本轮新增，必须纳入Git,纳入Git,
项目管理中心_project_management,治理资产,是,本轮新增，必须纳入Git,纳入Git,
