disease_code,disease_name,node_code,node_name,entity_type,evidence_code,evidence_name,source_name,page,recommendation_level,evidence_level,matched_keywords,match_score,decision_reason,evidence_preview
DIS-CARD-CAD-ACS,急性冠脉综合征,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,TreatmentPlan,EVD-CARD-FULLBOOK-8C17A916E4FFBF,急性冠脉综合征-氧疗-全书回捞证据-5981-E4FFBF,,,N/A,N/A,"['氧疗', '吸氧']",150,命中氧疗/吸氧直接证据,1. 吸氧 立即高流量鼻管给氧。
DIS-CARD-CAD-ACS,急性冠脉综合征,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-9A9489A580AF81E3951A-ACS,经皮冠状动脉介入治疗指南（2025）.pdf 第4页证据（SEG-DOC-99DE8941F1F5EDF3-4-GL-00016-ACS）,,,,,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入', 'CABG']",180,命中优先证据片段：NSTE⁃ACS患者冠状动脉造影和血运重建策略推荐意见,高危   的医院的患者，从首次医疗接触描计心电图（< 者，建议发病24 h内转运至PCI中心行早期（<24 h）     10 min）确诊STEMI算起，只要预计至急诊PCI的时  Press表3                    NSTE⁃ACS患者冠状动脉造影和血运重建策略推荐意见 推荐意见                                     推荐类别    证据水平 极高危患者：推荐紧急（<2 h）行冠状动脉造影和血运重建。包括（1）血流动力学
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,TreatmentPlan,EVD-CARD-FULLBOOK-110136BE225E80,急性心肌梗死-氧疗-全书回捞证据-7681-225E80,,,N/A,N/A,"['氧疗', '吸氧', '血氧', '氧饱和度', 'SaO2', '呼吸困难']",190,命中氧疗/吸氧直接证据,（二）一般治疗 病人应立即卧床休息，消除紧张情绪和顾虑，保持环境安静，可以应用小剂量镇静剂和抗焦虑药物，约半数病人通过上述处理可减轻或缓解心绞痛。对于有发绀、呼吸困难或其他高危表现的病人，应给予吸氧，监测血氧饱和度，维持 SaO2＞90%。同时积极处理可能引起心肌耗氧量增加的疾病。
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-0FD2E1A1C41C63483397-AMI,经皮冠状动脉介入治疗指南（2025）.pdf 第5页证据（SEG-DOC-99DE8941F1F5EDF3-5-GL-00025-AMI）,,,,,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入', 'CABG']",180,命中优先证据片段：急性冠脉综合征,我国新近研究还显      STEMI 时，均应接受急诊冠状动脉造影，对有适应证的    示，急性冠脉综合征（acute coronary syndrome，ACS）            不可行或失败且有大                                                更大，能 患者行直接PCI。直接PCI                                患者运用IVUS 指导PCI 得到的支架MLA 面积心肌受累，或合并机械性
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-CARD-DEEP-1A8C7847389EE8,动脉粥样硬化-血运重建-教材证据-7275-389EE8,,,N/A,N/A,['血运重建'],140,命中优先证据片段：对于狭窄或闭塞血管,（三）介入和外科手术 对于狭窄或闭塞血管，特别是冠状动脉、肾动脉和四肢动脉，可通过介入或外科手段进行血运重建，以恢复动脉供血。
DIS-CARD-CAD-CCS,慢性冠脉综合征,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-3F9A9CEAE20ED79F1757-CCS,CCS CN 2024.pdf 第13页证据（SEG-DOC-0CFCD79F003BFB93-13-GL-00090-CCS）,,,,,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入', 'CABG', '旁路移植']",190,命中血运重建直接证据,患者或最佳治疗策略尚未明确的患者，建议心脏团队干预，以改善患者对合并复杂三支血管病变的CCS                                   Ⅰ          B   预后［146］ 适合行CABG，且合并糖尿病和累及左前降支的多支血管病变的患者，推荐CABG 优于PCI，可降低死亡率   Ⅰ          A  和需要再次行血运重建的风险［136，147］ 有严重左主干病变或多支血管病变伴严重左心室功能障碍（LVEF≤35%）的CCS患者，建议行
DIS-CARD-CAD-CHD,冠状动脉粥样硬化性心脏病,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-CARD-FULLBOOK-68CA9382674DBD,冠状动脉粥样硬化性心脏病-经皮冠状动脉介入治疗-全书回捞证据-7503-674DBD,,,N/A,N/A,"['血运重建', '介入治疗', '冠状动脉介入', '旁路移植']",170,命中优先证据片段：血运重建治疗,3. 血运重建治疗 采用药物保守治疗还是血运重建治疗（包括经皮介入治疗或者旁路移植术）需根据病人临床特征、心肌缺血客观依据、冠脉病变解剖特征以及当地医疗中心手术经验等综合判断后决定，对稳定型心绞痛病人而言，只有针对引起心肌缺血的病变进行血运重建，病人才能获益。
DIS-CARD-CAD-ICM,缺血性心肌病,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-7C0964745D26804E80A3-ICM,存活心肌无创影像学评价专家共识.pdf 第7页证据（SEG-DOC-73CBCF74B9DAABAC-7-GL-00013-ICM）,,,,,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入', 'CABG', '旁路移植']",190,命中血运重建直接证据,为多巴酚丁胺负荷超声心动图，   注：CABG 为冠状动脉旁路移植术，LVEF 为左心室射血分数，SPECT 为单光子发射计算机断层成像，DSE 18F⁃FDG为氟⁃18标记的脱氧葡萄糖，PET为正电子发射断层成像，LGE为钆对比剂延迟强化，CMR为心脏磁共振，PCI为经皮冠状动脉介入治疗 对该研究的进一步分析取得了一些有意义的  （1）PARR⁃2研究。PARR⁃2研究的目的是评价 以存活心肌检测结果指导血运重建的临床价值，主                        
DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,TreatmentPlan,EVD-CARD-FULLBOOK-85B1DF90FF38F2,非ST段抬高型心肌梗死-氧疗-全书回捞证据-7681-FF38F2,,,N/A,N/A,"['氧疗', '吸氧', '血氧', '氧饱和度', 'SaO2', '呼吸困难']",190,命中氧疗/吸氧直接证据,（二）一般治疗 病人应立即卧床休息，消除紧张情绪和顾虑，保持环境安静，可以应用小剂量镇静剂和抗焦虑药物，约半数病人通过上述处理可减轻或缓解心绞痛。对于有发绀、呼吸困难或其他高危表现的病人，应给予吸氧，监测血氧饱和度，维持 SaO2＞90%。同时积极处理可能引起心肌耗氧量增加的疾病。
DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-CARD-DEEP-D41E326922E566,非ST段抬高型心肌梗死-经皮冠状动脉介入治疗-教材证据-7733-22E566,,,N/A,N/A,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入']",170,命中优先证据片段：UA/NSTEMI 病人血运重建,1. 经皮冠状动脉介入术 随着 PCI 技术的迅速发展，PCI 成为 UA/NSTEMI 病人血运重建的主要方式。根据 NSTE-ACS 心血管事件危险的紧迫程度以及相关并发症的严重程度，选择不同的侵入治疗策略（参见表 3-4-3）。符合任意一条极高危标准者，推荐发病 2 小时之内行紧急冠脉造影，根据造影结果决定血运重建方法，高危病人推荐早期侵入治疗策略，即发病 24 小时内行冠脉造影，中危病人推荐住院期间择期侵入治疗策略，一般 72 小时内行冠脉造影。对于无上述危险标准和症
