subject_name,parent,subject_kind,status,slot,slot_status,note,docx_start_para,docx_end_para,example_entities
心力衰竭总论,心力衰竭,overview_section,source_limited_ready_as_textbook_core,definition,candidate_present,D6候选已覆盖,3910,3965,"classification_risk:（一）按发生的部位分类左心室代偿功能不全所致为左心衰竭,右心室代偿功能不全所致为右心衰竭,左心衰竭和右心衰竭同时存在即为全心衰竭,（二）按发生的速度分类根据心衰发生的速度可分为慢性心衰和急性心衰,1.急性心衰系因急性的严重心肌损害、结构破坏、心律失常或突然加重的心脏负荷；etiology_pathogenesis:心律失常,（一）基本病因1.心肌收缩力降低（1）原发性心肌损害：冠状动脉疾病导致缺血性心肌损害如心肌梗死、慢性心肌缺血,炎症导致心肌损害如心肌炎,遗传性心肌病如扩张型心肌病、肥厚型心肌病、致心律失常性右心室心肌病等,2.心室舒张和充盈受限心室充"
心力衰竭总论,心力衰竭,overview_section,source_limited_ready_as_textbook_core,etiology_pathogenesis,candidate_present,D6候选已覆盖,3910,3965,"classification_risk:（一）按发生的部位分类左心室代偿功能不全所致为左心衰竭,右心室代偿功能不全所致为右心衰竭,左心衰竭和右心衰竭同时存在即为全心衰竭,（二）按发生的速度分类根据心衰发生的速度可分为慢性心衰和急性心衰,1.急性心衰系因急性的严重心肌损害、结构破坏、心律失常或突然加重的心脏负荷；etiology_pathogenesis:心律失常,（一）基本病因1.心肌收缩力降低（1）原发性心肌损害：冠状动脉疾病导致缺血性心肌损害如心肌梗死、慢性心肌缺血,炎症导致心肌损害如心肌炎,遗传性心肌病如扩张型心肌病、肥厚型心肌病、致心律失常性右心室心肌病等,2.心室舒张和充盈受限心室充"
心力衰竭总论,心力衰竭,overview_section,source_limited_ready_as_textbook_core,clinical_manifestation,not_applicable_or_not_detected,本章节未识别该槽位,3910,3965,"classification_risk:（一）按发生的部位分类左心室代偿功能不全所致为左心衰竭,右心室代偿功能不全所致为右心衰竭,左心衰竭和右心衰竭同时存在即为全心衰竭,（二）按发生的速度分类根据心衰发生的速度可分为慢性心衰和急性心衰,1.急性心衰系因急性的严重心肌损害、结构破坏、心律失常或突然加重的心脏负荷；etiology_pathogenesis:心律失常,（一）基本病因1.心肌收缩力降低（1）原发性心肌损害：冠状动脉疾病导致缺血性心肌损害如心肌梗死、慢性心肌缺血,炎症导致心肌损害如心肌炎,遗传性心肌病如扩张型心肌病、肥厚型心肌病、致心律失常性右心室心肌病等,2.心室舒张和充盈受限心室充"
心力衰竭总论,心力衰竭,overview_section,source_limited_ready_as_textbook_core,exam_lab,not_applicable_or_not_detected,本章节未识别该槽位,3910,3965,"classification_risk:（一）按发生的部位分类左心室代偿功能不全所致为左心衰竭,右心室代偿功能不全所致为右心衰竭,左心衰竭和右心衰竭同时存在即为全心衰竭,（二）按发生的速度分类根据心衰发生的速度可分为慢性心衰和急性心衰,1.急性心衰系因急性的严重心肌损害、结构破坏、心律失常或突然加重的心脏负荷；etiology_pathogenesis:心律失常,（一）基本病因1.心肌收缩力降低（1）原发性心肌损害：冠状动脉疾病导致缺血性心肌损害如心肌梗死、慢性心肌缺血,炎症导致心肌损害如心肌炎,遗传性心肌病如扩张型心肌病、肥厚型心肌病、致心律失常性右心室心肌病等,2.心室舒张和充盈受限心室充"
心力衰竭总论,心力衰竭,overview_section,source_limited_ready_as_textbook_core,diagnosis_differential,not_applicable_or_not_detected,本章节未识别该槽位,3910,3965,"classification_risk:（一）按发生的部位分类左心室代偿功能不全所致为左心衰竭,右心室代偿功能不全所致为右心衰竭,左心衰竭和右心衰竭同时存在即为全心衰竭,（二）按发生的速度分类根据心衰发生的速度可分为慢性心衰和急性心衰,1.急性心衰系因急性的严重心肌损害、结构破坏、心律失常或突然加重的心脏负荷；etiology_pathogenesis:心律失常,（一）基本病因1.心肌收缩力降低（1）原发性心肌损害：冠状动脉疾病导致缺血性心肌损害如心肌梗死、慢性心肌缺血,炎症导致心肌损害如心肌炎,遗传性心肌病如扩张型心肌病、肥厚型心肌病、致心律失常性右心室心肌病等,2.心室舒张和充盈受限心室充"
心力衰竭总论,心力衰竭,overview_section,source_limited_ready_as_textbook_core,classification_risk,candidate_present,D6候选已覆盖,3910,3965,"classification_risk:（一）按发生的部位分类左心室代偿功能不全所致为左心衰竭,右心室代偿功能不全所致为右心衰竭,左心衰竭和右心衰竭同时存在即为全心衰竭,（二）按发生的速度分类根据心衰发生的速度可分为慢性心衰和急性心衰,1.急性心衰系因急性的严重心肌损害、结构破坏、心律失常或突然加重的心脏负荷；etiology_pathogenesis:心律失常,（一）基本病因1.心肌收缩力降低（1）原发性心肌损害：冠状动脉疾病导致缺血性心肌损害如心肌梗死、慢性心肌缺血,炎症导致心肌损害如心肌炎,遗传性心肌病如扩张型心肌病、肥厚型心肌病、致心律失常性右心室心肌病等,2.心室舒张和充盈受限心室充"
心力衰竭总论,心力衰竭,overview_section,source_limited_ready_as_textbook_core,treatment,not_applicable_or_not_detected,本章节未识别该槽位,3910,3965,"classification_risk:（一）按发生的部位分类左心室代偿功能不全所致为左心衰竭,右心室代偿功能不全所致为右心衰竭,左心衰竭和右心衰竭同时存在即为全心衰竭,（二）按发生的速度分类根据心衰发生的速度可分为慢性心衰和急性心衰,1.急性心衰系因急性的严重心肌损害、结构破坏、心律失常或突然加重的心脏负荷；etiology_pathogenesis:心律失常,（一）基本病因1.心肌收缩力降低（1）原发性心肌损害：冠状动脉疾病导致缺血性心肌损害如心肌梗死、慢性心肌缺血,炎症导致心肌损害如心肌炎,遗传性心肌病如扩张型心肌病、肥厚型心肌病、致心律失常性右心室心肌病等,2.心室舒张和充盈受限心室充"
慢性心力衰竭,心力衰竭,disease_or_topic,source_limited_ready_as_textbook_core,definition,candidate_present,D6候选已覆盖,3966,4118,"clinical_manifestation:呼吸困难,劳力性呼吸困难,端坐呼吸,夜间阵发性呼吸困难,心悸；classification_risk:（一）心力衰竭分期心衰分期全面描述了病情进展阶段,通过治疗只能延缓而不能逆转心衰分期（表3-2-1）,慢性心力衰竭-风险分层；exam_lab:超声心动图,冠状动脉造影,心电图,心脏磁共振成像,运动负荷试验；diagnosis_differential:（一）诊断首先,根据病史、症状、体格检查、心电图、X线胸片判断有无心衰的可能性,（二）鉴别诊断1.肺部疾病心衰最常见的症状为呼吸困难,3.其他引起水肿的疾病应与肾性水肿、肝性水肿、低蛋白血症、甲状腺"
慢性心力衰竭,心力衰竭,disease_or_topic,source_limited_ready_as_textbook_core,etiology_pathogenesis,not_applicable_or_not_detected,本章节未识别该槽位,3966,4118,"clinical_manifestation:呼吸困难,劳力性呼吸困难,端坐呼吸,夜间阵发性呼吸困难,心悸；classification_risk:（一）心力衰竭分期心衰分期全面描述了病情进展阶段,通过治疗只能延缓而不能逆转心衰分期（表3-2-1）,慢性心力衰竭-风险分层；exam_lab:超声心动图,冠状动脉造影,心电图,心脏磁共振成像,运动负荷试验；diagnosis_differential:（一）诊断首先,根据病史、症状、体格检查、心电图、X线胸片判断有无心衰的可能性,（二）鉴别诊断1.肺部疾病心衰最常见的症状为呼吸困难,3.其他引起水肿的疾病应与肾性水肿、肝性水肿、低蛋白血症、甲状腺"
慢性心力衰竭,心力衰竭,disease_or_topic,source_limited_ready_as_textbook_core,clinical_manifestation,candidate_present,D6候选已覆盖,3966,4118,"clinical_manifestation:呼吸困难,劳力性呼吸困难,端坐呼吸,夜间阵发性呼吸困难,心悸；classification_risk:（一）心力衰竭分期心衰分期全面描述了病情进展阶段,通过治疗只能延缓而不能逆转心衰分期（表3-2-1）,慢性心力衰竭-风险分层；exam_lab:超声心动图,冠状动脉造影,心电图,心脏磁共振成像,运动负荷试验；diagnosis_differential:（一）诊断首先,根据病史、症状、体格检查、心电图、X线胸片判断有无心衰的可能性,（二）鉴别诊断1.肺部疾病心衰最常见的症状为呼吸困难,3.其他引起水肿的疾病应与肾性水肿、肝性水肿、低蛋白血症、甲状腺"
