issue_scope,source_artifact_scope,target_artifact_scope,source_disease_name,target_subject_name,mapping_status,mapping_type,entityType,slot,entity_name,entity_code,relationType,line_number,target_docx_start_para,target_docx_end_para,line_in_target_docx_range,evidence_quality,evidence_reason,merge_decision,evidence_code,evidence_text_preview,machine_precheck_decision,machine_precheck_reason,risk_flags,risk_flag_count,disease_mentioned_in_evidence,entity_mentioned_in_evidence,negative_context_hits,non_target_context_hits,generic_entity
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病概述,可自动采用,normalized_equal,RiskStratification,classification_risk,危险分层,RS-CARD-FULLBOOK-F4E7F07EC9,has_risk_stratification,11155,4943,4955,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-3F812304925224,注：肿瘤治疗相关危险因素和病人相关危险因素中满足任意一项即可认定为相应危险分层。,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；疑似非目标章节上下文,4,no,yes,,肿瘤,no
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,室性心动过速,室性心动过速,可自动采用,exact,RiskStratification,classification_risk,危险分层,RS-CARD-FULLBOOK-F4E7F07EC9,has_risk_stratification,11155,4572,4614,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-A222F2E54F6FBD,注：肿瘤治疗相关危险因素和病人相关危险因素中满足任意一项即可认定为相应危险分层。,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；疑似非目标章节上下文,4,no,yes,,肿瘤,no
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,心房扑动,心房扑动,可自动采用,exact,RiskStratification,classification_risk,危险分层,RS-CARD-FULLBOOK-F4E7F07EC9,has_risk_stratification,11155,4396,4408,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-0B472400ABBFB7,注：肿瘤治疗相关危险因素和病人相关危险因素中满足任意一项即可认定为相应危险分层。,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；疑似非目标章节上下文,4,no,yes,,肿瘤,no
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,心房颤动,心房颤动,可自动采用,exact,RiskStratification,classification_risk,危险分层,RS-CARD-FULLBOOK-F4E7F07EC9,has_risk_stratification,11155,4409,4452,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-B660B92F6A5469,注：肿瘤治疗相关危险因素和病人相关危险因素中满足任意一项即可认定为相应危险分层。,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；疑似非目标章节上下文,4,no,yes,,肿瘤,no
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,ST段抬高型心肌梗死,急性 ST 段抬高型心肌梗死,可自动采用,manual_synonym_rule,Symptom,clinical_manifestation,胸痛,SYM-CARD-B479F36AE54A,has_symptom,8033,5197,5398,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-DA5DFF758768DC,3. β受体拮抗剂 能减少心肌耗氧量和改善缺血区的氧供需失衡，缩小 MI 面积，减少复发性心肌缺血、再梗死、室颤及其他恶性心律失常，对降低急性期病死率有肯定的疗效。无下列情况者，应在发病 24 小时内尽早常规口服应用：①心力衰竭；②低心排血量状态；③心源性休克危险性增高（年龄 >70 岁、收缩压＜120mmHg、窦性心动过速＞110 次 / 分或心率＜60,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；证据片段缺实体名；否定/禁忌/上下文限定语；实体过泛需疾病上下文,6,no,no,无下列情况；危险性增高,,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,ST段抬高型心肌梗死,急性 ST 段抬高型心肌梗死,可自动采用,manual_synonym_rule,Sign,clinical_manifestation,高血压,SIGN-CARD-TEXT-3A48213336,has_sign,8061,5197,5398,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-43CBD6F93DF0FE,（2）禁忌证：①既往发生过出血性脑卒中，6 个月内发生过缺血性脑卒中或脑血管事件；②中枢神经系统受损、颅内肿瘤或畸形；③近期（2～4 周）有活动性内脏出血；④未排除主动脉夹层；⑤入院时严重且未控制的高血压（ ＞180/110mmHg）或慢性严重高血压病史；⑥目前正在使用治疗剂量的抗凝药或已知有出血倾向；⑦近期（2～4 周）创伤史，包括头部外伤、创伤性心肺复苏,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；否定/禁忌/上下文限定语；疑似非目标章节上下文；实体过泛需疾病上下文,6,no,yes,禁忌；排除,肿瘤；脑卒中,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病概述,可自动采用,normalized_equal,Sign,clinical_manifestation,低血压,SIGN-CARD-1FA3A83EF714,has_sign,6903,4943,4955,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-B498F7043AB775,普萘洛尔 （propranolol） 用于甲状腺毒症、嗜铬细胞瘤和过度肾上腺素刺激等相关的心律失常，房扑、房颤心室率的控制，不适当窦性心动过速及症状性期前收缩；多形性及反复发作单形性室速；LQTS 和儿茶酚胺敏感性室速 口服：10mg/ 次，每 8 小时 1 次；根据反应增至最大可耐受剂量。起效时间 1～2 小时；达峰时间 1～4小时；半衰期 3～6 小时,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；证据片段缺实体名；否定/禁忌/上下文限定语；实体过泛需疾病上下文,6,no,no,相关的,,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病概述,可自动采用,normalized_equal,Sign,clinical_manifestation,低血压,SIGN-CARD-1FA3A83EF714,has_sign,6949,4943,4955,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-C4092D41401EEB,伊伐布雷定（ivabradine） 异丙肾上腺素（isoproterenol） 地高辛 （digoxin） 治疗不适当窦性心动过速或 HFrEF（NYHA Ⅱ~ Ⅳ级），在服用β受体拮抗剂最大耐受剂量后，心率仍≥75 次/分的病人 用于高度或三度 AVB，尤其伴阿斯综合征发作时（除外室速或室颤引起）；用 于 LQTS（特 别 是2 型和 3 型）可提高心率并,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；证据片段缺实体名；否定/禁忌/上下文限定语；实体过泛需疾病上下文,6,no,no,除外,,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,二尖瓣狭窄,二尖瓣狭窄,可自动采用,exact,Sign,clinical_manifestation,低血压,SIGN-CARD-1FA3A83EF714,has_sign,6949,6512,6566,no,强证据文本,同时包含疾病名、实体名和临床语义关键词,可进入抽样复核后归并,EVD-CARD-FULLBOOK-B4D8DCDADB654D,伊伐布雷定（ivabradine） 异丙肾上腺素（isoproterenol） 地高辛 （digoxin） 治疗不适当窦性心动过速或 HFrEF（NYHA Ⅱ~ Ⅳ级），在服用β受体拮抗剂最大耐受剂量后，心率仍≥75 次/分的病人 用于高度或三度 AVB，尤其伴阿斯综合征发作时（除外室速或室颤引起）；用 于 LQTS（特 别 是2 型和 3 型）可提高心率并,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据片段缺疾病名；证据片段缺实体名；否定/禁忌/上下文限定语；实体过泛需疾病上下文,5,no,no,除外,,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,二尖瓣狭窄,二尖瓣狭窄,可自动采用,exact,Sign,clinical_manifestation,心动过缓,SIGN-CARD-TEXT-C0F47862DF,has_sign,6949,6512,6566,no,强证据文本,同时包含疾病名、实体名和临床语义关键词,可进入抽样复核后归并,EVD-CARD-FULLBOOK-349918A1B52D56,伊伐布雷定（ivabradine） 异丙肾上腺素（isoproterenol） 地高辛 （digoxin） 治疗不适当窦性心动过速或 HFrEF（NYHA Ⅱ~ Ⅳ级），在服用β受体拮抗剂最大耐受剂量后，心率仍≥75 次/分的病人 用于高度或三度 AVB，尤其伴阿斯综合征发作时（除外室速或室颤引起）；用 于 LQTS（特 别 是2 型和 3 型）可提高心率并,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据片段缺疾病名；证据片段缺实体名；否定/禁忌/上下文限定语；实体过泛需疾病上下文,5,no,no,除外,,yes
