disease_code,disease,rule_code,rule_name,rule_text,evidence_code,evidence_name,source_name,score,matched_keywords,status,reason
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,RULE-CDSS-CM-ABVC-01-01-DIAG,ABVC诊断确认规则,左右室受累、室性心律失常或家族史。,EVD-08295DA4EED85656A764-ABVC,中国心肌病综合管理指南2025.pdf 第6页证据（SEG-DOC-8917447CF08D5176-6-GL-00037-ABVC）,中国心肌病综合管理指南2025.pdf,33,同病种；证据编码后缀-ABVC；致心律失常性双心室心肌病；ABVC；双心室；基因；LGE；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,RULE-CDSS-CM-ABVC-02-01-TREAT,ABVC风险和治疗规则,ABVC伴室性心律失常、晕厥、心室功能异常或家族猝死史。,EVD-5F6CED5C85DDF0E7FE2E-ABVC,中国心肌病综合管理指南2025.pdf 第20页证据（SEG-DOC-8917447CF08D5176-20-GL-00177-ABVC）,中国心肌病综合管理指南2025.pdf,43,同病种；证据编码后缀-ABVC；致心律失常性双心室心肌病；ABVC；双心室；风险；猝死；SCD；晕厥；室性心律失常；LVEF；ICD；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-ACM,致心律失常性心肌病,RULE-CDSS-CM-ACM-01-01-DIAG,ACM诊断和谱系分型规则,室性心律失常、晕厥、家族史或右/左室受累。,EVD-CA5C06442612964573E0-ACM,中国心肌病综合管理指南2025.pdf 第19页证据（SEG-DOC-8917447CF08D5176-19-GL-00155-ACM）,中国心肌病综合管理指南2025.pdf,40,同病种；证据编码后缀-ACM；致心律失常性心肌病；ACM；诊断；心电图；超声；CMR；基因；室壁；LGE；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-ACM,致心律失常性心肌病,RULE-CDSS-CM-ACM-02-01-RISK,ACM猝死风险规则,ACM确诊伴室性心律失常、晕厥、家族猝死或心室功能下降。,EVD-339944A5C77F49EF09A3-ACM,中国心肌病综合管理指南2025.pdf 第20页证据（SEG-DOC-8917447CF08D5176-20-GL-00158-ACM）,中国心肌病综合管理指南2025.pdf,38,同病种；证据编码后缀-ACM；致心律失常性心肌病；ACM；风险；猝死；SCD；室性心律失常；血栓；抗凝；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-ACM,致心律失常性心肌病,RULE-CDSS-CM-ACM-03-01-TREAT,ACM治疗与随访规则,ACM合并心律失常或心室功能异常。,EVD-339944A5C77F49EF09A3-ACM,中国心肌病综合管理指南2025.pdf 第20页证据（SEG-DOC-8917447CF08D5176-20-GL-00158-ACM）,中国心肌病综合管理指南2025.pdf,38,同病种；证据编码后缀-ACM；致心律失常性心肌病；ACM；治疗；药物；ICD；抗凝；导管；随访；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,RULE-CDSS-CM-ALVC-01-01-DIAG,ALVC诊断确认规则,左室非缺血性LGE、室性心律失常或家族史。,EVD-CA5C06442612964573E0-ALVC,中国心肌病综合管理指南2025.pdf 第19页证据（SEG-DOC-8917447CF08D5176-19-GL-00157-ALVC）,中国心肌病综合管理指南2025.pdf,43,同病种；证据编码后缀-ALVC；致心律失常性左心室心肌病；ALVC；左心室；诊断；心电图；超声；CMR；基因；室壁；LGE；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,RULE-CDSS-CM-ALVC-02-01-TREAT,ALVC风险和治疗规则,ALVC合并LVEF下降、NSVT、晕厥或LGE范围较大。,EVD-339944A5C77F49EF09A3-ALVC,中国心肌病综合管理指南2025.pdf 第20页证据（SEG-DOC-8917447CF08D5176-20-GL-00160-ALVC）,中国心肌病综合管理指南2025.pdf,49,同病种；证据编码后缀-ALVC；致心律失常性左心室心肌病；ALVC；左心室；风险；猝死；SCD；室性心律失常；血栓；抗凝；治疗；药物；ICD；导管；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-AMYLOID,淀粉样变心肌病,RULE-CDSS-CM-AMYLOID-01-01-DIAG,淀粉样变心肌病诊断规则,室壁增厚、心衰、低电压、LGE或限制性充盈表现。,EVD-50CACACBE7159BAEE493-AMYLOID,中国心肌病综合管理指南2025.pdf 第17页证据（SEG-DOC-8917447CF08D5176-17-GL-00134-AMYLOID）,中国心肌病综合管理指南2025.pdf,34,同病种；淀粉样变心肌病；淀粉样；amyloid；诊断；心电图；CMR；影像；基因；LGE；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-AMYLOID,淀粉样变心肌病,RULE-CDSS-CM-AMYLOID-02-01-TREAT,淀粉样变心肌病治疗管理规则,淀粉样变心肌病确诊或高度疑似。,EVD-1727A8AF80AE4E2A7080-AMYLOID,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf 第5页证据（SEG-DOC-80984BC35C87AC53-5-GL-00018-AMYLOID）,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf,30,同病种；淀粉样变心肌病；淀粉样；amyloid；治疗；器械；心衰；免疫；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,RULE-CDSS-CM-ARVC-01-01-DIAG,ARVC诊断确认规则,右室异常、室性心律失常、晕厥或家族史。,EVD-TB-BD3DD4B123954CD56A28-ARVC,《内科学》第10版 第313页证据（SEG-DOC-C0BB559FA2C8448A-313-TB-00027）,《内科学》第10版,46,同病种；证据编码后缀-ARVC；致心律失常性右心室心肌病；ARVC；右心室；诊断；心电图；超声；心脏磁共振；CMR；影像；基因；家族史；室壁；LGE；有原文证据,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,RULE-CDSS-CM-ARVC-02-01-TREAT,ARVC风险和治疗规则,ARVC合并室性心律失常、晕厥、右室功能下降或家族猝死史。,EVD-339944A5C77F49EF09A3-ARVC,中国心肌病综合管理指南2025.pdf 第20页证据（SEG-DOC-8917447CF08D5176-20-GL-00159-ARVC）,中国心肌病综合管理指南2025.pdf,49,同病种；证据编码后缀-ARVC；致心律失常性右心室心肌病；ARVC；右心室；风险；猝死；SCD；室性心律失常；血栓；抗凝；治疗；药物；ICD；导管；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-ATRIAL,心房心肌病,RULE-CDSS-CM-ATRIAL-01-01-DIAG,心房心肌病诊断分型规则,房颤、房扑、左房扩大、卒中风险或心房结构异常。,EVD-FEC5483CB7E25D200A90-HCM,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf 第15页证据（SEG-DOC-80984BC35C87AC53-15-GL-00063-HCM）,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf,38,心房；诊断；心电图；超声；CMR；家族史；室壁；LGE；风险；猝死；SCD；晕厥；NSVT；室性心律失常；LVEF；抗凝；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-ATRIAL,心房心肌病,RULE-CDSS-CM-ATRIAL-02-01-TREAT,心房心肌病抗凝和心律管理规则,合并房颤/房扑、CHA2DS2-VASc风险或左房结构异常。,EVD-FEC5483CB7E25D200A90-HCM,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf 第15页证据（SEG-DOC-80984BC35C87AC53-15-GL-00063-HCM）,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf,38,心房；风险；猝死；SCD；晕厥；NSVT；室性心律失常；LVEF；LGE；抗凝；治疗；药物；ICD；心衰；运动；CHA2DS2-VASc；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-DCM,扩张型心肌病,RULE-CDSS-CM-DCM-01-01-DIAG,DCM诊断确认规则,左室扩大、LVEF下降或心衰表现。,EVD-105ACC5EF6AEFCD23F73-DCM,《内科学（第10版）》.pdf 第312页证据（SEG-DOC-C0BB559FA2C8448A-312-GL-00043-DCM）,《内科学（第10版）》.pdf,41,同病种；证据编码后缀-DCM；扩张型心肌病；DCM；诊断；心电图；超声；心脏磁共振；CMR；影像；基因；室壁；LGE；有原文证据,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-DCM,扩张型心肌病,RULE-CDSS-CM-DCM-02-01-GDMT,DCM心衰规范药物规则,DCM合并心衰症状、容量负荷或LVEF下降。,EVD-8EB6A646761D78ED855C-DCM,中国 扩张型心肌病诊断和治疗指南2018.pdf 第7页证据（SEG-DOC-65A62585E5B5B852-7-GL-00010-DCM）,中国 扩张型心肌病诊断和治疗指南2018.pdf,38,同病种；证据编码后缀-DCM；扩张型心肌病；DCM；治疗；药物；心衰；抗凝；运动；免疫；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-DCM,扩张型心肌病,RULE-CDSS-CM-DCM-02-02-DEVICE,DCM器械治疗评估规则,DCM规范治疗后仍LVEF下降、宽QRS、室性心律失常或猝死风险。,EVD-A0444F2C80D411061108-DCM,中国心肌病综合管理指南2025.pdf 第32页证据（SEG-DOC-8917447CF08D5176-32-GL-00219-DCM）,中国心肌病综合管理指南2025.pdf,46,同病种；证据编码后缀-DCM；扩张型心肌病；DCM；风险；SCD；晕厥；NSVT；室性心律失常；治疗；药物；ICD；间隔减容；导管；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-DCM,扩张型心肌病,RULE-CDSS-CM-DCM-03-01-FOLLOW,DCM随访复评规则,DCM稳定期、治疗调整后或心衰反复。,EVD-8EB6A646761D78ED855C-DCM,中国 扩张型心肌病诊断和治疗指南2018.pdf 第7页证据（SEG-DOC-65A62585E5B5B852-7-GL-00010-DCM）,中国 扩张型心肌病诊断和治疗指南2018.pdf,44,同病种；证据编码后缀-DCM；扩张型心肌病；DCM；治疗；药物；心衰；抗凝；运动；免疫；亲属；心电图；超声；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-FABRY,法布雷病心肌病,RULE-CDSS-CM-FABRY-01-01-DIAG,法布雷病心肌病诊断规则,左室肥厚伴多系统表现、家族史或男性早发病例。,EVD-30EDA4A86B77A663D200-FABRY,中国心肌病综合管理指南2025.pdf 第17页证据（SEG-DOC-8917447CF08D5176-17-GL-00129-FABRY）,中国心肌病综合管理指南2025.pdf,30,同病种；法布雷病心肌病；Fabry；法布雷；诊断；超声；CMR；基因；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-FABRY,法布雷病心肌病,RULE-CDSS-CM-FABRY-02-01-TREAT,法布雷病心肌病治疗规则,法布雷病心肌病确诊或高度疑似。,EVD-19A7AED44FBB561C23FB-FABRY,中国心肌病综合管理指南2025.pdf 第22页证据（SEG-DOC-8917447CF08D5176-22-GL-00178-FABRY）,中国心肌病综合管理指南2025.pdf,26,同病种；法布雷病心肌病；Fabry；法布雷；治疗；免疫；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
DIS-CARD-CM-HCM,肥厚型心肌病,RULE-CDSS-CM-HCM-01-01-DIAG,HCM诊断确认规则,室壁增厚、家族史、心电图异常或影像提示HCM。,EVD-05E0D434ACF6DAEEA231-HCM,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf 第10页证据（SEG-DOC-80984BC35C87AC53-10-GL-00042-HCM）,中国 成人肥厚型心肌病诊断与治疗指南2023.pdf,38,同病种；证据编码后缀-HCM；肥厚型心肌病；HCM；诊断；心电图；超声；CMR；基因；室壁；有原文证据；指南来源；指南/共识文件,linked,同病种/同谱系证据，关键词命中
