层级,标题,路径,可用槽位,V1冻结匹配状态,V1.2证据精修状态,说明
章,心力衰竭,心力衰竭 > 心力衰竭,definition,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
节,心力衰竭总论,心力衰竭 > 心力衰竭总论,classification；risk_stratification；etiology；pathogenesis,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
节,慢性心力衰竭,心力衰竭 > 慢性心力衰竭,clinical_manifestation；classification；risk_stratification；exam；diagnostic_criteria；differential_diagnosis；treatment,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
节,急性心力衰竭,心力衰竭 > 急性心力衰竭,definition；classification；risk_stratification；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
章,心律失常,心律失常 > 心律失常,,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
节,概 述,心律失常 > 概 述,definition,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
节,窦性心律失常,心律失常 > 窦性心律失常,definition,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,窦性心动过速,心律失常 > 窦性心律失常 > 窦性心动过速,definition,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,窦性心动过缓,心律失常 > 窦性心律失常 > 窦性心动过缓,definition,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,窦房传导阻滞,心律失常 > 窦性心律失常 > 窦房传导阻滞,definition,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,病态窦房结综合征,心律失常 > 窦性心律失常 > 病态窦房结综合征,definition；etiology；clinical_manifestation；treatment,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
节,房性心律失常,心律失常 > 房性心律失常,,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,房性期前收缩,心律失常 > 房性心律失常 > 房性期前收缩,definition；clinical_manifestation；treatment,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,房性心动过速,心律失常 > 房性心律失常 > 房性心动过速,definition；etiology；clinical_manifestation；treatment,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,心房扑动,心律失常 > 房性心律失常 > 心房扑动,definition；etiology；clinical_manifestation；treatment,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,心房颤动,心律失常 > 房性心律失常 > 心房颤动,definition；etiology；clinical_manifestation；treatment,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
节,房室交界性心律失常,心律失常 > 房室交界性心律失常,,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,房室交界性期前收缩,心律失常 > 房室交界性心律失常 > 房室交界性期前收缩,definition,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,非阵发性房室交界性心动过速,心律失常 > 房室交界性心律失常 > 非阵发性房室交界性心动过速,definition,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,房室交界区相关的折返性心动过速,心律失常 > 房室交界性心律失常 > 房室交界区相关的折返性心动过速,definition；etiology；clinical_manifestation；treatment,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
节,室性心律失常,心律失常 > 室性心律失常,,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,室性期前收缩,心律失常 > 室性心律失常 > 室性期前收缩,definition；etiology；clinical_manifestation；treatment,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,室性心动过速,心律失常 > 室性心律失常 > 室性心动过速,definition；etiology；clinical_manifestation；treatment,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,心室扑动与心室颤动,心律失常 > 室性心律失常 > 心室扑动与心室颤动,definition；clinical_manifestation,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
节,心脏传导阻滞,心律失常 > 心脏传导阻滞,definition,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,房室传导阻滞,心律失常 > 心脏传导阻滞 > 房室传导阻滞,definition；etiology；clinical_manifestation；treatment,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
条目,室内传导阻滞,心律失常 > 心脏传导阻滞 > 室内传导阻滞,definition；treatment,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
节,抗心律失常药物的合理应用,心律失常 > 抗心律失常药物的合理应用,definition,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
节,心律失常的介入治疗和手术治疗,心律失常 > 心律失常的介入治疗和手术治疗,definition,通过,通过,V1.2按知识浏览层实体复测证据链；正式CDSS推荐仍以正式推荐节点和规则链为准
