"document_id","source_type","file_name","full_path"
"DOC-7F8628B87DE65D12","guideline","HT ACC 2017.pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HT\HT ACC 2017.pdf"
"DOC-DB0F66F2BB43C682","guideline","HT AHA 2025.pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HT\HT AHA 2025.pdf"
"DOC-F6A187686C199FF1","guideline","HT ESC 2018.pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HT\HT ESC 2018.pdf"
"DOC-DA9BCF2DF3ABF666","guideline","HT ESC 2024.pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HT\HT ESC 2024.pdf"
"DOC-0354EAC6824A1FD4","guideline","中国慢性肾脏病患者高血压管理指南（2023年版）.pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HT\中国慢性肾脏病患者高血压管理指南（2023年版）.pdf"
"DOC-139FEAE78F9A08EE","guideline","中国高血压临床实践指南 2022.pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HT\中国高血压临床实践指南 2022.pdf"
"DOC-6EF25C3E0A7B456D","guideline","中国高血压防治指南(2024年修订版).pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HT\中国高血压防治指南(2024年修订版).pdf"
"DOC-A74F3266595FFD2D","consensus","内分泌性高血压筛查专家共识（2025版）.pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HT\内分泌性高血压筛查专家共识（2025版）.pdf"
"DOC-08531D2049613F2D","consensus","原发性醛固酮增多症诊断治疗的专家共识(2024版).pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HT\原发性醛固酮增多症诊断治疗的专家共识(2024版).pdf"
"DOC-B1340468D4735ECF","consensus","发作性高血压临床诊治专家共识.pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HT\发作性高血压临床诊治专家共识.pdf"
"DOC-46C654EF43082103","consensus","老年高血压特点及临床诊治流程专家共识(2024).pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HT\老年高血压特点及临床诊治流程专家共识(2024).pdf"
"DOC-FC25CDC7F11D1F40","consensus","肾上腺静脉取血操作规范和结果解读专家共识（2025年版）.pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HT\肾上腺静脉取血操作规范和结果解读专家共识（2025年版）.pdf"
"DOC-B35F3B296E91D957","guideline","高血压基层诊疗指南（2019年）.pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\HT\高血压基层诊疗指南（2019年）.pdf"
"DOC-97ABB3DBC0C7F58D","guideline","中国 高血压临床实践指南2024.pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\高血压\中国 高血压临床实践指南2024.pdf"
"DOC-C962C87F4D27FFFA","unclassified","中国 高血压急症诊治规范2020.pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\高血压\中国 高血压急症诊治规范2020.pdf"
"DOC-C0BB559FA2C8448A","authoritative_textbook","《内科学（第10版）》.pdf","E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\书籍教材\《内科学（第10版）》.pdf"
