batch_dir,relation_id,severity,relationType,relationCategory,source_code,source_name,source_entityType,target_code,target_name,target_entityType,missing_fields,has_provenance_records,has_evidence_text_or_provenance,source_note,source_quality
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-A0D9B44F1CF1C3CCAE28,blocking_for_cdss_scenario,has_etiology,clinical,DIS-CARD-ARR-AF,心房颤动,Disease,ETI-CARD-493A9E85EE27,心房颤动病因,Etiology,source_page,true,true,,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-E7ABBF3400A8302E39D6,blocking_for_cdss_scenario,has_pathophysiology,clinical,DIS-CARD-ARR-AF,心房颤动,Disease,PATH-CARD-DD98D6372243,心房颤动病理生理机制,Pathophysiology,source_page,true,true,,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-2FE2406E63D3FCD1F463,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-ARR-AF,心房颤动,Disease,SIGN-CARD-831BF3CD96B8,血压下降,Sign,source_page,true,true,,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-3D1B7CA15EF02AFF7524,blocking_for_cdss_scenario,requires_exam,diagnostic,DIS-CARD-ARR-AF,心房颤动,Disease,EXAM-CARD-41BF81CAB3CE,事件记录仪,Exam,source_page,true,true,,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-413FB28BC5D418F5BD46,blocking_for_cdss_scenario,treated_by_medication,therapeutic,DIS-CARD-ARR-AF,心房颤动,Disease,MED-CARD-46B9D435A756,地尔硫卓,Medication,source_page,true,true,,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-6204AB13CAF4146E379F,blocking_for_cdss_scenario,treated_by_procedure,therapeutic,DIS-CARD-ARR-AF,心房颤动,Disease,PROC-CARD-1AB2CA8618BF,外科迷宫手术,Procedure,source_page,true,true,,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-PLANEXEC-B0A79C52429D,blocking_for_cdss_scenario,has_clinical_pathway,taxonomy,PLAN-CARD-0315A5E784A6,心房颤动治疗方案,TreatmentPlan,PATHWAY-CARD-EF8B93B288A6,心房颤动治疗路径,ClinicalPathway,confidence|document_id|evidence_id|evidence_level|evidence_text|guideline_id|recommendation_class|segment_id|source_name|source_page|source_section|source_type|source_version,false,false,auto_repair_treatment_plan_to_execution_entity,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-PLANEXEC-75391245124D,blocking_for_cdss_scenario,has_clinical_pathway,taxonomy,DIS-CARD-ARR-AF,心房颤动,Disease,PATHWAY-CARD-EF8B93B288A6,心房颤动治疗路径,ClinicalPathway,confidence|document_id|evidence_id|evidence_level|evidence_text|guideline_id|recommendation_class|segment_id|source_name|source_page|source_section|source_type|source_version,false,false,auto_repair_disease_to_treatment_pathway_for_cdss_review,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-PLANEXEC-9C667870B979,blocking_for_cdss_scenario,includes_procedure,taxonomy,PLAN-CARD-7CC38FBA6F57,复律治疗,TreatmentPlan,PROC-CARD-637C708351D2,电复律,Procedure,confidence|document_id|evidence_id|evidence_level|evidence_text|guideline_id|recommendation_class|segment_id|source_name|source_page|source_section|source_type|source_version,false,false,auto_repair_treatment_plan_to_execution_entity,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-PLANEXEC-A1338D9E7874,blocking_for_cdss_scenario,includes_medication,taxonomy,PLAN-CARD-7CC38FBA6F57,复律治疗,TreatmentPlan,MED-AMIODARONE,胺碘酮,Medication,confidence|document_id|evidence_id|evidence_level|evidence_text|guideline_id|recommendation_class|segment_id|source_name|source_page|source_section|source_type|source_version,false,false,auto_repair_treatment_plan_to_execution_entity,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-PLANEXEC-973E2CD8A750,blocking_for_cdss_scenario,includes_medication,taxonomy,PLAN-CARD-A1C4E6332D38,抗凝治疗,TreatmentPlan,MED-CARD-A60E0BFF3FFC,抗凝药物,Medication,confidence|document_id|evidence_id|evidence_level|evidence_text|guideline_id|recommendation_class|segment_id|source_name|source_page|source_section|source_type|source_version,false,false,auto_repair_treatment_plan_to_execution_entity,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-PLANEXEC-E4593B42B9E0,blocking_for_cdss_scenario,includes_procedure,taxonomy,PLAN-CARD-0C511F6A9FF0,综合危险因素管理,TreatmentPlan,PROC-CARD-132F7104A781,生活方式干预,Procedure,confidence|document_id|evidence_id|evidence_level|evidence_text|guideline_id|recommendation_class|segment_id|source_name|source_page|source_section|source_type|source_version,false,false,auto_repair_treatment_plan_to_execution_entity,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-PLANEXEC-21257A90942F,blocking_for_cdss_scenario,includes_procedure,taxonomy,PLAN-CARD-0C511F6A9FF0,综合危险因素管理,TreatmentPlan,PROC-CARD-99A6FF1BEB35,危险因素管理,Procedure,confidence|document_id|evidence_id|evidence_level|evidence_text|guideline_id|recommendation_class|segment_id|source_name|source_page|source_section|source_type|source_version,false,false,auto_repair_treatment_plan_to_execution_entity,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-PLANEXEC-D4049F2E4AFB,blocking_for_cdss_scenario,includes_medication,taxonomy,PLAN-CARD-40AB27F53C05,节律控制,TreatmentPlan,MED-AMIODARONE,胺碘酮,Medication,confidence|document_id|evidence_id|evidence_level|evidence_text|guideline_id|recommendation_class|segment_id|source_name|source_page|source_section|source_type|source_version,false,false,auto_repair_treatment_plan_to_execution_entity,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-PLANEXEC-F4013527D4B3,blocking_for_cdss_scenario,includes_medication,taxonomy,PLAN-CARD-40AB27F53C05,节律控制,TreatmentPlan,MED-CARD-0D88ECB6525C,普罗帕酮,Medication,confidence|document_id|evidence_id|evidence_level|evidence_text|guideline_id|recommendation_class|segment_id|source_name|source_page|source_section|source_type|source_version,false,false,auto_repair_treatment_plan_to_execution_entity,
