issue_scope,source_disease_name,target_subject_name,slot,mapping_status,mapping_type,total_rows,mergeable_rows,blocked_rows,strong_rows,medium_rows,noise_rows,unique_entity_count,sample_entities,sample_evidence,decision_counts
历史候选池归并风险，不作为当前骨架缺陷,急性心肌梗死,急性冠脉综合征,clinical_manifestation,需人工确认,manual_review_rule,223,0,223,13,134,0,30,,,"{""阻断_疾病映射需人工确认"": 223}"
历史候选池归并风险，不作为当前骨架缺陷,急性心肌梗死,急性冠脉综合征,treatment,需人工确认,manual_review_rule,161,0,161,1,67,1,27,,,"{""阻断_疾病映射需人工确认"": 161}"
历史候选池归并风险，不作为当前骨架缺陷,急性心肌梗死,急性冠脉综合征,complication,需人工确认,manual_review_rule,142,0,142,6,71,1,7,,,"{""阻断_疾病映射需人工确认"": 142}"
历史候选池归并风险，不作为当前骨架缺陷,急性心肌梗死,急性冠脉综合征,exam_lab,需人工确认,manual_review_rule,123,0,123,6,55,0,20,,,"{""阻断_疾病映射需人工确认"": 123}"
历史候选池归并风险，不作为当前骨架缺陷,心房颤动,心房颤动,treatment,可自动采用,exact,219,113,106,16,97,0,26,洋地黄类药物；血运重建；射频消融术；抗凝治疗；心脏再同步治疗；控制心室率；药物治疗；利尿剂；一般治疗；洋地黄类药物；利尿剂；洋地黄类药物；药物治疗；胺碘酮；药物治疗；复律治疗；胺碘酮；洋地黄类药物；钙通道阻滞剂；药物治疗,（2）正性肌力药：慢性肺心病病人由于慢性缺氧及感染，对洋地黄类药物的耐受性低，易致中毒，出现心律失常。因此是否应用应持慎重态度，指征有：①感染已控制，呼吸功能已改善，利尿治疗后右心功能无改善者；②以右 || 1. 经皮冠状动脉介入术（percutaneous coronary intervention，PCI） 治疗冠心病的一种最常用、最成熟的介入技术，它是在血管造影仪的引导下，通过特制的导管、导丝、球囊 || 2. 射频消融术（catheter radiofrequency ablation） 射频消融术是将电极导管经静脉或动脉送入心腔特定部位，释放射频电流导致局部心内膜及心内膜下心肌凝固性坏死，达到阻断快,"{""可进入抽样复核后归并"": 113, ""阻断_证据文本不足"": 106}"
历史候选池归并风险，不作为当前骨架缺陷,心力衰竭,心力衰竭,clinical_manifestation,可自动采用,exact,283,185,98,102,83,0,34,咳嗽；咯血；胸痛；咳嗽；咳嗽；咳嗽；休克；呼吸困难；水肿；呼吸困难；胸痛；咳嗽；咯血；发热；水肿；发热；水肿；呼吸困难；胸痛；咳嗽,3. 咯血 是指来源于气道或肺实质的血管受损出血经咳嗽而排出，可以由很多原因引起，常见于急性支气管炎、肺炎、支气管扩张、肺结核、肺真菌病、肺癌等。咯血多是少量或中量，表现痰中带血丝、血痰或整口鲜血，但 || 3. 咯血 是指来源于气道或肺实质的血管受损出血经咳嗽而排出，可以由很多原因引起，常见于急性支气管炎、肺炎、支气管扩张、肺结核、肺真菌病、肺癌等。咯血多是少量或中量，表现痰中带血丝、血痰或整口鲜血，但 || 5. 胸痛 肺实质内不存在痛觉感受器，故胸痛一般源于各种肺部疾病累及胸膜及咳嗽引起的肌肉疼痛等。胸膜性胸痛一般为单侧、吸气末明显，定位相对清晰，可继发于气胸、肺炎、肿瘤、肺栓塞等。严重肺动脉高压可导致,"{""可进入抽样复核后归并"": 185, ""阻断_证据文本不足"": 98}"
历史候选池归并风险，不作为当前骨架缺陷,心房颤动,心房颤动,clinical_manifestation,可自动采用,exact,230,143,87,22,121,0,31,发绀；奔马律；心动过速；休克；水肿；心动过速；休克；呼吸困难；胸痛；胸闷；高血压；休克；呼吸困难；胸痛；晕厥；咯血；濒死感；胸痛；上腹痛；高血压,1. 呼吸系统 呼吸频率增快，可见发绀，肺部可闻及哮鸣音和 / 或细湿啰音，偶可闻及血管杂音；合并肺不张和胸腔积液时出现相应的体征。 || 2. 循环系统 主要是肺动脉高压、右心功能不全以及左心搏出量急剧减少的体征。窦性心动过速最常见，并可见心律失常如期前收缩、室上性心动过速、心房扑动和心房颤动等；部分病人可闻及肺动脉瓣区第二心音亢进（P || 2. 循环系统 主要是肺动脉高压、右心功能不全以及左心搏出量急剧减少的体征。窦性心动过速最常见，并可见心律失常如期前收缩、室上性心动过速、心房扑动和心房颤动等；部分病人可闻及肺动脉瓣区第二心音亢进（P,"{""可进入抽样复核后归并"": 143, ""阻断_证据文本不足"": 87}"
历史候选池归并风险，不作为当前骨架缺陷,心力衰竭,心力衰竭,complication,可自动采用,exact,223,140,83,101,39,1,9,出血；肺栓塞；肺动脉高压；心力衰竭；出血；心力衰竭；心力衰竭；肺栓塞；心力衰竭；肺栓塞；心力衰竭；出血；心力衰竭；心力衰竭；心力衰竭；心力衰竭；心力衰竭；心律失常；心力衰竭；心律失常,3. 咯血 是指来源于气道或肺实质的血管受损出血经咳嗽而排出，可以由很多原因引起，常见于急性支气管炎、肺炎、支气管扩张、肺结核、肺真菌病、肺癌等。咯血多是少量或中量，表现痰中带血丝、血痰或整口鲜血，但 || 5. 胸痛 肺实质内不存在痛觉感受器，故胸痛一般源于各种肺部疾病累及胸膜及咳嗽引起的肌肉疼痛等。胸膜性胸痛一般为单侧、吸气末明显，定位相对清晰，可继发于气胸、肺炎、肿瘤、肺栓塞等。严重肺动脉高压可导致 || 5. 胸痛 肺实质内不存在痛觉感受器，故胸痛一般源于各种肺部疾病累及胸膜及咳嗽引起的肌肉疼痛等。胸膜性胸痛一般为单侧、吸气末明显，定位相对清晰，可继发于气胸、肺炎、肿瘤、肺栓塞等。严重肺动脉高压可导致,"{""可进入抽样复核后归并"": 140, ""阻断_疑似非正文噪声"": 1, ""阻断_证据文本不足"": 82}"
历史候选池归并风险，不作为当前骨架缺陷,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病概述,complication,可自动采用,normalized_equal,150,74,76,1,73,1,9,出血；心力衰竭；心力衰竭；脑卒中；肺栓塞；脑卒中；心力衰竭；心律失常；脑卒中；心律失常；脑卒中；猝死；心律失常；心律失常；心律失常；心律失常；心律失常；猝死；心律失常；心律失常,7. 其他治疗措施 合理补充液体和电解质以保持身体水电解质平衡。注意补充营养，根据病人胃肠功能状况调节饮食，保证热量和蛋白质、维生素等营养素的摄入，必要时可以选用肠外营养治疗。积极排痰治疗，最有效的措 || 如病人有呼吸衰竭、肺源性心脏病、心力衰竭，具体治疗方法可参阅有关章节治疗内容。 || 1. 对症治疗 肺结核的一般症状在合理化疗下很快减轻或消失，无需特殊处理。咯血是肺结核的常见症状，一般少量咯血，多以安慰病人、消除紧张、卧床休息为主，可用氨基己酸、氨甲苯酸、酚磺乙胺、卡巴克洛等药物止,"{""可进入抽样复核后归并"": 74, ""阻断_疑似非正文噪声"": 1, ""阻断_证据文本不足"": 75}"
历史候选池归并风险，不作为当前骨架缺陷,心力衰竭,心力衰竭,treatment,可自动采用,exact,149,73,76,29,44,1,27,药物治疗；药物治疗；氧疗；洋地黄类药物；氧疗；利尿剂；钙通道阻滞剂；洋地黄类药物；药物治疗；控制心室率；钙通道阻滞剂；抗凝治疗；复律治疗；抗凝治疗；抗凝治疗；复律治疗；胺碘酮；药物治疗；控制心室率；控制心室率,【病理】 病理改变有充血期、红肝变期、灰肝变期及消散期。表现为肺组织充血水肿，肺泡内浆液渗出及红、白细胞浸润，白细胞吞噬细菌，继而纤维蛋白渗出物溶解、吸收、肺泡重新充气。肝变期病理阶段实际并无明确分界 || 2. 糖皮质激素 糖皮质激素治疗结核病的应用主要是利用其抗炎、抗毒作用。仅用于结核毒性症状严重者。必须确保在有效抗结核药物治疗的情况下使用。使用剂量依病情而定，一般用泼尼松口服每日 20mg，顿服，1 || （一）肺、心功能代偿期 可采用综合治疗措施，延缓基础支气管、肺疾病的进展，预防感染，减少或避免急性加重，加强康复锻炼和营养，需要时长期家庭氧疗或家庭无创呼吸机治疗等，以改善病人的生活质量。继发于慢阻肺,"{""可进入抽样复核后归并"": 73, ""阻断_疑似非正文噪声"": 1, ""阻断_证据文本不足"": 75}"
