subject_name,parent,level,docx_start_para,docx_end_para,pdf_page_approx,extracted_slot_count,extracted_slots,expected_core_missing,status
心力衰竭,第三篇循环系统疾病,章,3905,3909,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
心力衰竭总论,心力衰竭,节,3910,3965,,4,classification；risk_stratification；etiology；pathogenesis,clinical_manifestation；definition；diagnostic_criteria；differential_diagnosis；exam；treatment,needs_slot_backfill_or_manual_review
慢性心力衰竭,心力衰竭,节,3966,4118,,7,clinical_manifestation；classification；risk_stratification；exam；diagnostic_criteria；differential_diagnosis；treatment,definition；etiology；pathogenesis,needs_slot_backfill_or_manual_review
急性心力衰竭,心力衰竭,节,4119,4228,,7,definition；classification；risk_stratification；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,etiology；exam；pathogenesis,needs_slot_backfill_or_manual_review
心律失常,第三篇循环系统疾病,章,4229,4232,,0,,clinical_manifestation；definition；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
概 述,心律失常,节,4233,4313,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
窦性心律失常,心律失常,节,4314,4320,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
窦性心动过速,窦性心律失常,条目,4321,4326,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
窦性心动过缓,窦性心律失常,条目,4327,4341,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
窦房传导阻滞,窦性心律失常,条目,4342,4346,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
病态窦房结综合征,窦性心律失常,条目,4347,4360,,4,definition；etiology；clinical_manifestation；treatment,diagnostic_criteria；differential_diagnosis；exam；pathogenesis,needs_slot_backfill_or_manual_review
房性心律失常,心律失常,节,4361,4362,,0,,clinical_manifestation；definition；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
房性期前收缩,房性心律失常,条目,4363,4370,,3,definition；clinical_manifestation；treatment,diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis,needs_slot_backfill_or_manual_review
房性心动过速,房性心律失常,条目,4371,4395,,4,definition；etiology；clinical_manifestation；treatment,diagnostic_criteria；differential_diagnosis；exam；pathogenesis,needs_slot_backfill_or_manual_review
心房扑动,房性心律失常,条目,4396,4408,,4,definition；etiology；clinical_manifestation；treatment,diagnostic_criteria；differential_diagnosis；exam；pathogenesis,needs_slot_backfill_or_manual_review
心房颤动,房性心律失常,条目,4409,4452,,4,definition；etiology；clinical_manifestation；treatment,diagnostic_criteria；differential_diagnosis；exam；pathogenesis,needs_slot_backfill_or_manual_review
房室交界性心律失常,心律失常,节,4453,4454,,0,,clinical_manifestation；definition；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
房室交界性期前收缩,房室交界性心律失常,条目,4455,4471,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
非阵发性房室交界性心动过速,房室交界性心律失常,条目,4472,4475,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
房室交界区相关的折返性心动过速,房室交界性心律失常,条目,4476,4547,,4,definition；etiology；clinical_manifestation；treatment,diagnostic_criteria；differential_diagnosis；exam；pathogenesis,needs_slot_backfill_or_manual_review
室性心律失常,心律失常,节,4548,4549,,0,,clinical_manifestation；definition；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
室性期前收缩,室性心律失常,条目,4550,4571,,4,definition；etiology；clinical_manifestation；treatment,diagnostic_criteria；differential_diagnosis；exam；pathogenesis,needs_slot_backfill_or_manual_review
室性心动过速,室性心律失常,条目,4572,4614,,4,definition；etiology；clinical_manifestation；treatment,diagnostic_criteria；differential_diagnosis；exam；pathogenesis,needs_slot_backfill_or_manual_review
心室扑动与心室颤动,室性心律失常,条目,4615,4641,,2,definition；clinical_manifestation,diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
