序号,脚本名称,当前路径,文件大小KB,最后修改时间,主要用途,输入文件/目录,输出文件/目录,是否连接Neo4j,是否写数据库,是否修改本地文件,适用范围,复用等级,风险等级,建议处理,建议归属模块,备注
1,__init__.py,scripts\__init__.py,0.1,2026-06-22 17:12:23,scripts 包初始化,脚本内置路径或未明确,控制台输出或只读结果,否,否,否,通用或需按参数限定,A类,低风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,legacy_misc/待归类,静态扫描未发现特殊风险
2,analyze_content_duplicates.py,scripts\analyze_content_duplicates.py,4.1,2026-06-22 17:40:36,分析文本内容重复片段,命令行参数指定的批次目录/JSONL/CSV/源文件；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,audit/质量审计与只读查询,会生成或改写本地文件；公共重复内容分析工具，可迁移为 audit 子模块
3,apply_cdss_ai_precheck_signoff.py,scripts\apply_cdss_ai_precheck_signoff.py,13.9,2026-07-03 23:05:01,根据证据链为 CDSS 推荐做 AI 预审签收/阻断标记,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,高风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,audit/质量审计与审核流,会生成或改写本地文件；公共 CDSS 预审签收逻辑；会改本地审核/图谱文件，迁移前需加 dry-run
4,apply_clinical_review_decisions.py,scripts\apply_clinical_review_decisions.py,6.8,2026-06-28 23:39:59,将临床审核决策回写到本地 JSONL,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,高风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,reporting/审核回写,会生成或改写本地文件；公共临床审核决策回写逻辑；迁移前需加输入校验和备份
5,apply_curated_required_backfill.py,scripts\apply_curated_required_backfill.py,12.4,2026-07-05 00:01:18,按人工整理 spec 回填 required 缺口到本地图谱文件,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,delta/候选与delta生成,会生成或改写本地文件
6,apply_evidence_backfill_candidates.py,scripts\apply_evidence_backfill_candidates.py,9.5,2026-06-27 22:38:14,将证据候选应用到本地批次图谱,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,delta/候选与delta生成,会生成或改写本地文件
7,apply_source_decisions.py,scripts\apply_source_decisions.py,3.1,2026-06-22 17:44:36,应用资料来源筛选决策到批次配置/manifest,命令行参数指定的批次目录/JSONL/CSV/源文件；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,source_manifest/资料登记,会生成或改写本地文件；公共来源筛选回写逻辑，可迁移到 source_manifest
8,audit_cdss_scenario_evidence_chain.py,scripts\audit_cdss_scenario_evidence_chain.py,8.3,2026-07-05 21:51:07,审计 CDSS 场景推荐证据链完整性,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,audit/质量审计与只读查询,会生成或改写本地文件
9,audit_graph_instance.py,scripts\audit_graph_instance.py,49.6,2026-07-04 23:34:11,本地图谱实例综合质量审计,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,audit/质量审计与只读查询,会生成或改写本地文件
10,build_cardiology_foundation_skeleton.py,scripts\build_cardiology_foundation_skeleton.py,24.4,2026-06-25 10:04:12,从心内科教材构建心血管内科基础骨架,命令行参数指定的批次目录/JSONL/CSV/源文件；教材 DOCX/TXT/教材抽取文本；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,心血管内科教材骨架库,B类,中风险,保留为历史批次脚本；仅抽取可复用逻辑，不直接迁移整体脚本,skeleton/骨架库,会生成或改写本地文件；心血管内科骨架专用；可抽取骨架构建公共模式
