disease_code_to_fill,evidence_code,evidence_name,evidence_type,source_code,source_name,source_type
DIS-CARD-HT,EVD-45F6194A20E2C3BE464F-HT,中国 高血压临床实践指南2024.pdf 第22页证据（SEG-DOC-97ABB3DBC0C7F58D-22-GL-00087-HT）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT-PA,EVD-45F6194A20E2C3BE464F-PA,中国 高血压临床实践指南2024.pdf 第22页证据（SEG-DOC-97ABB3DBC0C7F58D-22-GL-00090-PA）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT-RESISTANT,EVD-45F6194A20E2C3BE464F-RESISTANT,中国 高血压临床实践指南2024.pdf 第22页证据（SEG-DOC-97ABB3DBC0C7F58D-22-GL-00089-RESISTANT）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT-SECONDARY,EVD-45F6194A20E2C3BE464F-SECONDARY,中国 高血压临床实践指南2024.pdf 第22页证据（SEG-DOC-97ABB3DBC0C7F58D-22-GL-00088-SECONDARY）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT,EVD-6BADEAD199509FF34540-HT,中国高血压临床实践指南 2022.pdf 第21页证据（SEG-DOC-139FEAE78F9A08EE-21-GL-00087-HT）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT-PA,EVD-6BADEAD199509FF34540-PA,中国高血压临床实践指南 2022.pdf 第21页证据（SEG-DOC-139FEAE78F9A08EE-21-GL-00091-PA）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT-PRIMARY,EVD-6BADEAD199509FF34540-PRIMARY,中国高血压临床实践指南 2022.pdf 第21页证据（SEG-DOC-139FEAE78F9A08EE-21-GL-00088-PRIMARY）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT-RESISTANT,EVD-6BADEAD199509FF34540-RESISTANT,中国高血压临床实践指南 2022.pdf 第21页证据（SEG-DOC-139FEAE78F9A08EE-21-GL-00090-RESISTANT）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT-SECONDARY,EVD-6BADEAD199509FF34540-SECONDARY,中国高血压临床实践指南 2022.pdf 第21页证据（SEG-DOC-139FEAE78F9A08EE-21-GL-00089-SECONDARY）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT,EVD-897BDB12EB9F4FBECBBB-HT,中国高血压临床实践指南 2022.pdf 第21页证据（SEG-DOC-139FEAE78F9A08EE-21-GL-00092-HT）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT-PA,EVD-897BDB12EB9F4FBECBBB-PA,中国高血压临床实践指南 2022.pdf 第21页证据（SEG-DOC-139FEAE78F9A08EE-21-GL-00095-PA）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT-RESISTANT,EVD-897BDB12EB9F4FBECBBB-RESISTANT,中国高血压临床实践指南 2022.pdf 第21页证据（SEG-DOC-139FEAE78F9A08EE-21-GL-00094-RESISTANT）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT-SECONDARY,EVD-897BDB12EB9F4FBECBBB-SECONDARY,中国高血压临床实践指南 2022.pdf 第21页证据（SEG-DOC-139FEAE78F9A08EE-21-GL-00093-SECONDARY）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT,EVD-DD7C5128FE73E737C19D-HT,中国 高血压临床实践指南2024.pdf 第21页证据（SEG-DOC-97ABB3DBC0C7F58D-21-GL-00081-HT）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-HT-SECONDARY,EVD-DD7C5128FE73E737C19D-SECONDARY,中国 高血压临床实践指南2024.pdf 第21页证据（SEG-DOC-97ABB3DBC0C7F58D-21-GL-00082-SECONDARY）,Evidence,DXC-CARD-6C4508DDA2F4,继发性高血压筛查标准,ClinicalRule
DIS-CARD-ARR-AF,EVD-028A2F2BA76DE48E34B3-AF,慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识_慢性肾脏病非瓣膜性心房颤动抗凝管理工作组.pdf 第2页证据（SEG-DOC-63A0DE9B1C2143F8-2-GL-00008-AF）,Evidence,RULE-CARD-ARR-AF-01-ECG-DIAGNOSIS,房颤心电图诊断规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-D4005792C9B076BFC7E1-AF,《内科学（第10版）》.pdf 第234页证据（SEG-DOC-C0BB559FA2C8448A-234-GL-00035-AF）,Evidence,RULE-CARD-ARR-AF-01-ECG-DIAGNOSIS,房颤心电图诊断规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-1BDBEB039CDD54E3D3A7-AF,AF ESC 2020.pdf 第36页证据（SEG-DOC-C5A1A36777F25502-36-GL-00127-AF）,Evidence,RULE-CARD-ARR-AF-02-RISK-SCORES,房颤卒中出血评分规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-00CF88A508BB4F312338-AF,中国心房颤动管理指南（2025）.pdf 第44页证据（SEG-DOC-4BF1E6843E30FAE5-44-GL-00168-AF）,Evidence,RULE-CARD-ARR-AF-03-ANTICOAGULATION,房颤抗凝治疗规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-1BDBEB039CDD54E3D3A7-AF,AF ESC 2020.pdf 第36页证据（SEG-DOC-C5A1A36777F25502-36-GL-00127-AF）,Evidence,RULE-CARD-ARR-AF-03-ANTICOAGULATION,房颤抗凝治疗规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-8A9E9D41F2BC962BEB8B-AF,中国心房颤动管理指南（2025）.pdf 第38页证据（SEG-DOC-4BF1E6843E30FAE5-38-GL-00142-AF）,Evidence,RULE-CARD-ARR-AF-03-ANTICOAGULATION,房颤抗凝治疗规则,ClinicalRule
