code,name,batch_id,formal,evidence_count,sources,decision,target_entityType,reason
DDX-CARD-A4091D292E4B,冠状动脉痉挛,BATCH-CARD-CAD-20260623-001,False,79,"[{""source_code"": ""DIS-CARD-CAD-CCS"", ""source_type"": ""Disease"", ""source_name"": ""慢性冠脉综合征""}, {""source_code"": ""DIS-CARD-CAD-NSTEMI"", ""source_type"": ""Disease"", ""source_name"": ""非ST段抬高型心肌梗死""}, {""source_code"": ""DIS-CARD-CAD-AMI"", ""source_type"": ""Disease"", ""source_name"": ""急性心肌梗死""}, {""source_code"": ""DIS-CARD-CAD-ACS"", ""source_type"": ""Disease"", ""source_name"": ""急性冠脉综合征""}, {""source_code"": ""DIS-CARD-CAD-UA"", ""source_type"": ""Disease"", ""source_name"": ""不稳定型心绞痛""}, {""source_code"": ""DIS-CARD-CAD-STABLE-ANGINA"", ""source_type"": ""Disease"", ""source_name"": ""稳定型心绞痛""}, {""source_code"": ""DIS-CARD-CAD-STEMI"", ""source_type"": ""Disease"", ""source_name"": ""ST段抬高型心肌梗死""}]",keep_differential_target_needs_detail,DifferentialDiagnosis,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
DDX-CARD-CADREM-SILENT-ISCHEMIA-3600DD6764,但有心肌缺血客观证据的冠心病,BATCH-CARD-CAD-REMAINING-20260712-001,False,1,"[{""source_code"": ""DIS-CARD-CAD-SILENT-ISCHEMIA"", ""source_type"": ""Disease"", ""source_name"": ""隐匿性冠心病""}]",retype_to_clinical_rule_differential_point,ClinicalRule,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
DDX-CARD-CADREM-ICM-003E48BBA7,同时需排除冠心病的某些并发症,BATCH-CARD-CAD-REMAINING-20260712-001,False,1,"[{""source_code"": ""DIS-CARD-CAD-ICM"", ""source_type"": ""Disease"", ""source_name"": ""缺血性心肌病""}]",retype_to_clinical_rule_differential_point,ClinicalRule,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
DDX-CARD-CADREM-AMI-2456ECD13F,鉴别诊断需要考虑以下疾病,BATCH-CARD-CAD-REMAINING-20260712-001,False,1,"[{""source_code"": ""DIS-CARD-CAD-AMI"", ""source_type"": ""Disease"", ""source_name"": ""急性心肌梗死""}]",retype_to_clinical_rule_differential_point,ClinicalRule,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
DDX-CARD-CADREM-ICM-39AF6E5DFD,需鉴别其他引起心脏增大和心力衰竭的病因,BATCH-CARD-CAD-REMAINING-20260712-001,False,1,"[{""source_code"": ""DIS-CARD-CAD-ICM"", ""source_type"": ""Disease"", ""source_name"": ""缺血性心肌病""}]",retype_to_clinical_rule_differential_point,ClinicalRule,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
DDX-CARD-STEMI-BED7C76BD0A8,嗜铬细胞瘤,BATCH-CARD-CAD-STEMI-20260712-001,False,1,"[{""source_code"": ""DIS-CARD-CAD-STEMI"", ""source_type"": ""Disease"", ""source_name"": ""ST段抬高型心肌梗死""}]",keep_differential_target_needs_detail,DifferentialDiagnosis,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
DDX-CARD-STEMI-4DD215C51903,心绞痛,BATCH-CARD-CAD-STEMI-20260712-001,False,1,"[{""source_code"": ""DIS-CARD-CAD-STEMI"", ""source_type"": ""Disease"", ""source_name"": ""ST段抬高型心肌梗死""}]",keep_differential_target_needs_detail,DifferentialDiagnosis,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
DDX-CARD-A07BA907BDB0,心肌炎,BATCH-CARD-CAD-STEMI-20260712-001,False,51,"[{""source_code"": ""DIS-CARD-CM-DCM"", ""source_type"": ""Disease"", ""source_name"": ""扩张型心肌病""}, {""source_code"": ""DIS-CARD-CAD-STEMI"", ""source_type"": ""Disease"", ""source_name"": ""ST段抬高型心肌梗死""}, {""source_code"": ""DIS-CARD-CM-RCM"", ""source_type"": ""Disease"", ""source_name"": ""限制型心肌病""}, {""source_code"": ""DIS-CARD-CM-AMYLOID"", ""source_type"": ""Disease"", ""source_name"": ""淀粉样变心肌病""}, {""source_code"": ""DIS-CARD-CM-HCM"", ""source_type"": ""Disease"", ""source_name"": ""肥厚型心肌病""}, {""source_code"": ""DIS-CARD-CM-ARVC"", ""source_type"": ""Disease"", ""source_name"": ""致心律失常性右心室心肌病""}, {""source_code"": ""DIS-CARD-CM-ACM"", ""source_type"": ""Disease"", ""source_name"": ""致心律失常性心肌病""}, {""source_code"": ""DIS-CARD-CAD-ICM"", ""source_type"": ""Disease"", ""source_name"": ""缺血性心肌病""}]",keep_differential_target_needs_detail,DifferentialDiagnosis,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
DDX-CARD-STEMI-5ED3F170AA98,急性肺动脉栓塞,BATCH-CARD-CAD-STEMI-20260712-001,False,1,"[{""source_code"": ""DIS-CARD-CAD-STEMI"", ""source_type"": ""Disease"", ""source_name"": ""ST段抬高型心肌梗死""}]",keep_differential_target_needs_detail,DifferentialDiagnosis,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
DDX-CARD-STEMI-F118C9F80AE2,急腹症,BATCH-CARD-CAD-STEMI-20260712-001,False,1,"[{""source_code"": ""DIS-CARD-CAD-STEMI"", ""source_type"": ""Disease"", ""source_name"": ""ST段抬高型心肌梗死""}]",keep_differential_target_needs_detail,DifferentialDiagnosis,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
DDX-CARD-6AB732E54DB3,冠心病,BATCH-CARD-CM-20260622-001,False,125,"[{""source_code"": ""DIS-CARD-CM-ALVC"", ""source_type"": ""Disease"", ""source_name"": ""致心律失常性左心室心肌病""}, {""source_code"": ""DIS-CARD-CAD-ICM"", ""source_type"": ""Disease"", ""source_name"": ""缺血性心肌病""}, {""source_code"": ""DIS-CARD-CM-HCM"", ""source_type"": ""Disease"", ""source_name"": ""肥厚型心肌病""}, {""source_code"": ""DIS-CARD-CM-DCM"", ""source_type"": ""Disease"", ""source_name"": ""扩张型心肌病""}, {""source_code"": ""DIS-CARD-CM-AMYLOID"", ""source_type"": ""Disease"", ""source_name"": ""淀粉样变心肌病""}, {""source_code"": ""DIS-CARD-CM-ARVC"", ""source_type"": ""Disease"", ""source_name"": ""致心律失常性右心室心肌病""}, {""source_code"": ""DIS-CARD-CM-ACM"", ""source_type"": ""Disease"", ""source_name"": ""致心律失常性心肌病""}]",keep_differential_target_needs_detail,DifferentialDiagnosis,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
DDX-CARD-645287F85899,瓣膜性心脏病,BATCH-CARD-CM-20260622-001,False,20,"[{""source_code"": ""DIS-CARD-CM-RCM"", ""source_type"": ""Disease"", ""source_name"": ""限制型心肌病""}, {""source_code"": ""DIS-CARD-CM-HCM"", ""source_type"": ""Disease"", ""source_name"": ""肥厚型心肌病""}, {""source_code"": ""DIS-CARD-CM-DCM"", ""source_type"": ""Disease"", ""source_name"": ""扩张型心肌病""}, {""source_code"": ""DIS-CARD-CM-ARVC"", ""source_type"": ""Disease"", ""source_name"": ""致心律失常性右心室心肌病""}]",keep_differential_target_needs_detail,DifferentialDiagnosis,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
DDX-CARD-887CF6C354E7,高血压性心脏病,BATCH-CARD-CM-20260622-001,False,2,"[{""source_code"": ""DIS-CARD-CM-RCM"", ""source_type"": ""Disease"", ""source_name"": ""限制型心肌病""}, {""source_code"": ""DIS-CARD-CM-ARVC"", ""source_type"": ""Disease"", ""source_name"": ""致心律失常性右心室心肌病""}]",keep_differential_target_needs_detail,DifferentialDiagnosis,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
DDX-CARD-91D172B6AA3C,心房颤动,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,False,502,"[{""source_code"": ""DIS-CARD-ARR-AVNRT"", ""source_type"": ""Disease"", ""source_name"": ""房室结折返性心动过速""}, {""source_code"": ""DIS-CARD-ARR-AFL"", ""source_type"": ""Disease"", ""source_name"": ""心房扑动""}, {""source_code"": ""DIS-CARD-ARR-SVT"", ""source_type"": ""Disease"", ""source_name"": ""室上性心动过速""}, {""source_code"": ""DIS-CARD-ARR-AT"", ""source_type"": ""Disease"", ""source_name"": ""房性心动过速""}, {""source_code"": ""DIS-CARD-ARR-WPW"", ""source_type"": ""Disease"", ""source_name"": ""预激综合征""}, {""source_code"": ""DIS-CARD-ARR-AVRT"", ""source_type"": ""Disease"", ""source_name"": ""房室折返性心动过速""}]",keep_differential_target_needs_detail,DifferentialDiagnosis,句子型鉴别要点改为ClinicalRule；短疾病/状态名保留为DifferentialDiagnosis待补鉴别规则
