subject_name,parent,level,pdf_page_approx,docx_start_para,docx_end_para,subject_kind,expected_groups,present_groups,missing_groups,definition_count,etiology_pathogenesis_count,clinical_manifestation_count,exam_lab_count,diagnosis_differential_count,treatment_count,prognosis_followup_count,example_entities,g1_status,neo4j_import_allowed,note
成人先天性心脏病的介入治疗,先天性心血管病,节,,6282,6385,therapy_or_management_section,treatment,definition,treatment,4,0,0,0,0,0,0,"definition: 成人先天性心脏病的介入治疗定义, 是较早应用的非手术介入性先天性心脏病的治疗措施，首例成功报告为1982年, 是目前应用最为广泛的封堵器, 导致完全闭塞",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
成人常见先天性心血管病,先天性心血管病,节,,6071,6266,category_container,,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,,5,12,19,8,14,2,26,"definition: 成人常见先天性心血管病定义, 是指心脏及大血管在胎儿期发育异常引起的、在出生时病变即已存在的疾病，简称先心病, 是最常见的成人先天性心脏病，占成人先天性心脏病的20%～30%，男女发病率之比为1∶（1.5～3），且有家族遗传倾向, 指心脏及大血管在胎儿期发育异常引起的、在出生时病变即已存在的疾病，简称先心病, 引起的、在出生时病变即已存在的疾病，简称先心病；etiology_pathogenesis: 房间隔缺损一般分为原发孔缺损（primumatrialseptaldefect）和继发孔缺损（secundumatrialseptaldefect）, 后者又分为中央型缺损、下腔型缺损、上腔型缺损和混合型缺损, 以中央型缺损最多见, 也可有多个缺损同时存在, 房间隔缺损对血流动力学的影响主要取决于分流量的多少；prognosis_followup: 心力衰竭, 脑卒中, 死亡原因常为心力衰竭, 其次为肺部感染、肺动脉血栓形成或栓塞, 二、室间隔缺损室间隔缺损（ventricularseptaldefect；clinical_manifestation: 胸痛, 胸闷, 呼吸困难, 劳力性呼吸困难, 心悸；exam_lab: 超声心动图, 冠状动脉CT血管成像, 冠状动脉造影, 心电图, X线；diagnosis_differential: 典型的心脏听诊、心电图、X线表现可提示房间隔缺损的存在, 大部分可以作出正确诊断, 卵圆孔未闭的诊断主要靠心脏超声结合右心超声造影检查来明确诊断, 鉴别诊断应考虑原发性肺动脉扩张, 根据超声心动图所见诊断并不困难；treatment: 经皮冠状动脉介入治疗, 外科手术",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
冠状动脉痉挛,冠状动脉疾病的其他表现形式,条目,,5401,5478,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition,clinical_manifestation；diagnosis_differential；exam_lab；treatment,8,0,0,0,0,0,0,"definition: 冠状动脉痉挛定义, 是一种特殊类型的冠脉疾病, 是冠脉痉挛的重要诱发因素, 是治疗冠脉痉挛的主要手段，考虑微血管痉挛者，可使用尼可地尔, 导致血管闭塞，则临床表现为静息性心绞痛伴心电图一过性ST段抬高",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
冠状动脉疾病的其他表现形式,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,,5399,5400,category_container,,,,0,0,0,0,0,0,0,,g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
冠状动脉粥样硬化性心脏病概述,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,,4943,4955,overview_section,definition；etiology_pathogenesis,definition；etiology_pathogenesis；prognosis_followup,,6,13,0,0,0,0,1,"definition: 冠状动脉粥样硬化性心脏病概述定义, 是动脉粥样硬化导致器官病变的最常见类型，严重危害人类健康, 指冠状动脉（冠脉）发生粥样硬化引起管腔狭窄或闭塞，导致心肌缺血、缺氧或坏死而引起的心脏病，简称冠心病（coronaryarterydisease，CAD, 导致心肌缺血、缺氧或坏死而引起的心脏病，简称冠心病（coronaryarterydisease，CAD, 导致器官病变的最常见类型，严重危害人类健康；etiology_pathogenesis: 冠心病, 心肌梗死, 心肌病, 当冠脉供血供氧与心肌需血需氧之间发生矛盾, 冠脉血流量不能满足心肌代谢的需要就可引起心肌缺血缺氧；prognosis_followup: 出血",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
动脉粥样硬化,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,,4864,4889,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition；etiology_pathogenesis,clinical_manifestation；diagnosis_differential；exam_lab；treatment,2,29,0,0,0,0,0,"definition: 动脉粥样硬化定义, 是受累动脉的病变从内膜开始，局部先后发生细胞内外的脂质积聚、纤维组织增生和钙质沉着，病变内可见单核巨噬细胞及其他炎症细胞，并有平滑肌细胞的迁移和增生，大量胶原纤维；etiology_pathogenesis: 病因尚未完全确定, 流行病学研究表明不少因素与本病的发生率增加相关, 但并非直接因果关系, 而是多种因素作用于不同环节所致, 这些因素称为危险因素（riskfactor）",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
急性冠脉综合征,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,,5120,5126,category_container,,definition,,6,0,0,0,0,0,0,"definition: 急性冠脉综合征定义, 是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST段抬高型心肌梗死（NSTEMI）和ST段抬高型心肌梗死（STEMI），冠心病猝死是特殊, 是自发性AMI，即原发冠脉不稳定斑块发生破裂、糜烂或侵蚀继发血栓形成所致，最常见, 是存在继发因素导致的持续性供氧不能满足耗氧所需，例如冠脉痉挛、自发性夹层或壁内血肿等，以及栓塞和微血管疾病, 导致的持续性供氧不能满足耗氧所需，例如冠脉痉挛、自发性夹层或壁内血肿等，以及栓塞和微血管疾病",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
慢性冠状动脉综合征,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,,4956,4957,category_container,,definition,,3,0,0,0,0,0,0,"definition: 慢性冠状动脉综合征定义, 是存在稳定的心外膜冠脉粥样硬化造成的固定狭窄，在某些因素导致心肌耗氧量增加的情况下诱发心肌急剧暂时性缺血缺氧, 导致心肌耗氧量增加的情况下诱发心肌急剧暂时性缺血缺氧",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
室性心动过速,室性心律失常,条目,,4572,4614,ecg_defined_arrhythmia,definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis；treatment,diagnosis_differential；exam_lab,2,11,4,0,0,8,0,"definition: 室性心动过速定义, 是起源于希氏束以下的特殊传导系统或者心室肌的连续3个或3个以上的异位心搏；etiology_pathogenesis: 室速常发生于各种器质性心脏病病人, 其次是心肌病、心力衰竭、瓣膜性心脏病等, 其他病因包括代谢障碍、电解质紊乱、洋地黄中毒等, 室速偶可发生在无器质性心脏病者, 其多起源于右心室流出道（右室特发性室速）、左心室间隔部（左室特发性室速）和主动脉窦部；clinical_manifestation: 晕厥, 头晕, 心绞痛, 低血压；treatment: β受体拮抗剂, 胺碘酮, 血运重建, 导管消融, 电复律",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
室性期前收缩,室性心律失常,条目,,4550,4571,ecg_defined_arrhythmia,definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis；treatment,diagnosis_differential；exam_lab,3,9,6,0,0,5,0,"definition: 室性期前收缩定义, 是一种最常见的心律失常，指希氏束以下部位心室兴奋灶提前除极而产生的过早搏动, 指希氏束以下部位心室兴奋灶提前除极而产生的过早搏动；etiology_pathogenesis: 常见于各种器质性心脏病, 如高血压、冠心病、心肌病、心肌炎及瓣膜性心脏病等, 也可见于心脏结构与功能正常者, 在情绪紧张、过度劳累、过量烟酒或咖啡, 以及电解质紊乱等情况下可诱发室早；clinical_manifestation: 胸闷, 心悸, 乏力, 头晕, 心绞痛；treatment: β受体拮抗剂, 胺碘酮, 非二氢吡啶类钙通道阻滞剂, 钙通道阻滞剂, 导管消融",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
