疾病编码,疾病名称,推荐编码,推荐名称,动作名称,动作类型,主证据编码,主指南编码,主来源,页码,推荐等级,证据等级,冲突状态,裁决理由,裁决文本,链路缺口
DIS-CARD-ARR-AF,心房颤动,REC-CDSS-AF-ARR-AF-01-01-DIAG,疑似心房颤动时，应结合心房颤动诊断标准、12导联心电图、事件记录仪、动态心电图、心脏CT等进行诊断确认和必要鉴别。,甲状腺功能；凝血功能；动态心电图；事件记录仪；12导联心电图；CT血管成像,LabItem；ExamItem,EVD-DD21E053B151F1B764C3-AF,SRC-DOC-470392B42F1372AF,心房颤动诊断和治疗中国指南 2023.pdf,3,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AF,心房颤动,REC-CDSS-AF-ARR-AF-02-01-RISK,心房颤动确诊或高度疑似后，应结合CHA2DS2-VASc评分、EHRA症状分级、心房颤动风险分层、冠心病、吸烟等进行风险分层和高危因素识别。,CHA2DS2-VASc评分,RiskStratification,EVD-E27C252B3894B512EFCD-AF,SRC-DOC-EE90C4C9A4C51DF7,中国心房颤动管理指南（2025）.pdf,10,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AF,心房颤动,REC-CDSS-AF-ARR-AF-03-01-TREAT,心房颤动治疗应根据病情严重程度、禁忌证和患者特征选择复律治疗、导管消融、左心耳封堵、β受体阻滞剂、低分子肝素等。,地尔硫卓；华法林钠片；利伐沙班片；盐酸决奈达隆片；低分子肝素；β受体阻滞剂；房室结消融；外科迷宫手术,Medication；Procedure,EVD-E807E736B7EFCCD34B7B-AF,SRC-DOC-12C73CE9FC871CF4,中国心房颤动管理指南（2025）.pdf,17,未分级/指南未显式标注,未分级/指南未显式标注,none,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,
DIS-CARD-ARR-AF,心房颤动,REC-CDSS-AF-ARR-AF-04-01-FOLLOW,心房颤动稳定期或治疗后，应按心房颤动随访方案、心房颤动预后进行随访和复评。,心房颤动随访方案,FollowUp,EVD-DC5F68281990CE87A7A1-AF,SRC-DOC-EE90C4C9A4C51DF7,中国心房颤动管理指南（2025）.pdf,7,Ⅱa,C,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AFL,心房扑动,REC-CDSS-SVTAFL-ARR-AFL-01-01-DIAG,疑似心房扑动时，应结合心房扑动诊断标准、12导联心电图、动态心电图、电生理检查、甲状腺功能检查等进行诊断确认和必要鉴别。,甲状腺功能；心脏电生理检查；肝功能检查；12导联心电图；动态心电图,LabItem；ExamItem,EVD-03738107C48965887852-AFL,SRC-DOC-4A36F3721EF8AADE,室上性心动过速诊断及治疗中国专家共识(2021).pdf,23,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AFL,心房扑动,REC-CDSS-SVTAFL-ARR-AFL-02-01-RISK,心房扑动确诊或高度疑似后，应结合先天性心脏病、器质性心脏病、心房扩大、旁路、甲状腺功能亢进等进行风险分层和高危因素识别。,先天性心脏病,RiskFactor,EVD-E7822692D5313C9FECF5-AFL,SRC-DOC-C0BB559FA2C8448A,室上性心动过速诊断及治疗中国专家共识(2021).pdf,23,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AFL,心房扑动,REC-CDSS-SVTAFL-ARR-AFL-04-01-FOLLOW,心房扑动稳定期或治疗后，应按心房扑动随访方案、心房扑动预后进行随访和复评。,心房扑动随访方案,FollowUp,EVD-9627254301018A3F041C-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,23,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AT,房性心动过速,REC-CDSS-SVTAFL-ARR-AT-01-01-DIAG,疑似房性心动过速时，应结合房性心动过速诊断标准、12导联心电图、动态心电图、电生理检查、食管心房调搏等进行诊断确认和必要鉴别。,甲状腺功能；心脏电生理检查；食管心房调搏；12导联心电图；肾功能检查；动态心电图,LabItem；ExamItem,EVD-FF110943AE28D69A15CC-AT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,4,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AT,房性心动过速,REC-CDSS-SVTAFL-ARR-AT-02-01-RISK,房性心动过速确诊或高度疑似后，应结合先天性心脏病、器质性心脏病、旁路、甲状腺功能亢进、电解质紊乱等进行风险分层和高危因素识别。,先天性心脏病,RiskFactor,EVD-FB5926C78C85CED37462-AT,SRC-DOC-F6D887F5DD95AA6A,室上性心动过速诊断及治疗中国专家共识(2021).pdf,34,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AT,房性心动过速,REC-CDSS-SVTAFL-ARR-AT-04-01-FOLLOW,房性心动过速稳定期或治疗后，应按房性心动过速随访方案、房性心动过速预后进行随访和复评。,房性心动过速随访方案,FollowUp,EVD-BDE3A02A4DD1DD41C236-AT,SRC-DOC-4A36F3721EF8AADE,室上性心动过速诊断及治疗中国专家共识(2021).pdf,18,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
