classification_code,classification_name,relationship_count,action,reason
CARD-SKELETON-20260709-DISEASECLASSIFICATION-6D548BBAB4A66D2F,1.急性心衰系因急性的严重心肌损害、结构破坏、心律失常或突然加重的心脏负荷,4,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-89FF6D87640E98CC,CCS）和急性冠脉综合征（acutecoronarysyndrome,4,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-AAAC1C88BFF4E4B8,LVEF≤40%者称为射血分数降低的心衰（HFwithreducedEF,4,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-E51C7E4ECEA047D3,LVEF）进行的心衰分类在临床上具有重要意义,4,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-9FB4E88E62F60AF4,“干冷”型,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-7DCF00210EB3D32A,“湿暖”型,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-C94CD0919A1D0424,Ⅰb类：药物不减慢Vmax,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-C89B40C999634443,Ⅰc类：药物减慢Vmax,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-1DDAF2C3BC90B074,分为快速型与缓慢型心律失常两大类,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-2F3B270C14EBF999,右心室代偿功能不全所致为右心衰竭,4,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-2BA81BCB3845EAE2,多为类瘤样浸润或恶性浸润所致,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-D50DC1E09B076C23,奎尼丁、普鲁卡因胺、丙吡胺等属此类,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-166A31C01D170E49,左心衰竭和右心衰竭同时存在即为全心衰竭,4,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-AFF08098E4D1BCCB,按发生机制分为冲动形成异常和冲动传导异常两大类,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-C4C8EFEE3F1B56EC,是目前已明确的可以改善病人长期预后的抗心律失常药物,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-5CC02E1A5C7B3C28,普罗帕酮属此类,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-A5AB4885679C6C16,本章主要依据心律失常发生的部位、机制以及心率快慢进行综合分类,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-E319DCBA31FC8488,此型病情最轻,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-D55C8A0BE8CA104D,窦性停搏、病态窦房结综合征,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-534B24B04EEE58F3,第二节慢性心力衰竭-分类/分型,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
