batch_id,学科,疾病大类,状态,是否写Neo4j,CSV输出路径,MD是否登记,输出路径是否存在,备注
20260715_高血压正式解析收口,心血管内科,高血压,已写入Neo4j并通过服务器入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_高血压正式解析收口,是,是,补齐15个Disease.definition；新增15个Definition、45个DefinitionComponent；写入75个节点、120条关系；服务器入库后复测通过
20260715_肺动脉高压正式解析,心血管内科,肺动脉高压,已入库并通过服务器入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_肺动脉高压正式解析,是,是,纳入8份资料；PDF 1230页；OCR阻断0；证据1512条；最终节点2264；最终关系12335；删除跨章节污染ClinicalRule 25个、关系143条；补齐诊断标准明细7条；7/7闭环ready；本批次服务器入库后复测阻断项0
20260715_瓣膜病正式解析,心血管内科,瓣膜病,已写入Neo4j并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_瓣膜病正式解析,是,是,纳入19份来源资料；PDF 10份1403页且OCR阻断0；DOCX 9份226段；证据2189条；本地节点3321；本地关系12347；导入节点行3321；导入关系行12347；服务器本批次节点3318；服务器本批次关系12365；9个疾病闭环ready；required缺口0；证据链命中率100%；入库后补齐9个诊断标准明细、归并33组重复实体关系、修复2条旧重复节点残留引用；入库后复测阻断数0
20260714_批次入库后复测入口接入,心血管内科,公共执行层/入库后复测,未写Neo4j；只读复测通过,否,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260714_入库后复测验证,是,是,新增批次入库后复测_入库后复测.py；固定输出99_入库后复测；当前接入主数据质量闸门；真实服务器只读验证通过；旧零散入库后复测脚本不再作为新病种默认入口
20260714_主数据质量闸门固化,心血管内科,公共执行层/质量闸门,已写入Neo4j修复1条残留引用并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\00_全局质量体检_global_quality_audit\20260714_主数据质量闸门,是,是,新增公共执行层脚本；首次检查发现1条缺血性心肌病治疗方案仍指向旧心脏移植重复节点；已迁移到标准主节点PROC-HEART-TRANSPLANT；复测5项主数据闸门全为0
20260714_全库主数据归并治理,心血管内科,全库主数据治理,已写入Neo4j并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260714_全库主数据归并治理,是,是,重复组148；重复节点149；迁移入边160；迁移出边228；清理零关系孤儿诊断标准4个；空壳治疗方案并入标准主节点1个；最终硬闸门全为0
20260714_心衰心律高血压总精修,心血管内科,心力衰竭/心律失常/高血压,已写入Neo4j并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260714_心衰心律高血压总精修,是,是,65个疾病全部formal_cdss_ready；规则证据链补齐197条；治疗方案下游补链614条；传导阻滞类阻断方案补齐8条组件关系；语义污染治理2个；同名重复直连治理1组；本批次硬闸门全为0
BATCH-CARD-CDSS-RULE-EVIDENCE-REFINE-20260714-001,心血管内科,全库/CDSS规则证据链总精修,已写入Neo4j并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260714_CDSS总精修,是,是,补齐具体药物关系77条；新建具体药物节点30个；归并重复实体6组；补齐类型标签11个；药物类别无具体药物=0；CK-MB误归药物=0；药物缩写作为主名=0；全库硬闸门通过
BATCH-CARD-HIST-TYPE-CLEAN-20260714-001,心血管内科,全库/历史节点类型治理,已写入Neo4j并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-HIST-TYPE-CLEAN-20260714-001_历史节点类型治理_historical_node_type_cleanup,是,是,节点改型146；关系转换160；DiagnosisCriteria无明细12→0；DifferentialDiagnosis无明细148→14；正式CDSS硬闸门通过
BATCH-CARD-VTE-CLEAN-20260714-001,心血管内科,主动脉和周围血管病/VTE历史骨架污染治理,已写入Neo4j并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-VTE-CLEAN-20260714-001_静脉血栓症历史骨架污染治理_VTE_skeleton_pollution_cleanup,是,是,删除关系350条；VTE出边844→494；全库正式CDSS硬闸门通过
