source_disease_name,target_subject_name,mapping_type,mapping_status,confidence,review_reason,candidate_targets,source_artifact_scope,source_artifact_mtime,target_artifact_scope,target_artifact_mtime,source_row_count,source_entity_type_counts,target_parent,target_subject_kind,target_docx_start_para,target_docx_end_para
Brugada综合征,,no_candidate,暂不采用,0.3529,未找到足够可靠的 D6 骨架章节/疾病名称,艾森门格综合征:0.353；病态窦房结综合征:0.333；慢性冠状动脉综合征:0.316；急性冠脉综合征:0.316；抗心律失常药物的合理应用:0.091,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,9,"{""Complication"": 1, ""Etiology"": 1, ""Medication"": 1, ""Pathophysiology"": 1, ""Sign"": 3, ""Symptom"": 1, ""TreatmentPlan"": 1}",,,,
三尖瓣下移畸形,,no_candidate,暂不采用,0.3333,未找到足够可靠的 D6 骨架章节/疾病名称,二尖瓣狭窄:0.333；二尖瓣反流:0.333；多瓣膜病:0.182；心脏瓣膜病:0.167；主动脉瓣狭窄:0.154,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,33,"{""Complication"": 5, ""DifferentialDiagnosis"": 2, ""Etiology"": 1, ""Exam"": 8, ""Procedure"": 1, ""RiskFactor"": 4, ""Sign"": 9, ""Symptom"": 3}",,,,
主动脉瘤,,no_candidate,暂不采用,0.6667,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉夹层:0.667；主动脉瓣狭窄:0.600；主动脉瓣反流:0.600；动脉粥样硬化:0.400；冠状动脉痉挛:0.400,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,57,"{""Complication"": 7, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 3, ""Etiology"": 11, ""Exam"": 5, ""LabTest"": 2, ""Pathophysiology"": 1, ""Prognosis"": 2, ""RiskFactor"": 19, ""Sign"": 4, ""TreatmentPlan"": 2}",,,,
主动脉窦瘤,,no_candidate,暂不采用,0.6,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉夹层:0.600；主动脉瓣狭窄:0.545；主动脉瓣反流:0.545；动脉粥样硬化:0.364；冠状动脉痉挛:0.364,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,39,"{""Complication"": 10, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 3, ""Exam"": 10, ""FollowUp"": 2, ""LabTest"": 1, ""Pathophysiology"": 1, ""Procedure"": 5, ""RiskFactor"": 6}",,,,
主动脉缩窄,,no_candidate,暂不采用,0.7273,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉瓣狭窄:0.727；主动脉夹层:0.600；主动脉瓣反流:0.545；动脉粥样硬化:0.364；冠状动脉痉挛:0.364,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,60,"{""Complication"": 5, ""DiagnosisCriteria"": 4, ""DifferentialDiagnosis"": 3, ""Exam"": 6, ""FollowUp"": 1, ""LabTest"": 1, ""Procedure"": 2, ""Prognosis"": 1, ""RiskFactor"": 12, ""Sign"": 18, ""Symptom"": 7}",,,,
二叶主动脉瓣,,no_candidate,暂不采用,0.6667,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉瓣狭窄:0.667；主动脉瓣反流:0.667；主动脉夹层:0.545；二尖瓣狭窄:0.364；二尖瓣反流:0.364,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,24,"{""Complication"": 6, ""DifferentialDiagnosis"": 1, ""Epidemiology"": 1, ""Etiology"": 2, ""Exam"": 3, ""Procedure"": 1, ""Prognosis"": 1, ""RiskFactor"": 7, ""Sign"": 2}",,,,
人工瓣膜心内膜炎,,no_candidate,暂不采用,0.5333,未找到足够可靠的 D6 骨架章节/疾病名称,感染性心内膜炎:0.533；心肌炎:0.364；多瓣膜病:0.333；心脏瓣膜病:0.308；急性心包炎:0.308,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,58,"{""Complication"": 11, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 1, ""Etiology"": 1, ""Exam"": 7, ""LabTest"": 2, ""Pathophysiology"": 1, ""Procedure"": 7, ""Prognosis"": 2, ""RiskFactor"": 21, ""Sign"": 1, ""Symptom"": 2, ""TreatmentPlan"": 1}",,,,
儿茶酚胺敏感性室性心动过速,,no_candidate,暂不采用,0.6316,未找到足够可靠的 D6 骨架章节/疾病名称,室性心动过速:0.632；非阵发性房室交界性心动过速:0.538；窦性心动过速:0.526；房性心动过速:0.526；房室交界区相关的折返性心动过速:0.429,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,69,"{""Complication"": 17, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 1, ""Etiology"": 4, ""Exam"": 12, ""FollowUp"": 1, ""Pathophysiology"": 3, ""Procedure"": 4, ""RiskFactor"": 5, ""RiskStratification"": 1, ""Sign"": 9, ""Symptom"": 10, ""TreatmentPlan"": 1}",,,,
先天性主动脉缩窄,,no_candidate,暂不采用,0.5714,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉瓣狭窄:0.571；主动脉夹层:0.462；主动脉瓣反流:0.429；先天性心血管病:0.400；慢性冠状动脉综合征:0.353,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,11,"{""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 1, ""FollowUp"": 1, ""Procedure"": 1, ""RiskFactor"": 4, ""Sign"": 3}",,,,
冠状动脉瘘,,no_candidate,暂不采用,0.7273,未找到足够可靠的 D6 骨架章节/疾病名称,冠状动脉痉挛:0.727；慢性冠状动脉综合征:0.571；急性冠脉综合征:0.571；冠状动脉疾病的其他表现形式:0.500；肿瘤治疗相关的冠状动脉疾病:0.500,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,18,"{""Complication"": 9, ""Exam"": 1, ""Procedure"": 1, ""RiskFactor"": 5, ""Sign"": 1, ""TreatmentPlan"": 1}",,,,
