subject_name,parent,subject_kind,d6_status,slot,d6_slot_status,entity_mentions,section_aligned_mentions,out_of_section_mentions,unique_entity_count,section_aligned_unique_entity_count,entity_type_counts,sample_section_aligned_entities,sample_all_entities,sample_evidence,recommended_action
Brugada综合征,,,,clinical_manifestation,not_in_d6_slot_audit,4,0,4,3,0,"{""Sign"": 3, ""Symptom"": 1}",,低血压；头晕；心动过速,,疑似跨章节噪声，需人工抽样确认
Brugada综合征,,,,etiology_pathogenesis,not_in_d6_slot_audit,2,0,2,2,0,"{""Etiology"": 1, ""Pathophysiology"": 1}",,心肌缺血；遗传因素,,疑似跨章节噪声，需人工抽样确认
Brugada综合征,,,,follow_up_prognosis,not_in_d6_slot_audit,1,0,1,1,0,"{""Complication"": 1}",,心力衰竭,,疑似跨章节噪声，需人工抽样确认
Brugada综合征,,,,treatment,not_in_d6_slot_audit,2,0,2,2,0,"{""Medication"": 1, ""TreatmentPlan"": 1}",,复律治疗；洋地黄类药物,,疑似跨章节噪声，需人工抽样确认
ST段抬高型心肌梗死,,,,classification_risk,not_in_d6_slot_audit,1,0,1,1,0,"{""RiskStratification"": 1}",,危险分层,,疑似跨章节噪声，需人工抽样确认
ST段抬高型心肌梗死,,,,clinical_manifestation,not_in_d6_slot_audit,36,0,36,16,0,"{""Symptom"": 14, ""Sign"": 22}",,乏力；休克；低血压；出汗；发绀；呼吸困难；咳嗽；头晕；心动过速；晕厥；水肿；濒死感；肺部啰音；胸痛；颈静脉怒张；高血压,,疑似跨章节噪声，需人工抽样确认
ST段抬高型心肌梗死,,,,diagnosis_differential,not_in_d6_slot_audit,3,0,3,2,0,"{""DifferentialDiagnosis"": 2, ""DiagnosisCriteria"": 1}",,诊断标准；鉴别诊断,,疑似跨章节噪声，需人工抽样确认
ST段抬高型心肌梗死,,,,etiology_pathogenesis,not_in_d6_slot_audit,20,0,20,9,0,"{""Etiology"": 5, ""Pathophysiology"": 9, ""RiskFactor"": 6}",,创伤；动脉粥样硬化；右心负荷增加；吸烟；心肌缺血；手术；深静脉血栓形成；糖尿病；肿瘤,,疑似跨章节噪声，需人工抽样确认
ST段抬高型心肌梗死,,,,exam_lab,not_in_d6_slot_audit,16,0,16,5,0,"{""Exam"": 14, ""LabTest"": 2}",,冠状动脉造影；心电图；心肌肌钙蛋白；肾功能；超声心动图,,疑似跨章节噪声，需人工抽样确认
ST段抬高型心肌梗死,,,,follow_up_prognosis,not_in_d6_slot_audit,25,0,25,7,0,"{""Complication"": 22, ""Prognosis"": 3}",,出血；心力衰竭；心律失常；猝死；脑卒中；预后不良；预后良好,,疑似跨章节噪声，需人工抽样确认
ST段抬高型心肌梗死,,,,treatment,not_in_d6_slot_audit,38,0,38,15,0,"{""TreatmentPlan"": 18, ""Procedure"": 9, ""Medication"": 11}",,他汀类药物；冠状动脉旁路移植术；抗凝治疗；抗凝药物；抗血小板治疗；抗血小板药物；溶栓治疗；溶栓药物；硝酸酯类药物；经皮冠状动脉介入治疗；药物治疗；血管紧张素Ⅱ受体拮抗剂；血管紧张素转换酶抑制剂；血运重建；钙通道阻滞剂,,疑似跨章节噪声，需人工抽样确认
三尖瓣下移畸形,,,,clinical_manifestation,not_in_d6_slot_audit,12,0,12,5,0,"{""Sign"": 9, ""Symptom"": 3}",,低血压；心动过速；心脏扩大；晕厥；黑矇,,疑似跨章节噪声，需人工抽样确认
三尖瓣下移畸形,,,,diagnosis_differential,not_in_d6_slot_audit,2,0,2,1,0,"{""DifferentialDiagnosis"": 2}",,鉴别诊断,,疑似跨章节噪声，需人工抽样确认
三尖瓣下移畸形,,,,etiology_pathogenesis,not_in_d6_slot_audit,5,0,5,3,0,"{""RiskFactor"": 4, ""Etiology"": 1}",,感染；手术；遗传因素,,疑似跨章节噪声，需人工抽样确认
三尖瓣下移畸形,,,,exam_lab,not_in_d6_slot_audit,8,0,8,5,0,"{""Exam"": 8}",,CT检查；心电图；电生理检查；磁共振成像；超声心动图,,疑似跨章节噪声，需人工抽样确认
三尖瓣下移畸形,,,,follow_up_prognosis,not_in_d6_slot_audit,5,0,5,3,0,"{""Complication"": 5}",,心律失常；感染性心内膜炎；猝死,,疑似跨章节噪声，需人工抽样确认
三尖瓣下移畸形,,,,treatment,not_in_d6_slot_audit,1,0,1,1,0,"{""Procedure"": 1}",,射频消融术,,疑似跨章节噪声，需人工抽样确认
下肢动脉硬化闭塞症,心脏骤停与心脏性猝死,disease_or_topic,source_covered_ready,classification_risk,deep_entity_present,1,0,1,1,0,"{""RiskStratification"": 1}",,危险分层,,疑似跨章节噪声，需人工抽样确认
下肢动脉硬化闭塞症,心脏骤停与心脏性猝死,disease_or_topic,source_covered_ready,clinical_manifestation,candidate_present,3,0,3,1,0,"{""Sign"": 3}",,高血压,,疑似跨章节噪声，需人工抽样确认
下肢动脉硬化闭塞症,心脏骤停与心脏性猝死,disease_or_topic,source_covered_ready,etiology_pathogenesis,candidate_present,17,0,17,6,0,"{""RiskFactor"": 14, ""Etiology"": 3}",,动脉粥样硬化；吸烟；感染；手术；糖尿病；肿瘤,,疑似跨章节噪声，需人工抽样确认
下肢动脉硬化闭塞症,心脏骤停与心脏性猝死,disease_or_topic,source_covered_ready,follow_up_prognosis,not_in_d6_slot_audit,6,0,6,5,0,"{""Complication"": 5, ""Prognosis"": 1}",,出血；心力衰竭；猝死；脑卒中；预后不良,,疑似跨章节噪声，需人工抽样确认
下肢动脉硬化闭塞症,心脏骤停与心脏性猝死,disease_or_topic,source_covered_ready,treatment,candidate_present,1,0,1,1,0,"{""Procedure"": 1}",,经皮冠状动脉介入治疗,,疑似跨章节噪声，需人工抽样确认
不稳定型心绞痛,,,,classification_risk,not_in_d6_slot_audit,4,0,4,1,0,"{""RiskStratification"": 4}",,危险分层,,疑似跨章节噪声，需人工抽样确认
不稳定型心绞痛,,,,clinical_manifestation,not_in_d6_slot_audit,33,0,33,15,0,"{""Symptom"": 17, ""Sign"": 16}",,休克；低血压；出汗；发绀；呼吸困难；咳嗽；心动过速；心悸；心脏杂音；恶心呕吐；晕厥；第三心音；第四心音；胸痛；高血压,,疑似跨章节噪声，需人工抽样确认
不稳定型心绞痛,,,,diagnosis_differential,not_in_d6_slot_audit,7,0,7,2,0,"{""DifferentialDiagnosis"": 5, ""DiagnosisCriteria"": 2}",,诊断标准；鉴别诊断,,疑似跨章节噪声，需人工抽样确认
不稳定型心绞痛,,,,etiology_pathogenesis,not_in_d6_slot_audit,24,0,24,7,0,"{""RiskFactor"": 7, ""Etiology"": 6, ""Pathophysiology"": 11}",,动脉粥样硬化；吸烟；心肌缺血；感染；手术；深静脉血栓形成；糖尿病,,疑似跨章节噪声，需人工抽样确认
不稳定型心绞痛,,,,exam_lab,not_in_d6_slot_audit,23,0,23,9,0,"{""Exam"": 18, ""LabTest"": 5}",,冠状动脉造影；动态心电图；心电图；心肌肌钙蛋白；红细胞沉降率；肾功能；血常规；血脂检查；超声心动图,,疑似跨章节噪声，需人工抽样确认
不稳定型心绞痛,,,,follow_up_prognosis,not_in_d6_slot_audit,38,0,38,7,0,"{""Complication"": 34, ""Prognosis"": 4}",,出血；心力衰竭；心律失常；猝死；肺动脉高压；预后不良；预后良好,,疑似跨章节噪声，需人工抽样确认
不稳定型心绞痛,,,,treatment,not_in_d6_slot_audit,52,0,52,17,0,"{""TreatmentPlan"": 26, ""Medication"": 16, ""Procedure"": 10}",,一般治疗；他汀类药物；冠状动脉旁路移植术；复律治疗；抗凝治疗；抗凝药物；抗血小板治疗；抗血小板药物；氧疗；溶栓治疗；硝酸酯类药物；经皮冠状动脉介入治疗；药物治疗；血管紧张素Ⅱ受体拮抗剂；血管紧张素转换酶抑制剂；血运重建；钙通道阻滞剂,,疑似跨章节噪声，需人工抽样确认
主动脉夹层,心脏骤停与心脏性猝死,disease_or_topic,source_covered_ready,clinical_manifestation,candidate_present,71,0,71,16,0,"{""Symptom"": 39, ""Sign"": 32}",,下肢疼痛；休克；低血压；发热；发绀；呼吸困难；咯血；咳嗽；心动过速；心脏杂音；晕厥；水肿；胸痛；胸闷；颈静脉怒张；高血压,,疑似跨章节噪声，需人工抽样确认
主动脉夹层,心脏骤停与心脏性猝死,disease_or_topic,source_covered_ready,diagnosis_differential,candidate_present,22,0,22,2,0,"{""DifferentialDiagnosis"": 14, ""DiagnosisCriteria"": 8}",,诊断标准；鉴别诊断,,疑似跨章节噪声，需人工抽样确认
主动脉夹层,心脏骤停与心脏性猝死,disease_or_topic,source_covered_ready,etiology_pathogenesis,not_applicable_or_not_detected,53,0,53,11,0,"{""RiskFactor"": 37, ""Etiology"": 12, ""Pathophysiology"": 4}",,创伤；动脉粥样硬化；家族史；心肌缺血；感染；手术；炎症；肺动脉血栓栓塞；肿瘤；遗传因素；长期卧床,,疑似跨章节噪声，需人工抽样确认
主动脉夹层,心脏骤停与心脏性猝死,disease_or_topic,source_covered_ready,exam_lab,candidate_present,31,0,31,9,0,"{""Exam"": 25, ""LabTest"": 6}",,CT检查；冠状动脉造影；心电图；磁共振成像；肾功能；胸部X线检查；血管超声；血糖；超声心动图,,疑似跨章节噪声，需人工抽样确认
主动脉夹层,心脏骤停与心脏性猝死,disease_or_topic,source_covered_ready,follow_up_prognosis,not_in_d6_slot_audit,32,0,32,10,0,"{""Complication"": 28, ""FollowUp"": 1, ""Prognosis"": 3}",,出血；定期随访；心力衰竭；心脏压塞；感染性心内膜炎；肺动脉高压；肺栓塞；脑卒中；预后不良；预后良好,,疑似跨章节噪声，需人工抽样确认
主动脉夹层,心脏骤停与心脏性猝死,disease_or_topic,source_covered_ready,treatment,candidate_present,30,0,30,14,0,"{""TreatmentPlan"": 12, ""Procedure"": 5, ""Medication"": 13}",,一般治疗；他汀类药物；利尿剂；心包穿刺；抗凝治疗；抗凝药物；溶栓治疗；溶栓药物；硝酸酯类药物；经皮冠状动脉介入治疗；药物治疗；血管紧张素Ⅱ受体拮抗剂；血管紧张素转换酶抑制剂；钙通道阻滞剂,,疑似跨章节噪声，需人工抽样确认
主动脉瓣反流,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,clinical_manifestation,candidate_present,41,0,41,22,0,"{""Symptom"": 18, ""Sign"": 23}",,休克；低血压；出汗；劳力性呼吸困难；发热；发绀；呼吸困难；咯血；咳嗽；夜间阵发性呼吸困难；头晕；心动过速；心悸；心脏扩大；心脏杂音；晕厥；水肿；水肿感；端坐呼吸；第三心音,,疑似跨章节噪声，需人工抽样确认
主动脉瓣反流,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,diagnosis_differential,candidate_present,4,0,4,2,0,"{""DifferentialDiagnosis"": 3, ""DiagnosisCriteria"": 1}",,诊断标准；鉴别诊断,,疑似跨章节噪声，需人工抽样确认
主动脉瓣反流,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,etiology_pathogenesis,candidate_present,34,0,34,7,0,"{""RiskFactor"": 29, ""Etiology"": 4, ""Pathophysiology"": 1}",,创伤；心肌缺血；感染；手术；炎症；肿瘤；遗传因素,,疑似跨章节噪声，需人工抽样确认
主动脉瓣反流,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,exam_lab,candidate_present,14,0,14,6,0,"{""LabTest"": 4, ""Exam"": 10}",,心电图；心脏导管检查；磁共振成像；肾功能；血管超声；超声心动图,,疑似跨章节噪声，需人工抽样确认
主动脉瓣反流,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,follow_up_prognosis,not_in_d6_slot_audit,28,0,28,8,0,"{""Complication"": 25, ""Prognosis"": 1, ""FollowUp"": 2}",,出血；定期随访；心力衰竭；心律失常；感染性心内膜炎；猝死；肺动脉高压；预后不良,,疑似跨章节噪声，需人工抽样确认
主动脉瓣反流,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,treatment,candidate_present,26,0,26,15,0,"{""Medication"": 11, ""TreatmentPlan"": 7, ""Procedure"": 8}",,一般治疗；他汀类药物；利尿剂；控制心室率；氧疗；洋地黄类药物；瓣膜置换术；硝酸酯类药物；经导管主动脉瓣置换术；经皮冠状动脉介入治疗；药物治疗；血管紧张素Ⅱ受体拮抗剂；血管紧张素转换酶抑制剂；钙通道阻滞剂；降压治疗,,疑似跨章节噪声，需人工抽样确认
