batch_dir,relation_id,severity,relationType,relationCategory,source_code,source_name,source_entityType,target_code,target_name,target_entityType,missing_fields,has_provenance_records,has_evidence_text_or_provenance,source_note,source_quality
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-A0D9B44F1CF1C3CCAE28,blocking_for_cdss_scenario,has_etiology,clinical,DIS-CARD-ARR-AF,心房颤动,Disease,ETI-CARD-493A9E85EE27,心房颤动病因,Etiology,source_page,true,true,,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-E7ABBF3400A8302E39D6,blocking_for_cdss_scenario,has_pathophysiology,clinical,DIS-CARD-ARR-AF,心房颤动,Disease,PATH-CARD-DD98D6372243,心房颤动病理生理机制,Pathophysiology,source_page,true,true,,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-2FE2406E63D3FCD1F463,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-ARR-AF,心房颤动,Disease,SIGN-CARD-831BF3CD96B8,血压下降,Sign,source_page,true,true,,
BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,REL-3D1B7CA15EF02AFF7524,blocking_for_cdss_scenario,requires_exam,diagnostic,DIS-CARD-ARR-AF,心房颤动,Disease,EXAM-CARD-41BF81CAB3CE,事件记录仪,Exam,source_page,true,true,,
BATCH-CARD-CM-20260622-001,REL-E59B3E90CAA73119,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,Disease,SIGN-CARD-CM-ACM-VENTRICULAR-ARRHYTHMIA,室性心律失常表现,Sign,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-2750DD4AD8BC4EAD,blocking_for_cdss_scenario,has_diagnostic_criteria,diagnostic,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,Disease,DXC-CARD-CM-ABVC-PADUA-BIVENTRICULAR,ABVC双心室受累诊断流程,DiagnosisCriteria,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-6EB545959A2A9CCA,blocking_for_cdss_scenario,has_prognosis,clinical,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,Disease,PROG-CARD-CM-ACM-SCD-HF-PROGRESSION,猝死和心力衰竭进展风险,Prognosis,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-A280CB87DC8ACAF0,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-CM-ACM,致心律失常性心肌病,Disease,SIGN-CARD-CM-ACM-CUTANEOUS-HAIR-PALMOPLANTAR,卷发和掌跖角化病,Sign,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-CC53DF314889B175,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,Disease,SIGN-CARD-CM-ACM-VENTRICULAR-ARRHYTHMIA,室性心律失常表现,Sign,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-BBFC153D8BD31DCB,blocking_for_cdss_scenario,has_diagnostic_criteria,diagnostic,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,Disease,DXC-CARD-CM-ALVC-PADUA-LV,ALVC左心室受累诊断流程,DiagnosisCriteria,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-142A62060E321A12,blocking_for_cdss_scenario,has_etiology,clinical,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,Disease,ETI-CARD-CM-AMYLOID-AL-ATTR-DEPOSITION,AL或ATTR淀粉样蛋白心肌沉积,Etiology,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-750DA70FC7675E85,blocking_for_cdss_scenario,has_symptom,clinical,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,Disease,SYM-CARD-CM-AMYLOID-HF-SYMPTOMS,心力衰竭相关症状,Symptom,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-C2D29BB0A3B0E4F1,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-CM-AMYLOID,淀粉样变心肌病,Disease,SIGN-CARD-CM-AMYLOID-LVH-LOW-VOLTAGE,室壁增厚与心电低电压不匹配,Sign,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-AC2933DF1CED0E0A,blocking_for_cdss_scenario,has_etiology,clinical,DIS-CARD-CM-ATRIAL,心房心肌病,Disease,ETI-CARD-CM-ATRIAL-FIBROSIS-REMODELING,心房纤维化和电结构重构,Etiology,guideline_id|source_page,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-643FE817BF084D48,blocking_for_cdss_scenario,has_symptom,clinical,DIS-CARD-CM-ATRIAL,心房心肌病,Disease,SYM-CARD-CM-ATRIAL-PALPITATION-DYSPNEA,心悸和活动后气促,Symptom,guideline_id|source_page,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-1756BCD6EAEF5F88,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-CM-ATRIAL,心房心肌病,Disease,SIGN-CARD-CM-ATRIAL-AF-ATRIAL-DYSFUNCTION,房性心律失常和心房功能异常,Sign,guideline_id|source_page,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-8218D425F278CBF2,blocking_for_cdss_scenario,has_diagnostic_criteria,diagnostic,DIS-CARD-CM-ATRIAL,心房心肌病,Disease,DXC-CARD-CM-ATRIAL-EHRA-CLASS,EHRA心房心肌病组织学分型诊断框架,DiagnosisCriteria,guideline_id|source_page,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-D915D426A660A8C4,blocking_for_cdss_scenario,has_prognosis,clinical,DIS-CARD-CM-ATRIAL,心房心肌病,Disease,PROG-CARD-CM-ATRIAL-AF-STROKE-HF-RISK,房颤、卒中和心力衰竭风险,Prognosis,guideline_id|source_page,true,true,,curated_required_gap_backfill
